"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -9.99000000000E+02   5.00000007451E-02  Obs_0       
  -9.99000000000E+02   5.00000007451E-02  Obs_1       
  -9.99000000000E+02   5.00000007451E-02  Obs_2       
   3.94074559212E-01   5.00000007451E-02  Obs_3       
   5.69860875607E-01   5.00000007451E-02  Obs_4       
   6.60688400269E-01   5.00000007451E-02  Obs_5       
   4.35944408178E-01   5.00000007451E-02  Obs_6       
   3.03283661604E-01   5.00000007451E-02  Obs_7       
   2.37070247531E-01   5.00000007451E-02  Obs_8       
  -9.99000000000E+02   5.00000007451E-02  Obs_9       
  -9.99000000000E+02   5.00000007451E-02  Obs_10      
  -9.99000000000E+02   5.00000007451E-02  Obs_11      
  -9.99000000000E+02   5.00000007451E-02  Obs_12      
   7.53599464893E-01   5.00000007451E-02  Obs_13      
   1.43831086159E+00   5.00000007451E-02  Obs_14      
   2.29943728447E+00   5.00000007451E-02  Obs_15      
   1.63451421261E+00   5.00000007451E-02  Obs_16      
   6.46628022194E-01   5.00000007451E-02  Obs_17      
   4.36303883791E-01   5.00000007451E-02  Obs_18      
  -9.99000000000E+02   5.00000007451E-02  Obs_19      
   3.43181443214E+00   5.50000000000E+00  Obs_20      
  -9.99000000000E+02   5.00000007451E-02  Obs_21      
  -9.99000000000E+02   5.00000007451E-02  Obs_22      
  -9.99000000000E+02   5.00000007451E-02  Obs_23      
   1.48594343662E+00   5.00000007451E-02  Obs_24      
   3.30569362640E+00   5.00000007451E-02  Obs_25      
   1.37049102783E+00   5.00000007451E-02  Obs_26      
   8.80296587944E-01   5.00000007451E-02  Obs_27      
  -9.99000000000E+02   5.00000007451E-02  Obs_28      
  -9.99000000000E+02   5.00000007451E-02  Obs_29      
  -9.99000000000E+02   5.00000007451E-02  Obs_30      
  -9.99000000000E+02   5.00000007451E-02  Obs_31      
   2.43454647064E+00   5.00000007451E-02  Obs_32      
   2.78424167633E+00   5.00000007451E-02  Obs_33      
   1.93788158894E+00   5.00000007451E-02  Obs_34      
  -9.99000000000E+02   5.00000007451E-02  Obs_35      
  -9.99000000000E+02   5.00000007451E-02  Obs_36      
  -9.99000000000E+02   5.00000007451E-02  Obs_37      
   1.60743308067E+00   5.00000007451E-02  Obs_38      
   3.58029437065E+00   5.00000007451E-02  Obs_39      
   3.79577279091E+00   5.00000007451E-02  Obs_40      
   2.98096156120E+00   5.00000007451E-02  Obs_41      
   5.91605043411E+00   2.00000002980E-01  Obs_42      
   5.64571428299E+00   4.00000005960E-01  Obs_43      
   4.70799160004E+00   3.00000011921E-01  Obs_44      
   5.04897499084E+00   6.00000023842E-01  Obs_45      
   8.47592258453E+00   2.29999995232E+00  Obs_46      
   7.71324586868E+00   2.59999990463E+00  Obs_47      
   8.89184093475E+00   3.50000000000E+00  Obs_48      
  -9.99000000000E+02   5.00000007451E-02  Obs_49      
  -9.99000000000E+02   5.00000007451E-02  Obs_50      
   1.59956145287E+00   5.00000007451E-02  Obs_51      
   3.84712910652E+00   5.00000007451E-02  Obs_52      
   7.15751791000E+00   1.20000004768E+00  Obs_53      
   3.68088150024E+00   5.00000007451E-02  Obs_54      
   9.42209720612E+00   3.59999990463E+00  Obs_55      
   7.78827333450E+00   2.42989993095E+00  Obs_56      
  -9.99000000000E+02   5.00000007451E-02  Obs_57      
   9.62174475193E-01   5.00000007451E-02  Obs_58      
