Date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
1/1/2000	0.33307996	0.335392781	0.208205551	0.170139078	0.289735026	0.216117088	0.170139078	0.246272023	0.231194556	0.263162548	0.273014134	0.233348077	0.312680192	0.312680192	0.065	0.331113254	0.331113254	0.065	0.065	0.312680192	0.349546316	0.215541244	0.25115491	0.404705332	0.381162669	0.261454589	0.285015	0.340743962	0.409330974	0.264870506	0.216117088	0.170139078	0.246272023
2/1/2000	0.328875805	0.358112039	0.204150037	0.230442806	0.300575923	0.216117088	0.230442806	0.177857268	0.196987178	0.317705031	0.319573131	0.209454757	0.429691505	0.429691505	0.065	0.363780328	0.363780328	0.065	0.065	0.429691505	0.297869151	0.182129396	0.236780118	0.312236572	0.262801794	0.345515038	0.285015	0.31955977	0.370709041	0.289895024	0.216117088	0.230442806	0.177857268
3/1/2000	0.086481941	0.202663659	0.218856199	0.220128762	0.304756289	0.124435525	0.220128762	0.217583637	0.171009581	0.127082319	0.343550628	0.242143914	0.444957343	0.444957343	0.065	0.386475079	0.386475079	0.065	0.065	0.444957343	0.327992814	0.241950098	0.24233773	0.15702038	0.178034969	0.015943501	0.285015	0.268979072	0.389383816	0.238221136	0.124435525	0.220128762	0.217583637
4/1/2000	0.429227902	0.421230801	0.214750389	0.206993845	0.263932858	0.124435525	0.206993845	0.222506934	0.173471229	0.387327318	0.332405721	0.204588261	0.460223181	0.460223181	0.065	0.368113633	0.368113633	0.065	0.065	0.460223181	0.276004084	0.202074568	0.207101953	0.336866072	0.377017469	0.521589731	0.285015	0.296179486	0.320871871	0.253064905	0.124435525	0.206993845	0.222506934
5/1/2000	0.471785738	0.441443561	0.236873758	0.118311745	0.228453574	0.393817585	0.118311745	0.355435771	0.374626678	0.368194636	0.329496857	0.266833784	0.39215993	0.39215993	0.065	0.337656052	0.337656052	0.065	0.065	0.39215993	0.283152175	0.277035403	0.256632165	0.399279758	0.398153995	0.544291719	0.285015	0.299233836	0.338595404	0.192097552	0.393817585	0.118311745	0.355435771
6/1/2000	0.235272812	0.189069121	0.144236225	0.182528968	0.20282544	0.034299478	0.182528968	0.105943482	0.07012148	0.179043021	0.23255982	0.141022961	0.324096678	0.324096678	0.065	0.260533793	0.260533793	0.065	0.065	0.324096678	0.196970907	0.104222563	0.177823359	0.315529293	0.180138271	0.155016331	0.285015	0.222017718	0.223121911	0.203069711	0.034299478	0.182528968	0.105943482
7/1/2000	0.223710376	0.188635386	0.161588979	0.153304859	0.211833444	0.009723732	0.153304859	0.169873099	0.089798416	0.146716441	0.323931947	0.190815366	0.457048528	0.457048528	0.065	0.346109638	0.346109638	0.065	0.065	0.457048528	0.235170747	0.160248262	0.22138247	0.340512009	0.230530177	0.106908743	0.285015	0.23893054	0.27036203	0.186524139	0.009723732	0.153304859	0.169873099
8/1/2000	0.378181209	0.288448301	0.160812016	0.145683447	0.209900807	0.157890029	0.145683447	0.175940585	0.166915307	0.24735349	0.279660295	0.280437777	0.278882812	0.278882812	0.065	0.332524449	0.332524449	0.065	0.065	0.278882812	0.386166086	0.277397989	0.283477566	0.453583982	0.248505464	0.302778436	0.285015	0.290027372	0.274118167	0.191928545	0.157890029	0.145683447	0.175940585
9/1/2000	0.245743072	0.191966317	0.190606861	0.171770982	0.212251085	0.143400114	0.171770982	0.20944274	0.176421427	0.159239544	0.294581078	0.201637743	0.387524413	0.387524413	0.065	0.321832805	0.321832805	0.065	0.065	0.387524413	0.256141196	0.17210094	0.231174546	0.360284697	0.265619407	0.131201447	0.285015	0.303478011	0.252731188	0.187277642	0.143400114	0.171770982	0.20944274
10/1/2000	0.441074296	0.377719708	0.206846847	0.186127011	0.28663091	0.228723337	0.186127011	0.227566683	0.22814501	0.285936233	0.317345988	0.247167563	0.387524413	0.387524413	0.065	0.38521731	0.38521731	0.065	0.065	0.387524413	0.382910207	0.222233458	0.272101667	0.513843985	0.283835415	0.368304607	0.285015	0.314548993	0.387134809	0.20356786	0.228723337	0.186127011	0.227566683
11/1/2000	0.276132761	0.261418158	0.204168467	0.137190455	0.214349894	0.153680584	0.137190455	0.271146479	0.212413532	0.188904523	0.360260968	0.224355922	0.496166015	0.496166015	0.065	0.402283608	0.402283608	0.065	0.065	0.496166015	0.3084012	0.235586958	0.213124886	0.320938538	0.228741431	0.231326983	0.285015	0.264116869	0.291509333	0.146482062	0.153680584	0.137190455	0.271146479
12/1/2000	0.261091901	0.293996592	0.317395736	0.31517296	0.357353574	0.126206622	0.31517296	0.319618512	0.222912567	0.25549195	0.273064772	0.24535868	0.300770864	0.300770864	0.065	0.332213023	0.332213023	0.065	0.065	0.300770864	0.363655182	0.212813488	0.277903873	0.333724806	0.296241427	0.188458996	0.285015	0.365331076	0.399534188	0.322524904	0.126206622	0.31517296	0.319618512
1/1/2001	0.33307996	0.335392781	0.208205551	0.170139078	0.289735026	0.216117088	0.170139078	0.246272023	0.231194556	0.263162548	0.273014134	0.233348077	0.312680192	0.312680192	0.065	0.331113254	0.331113254	0.065	0.065	0.312680192	0.349546316	0.215541244	0.25115491	0.404705332	0.381162669	0.261454589	0.285015	0.340743962	0.409330974	0.264870506	0.216117088	0.170139078	0.246272023
