LU code	Description	Assumed Imperviousness	Surface Storage Max	CN 1	CN 2	CN 3	CN 4	Max net infil 1	Max net infil 2	Max net infil 3	Max net infil 4	Interception_Growing	Interception_Nongrowing	RZ 1	RZ 2	RZ 3	RZ 4	Curve Number References	Rooting Depth References	Rooting_depth_ft	Rooting_depth_inches	Fog_catch eff	Max_allowable_depletion	Irrigation_efficiency	Irrigation_code	Application Option	Application Amount	Monthly Application Schedule	Canopy_Storage_Capacity	Trunk_Storage_Capacity	Stemflow_Fraction	Depletion_fraction	Annual_direct_net_infiltration	Storm drain capture fraction	Annual_septic_discharge	Kcb_Jan	Kcb_Feb	Kcb_Mar	Kcb_Apr	Kcb_May	Kcb_Jun	Kcb_Jul	Kcb_Aug	Kcb_Sep	Kcb_Oct	Kcb_Nov	Kcb_Dec	Kcb_ini	Kcb_mid	Kcb_end	Kcb_min	Planting_Date	Mean_Plant_Height	Units_are_Days	GDD_Base_Temperature	GDD_Maximum_Temperature	L_shift	L_ini	L_dev	L_mid	L_late	L_fallow	Irrigation_days	REW 1	REW 2	REW 3	REW 4	TEW 1	TEW 2	TEW 3	TEW 4	Fraction_of_irrigation_from_GW	First_day_of_irrigation	Last_day_of_irrigation	First_day_of_growing_season	Last_day_of_growing_season
0	Background	**	0	100	100	100	100	99	99	99	99	0	0	0	0	0	0			0	0	0	1	1	0	NA	0	NA	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	01/01	0	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
200	Pineapple	**	0	42	64	76	81	99	99	99	99	0.08	0	1.5	1.5	1.5	1.5	"Cooley, Keith R., and Leonard J. Lane. Modified Runoff Curve Numbers for Sugarcane and Pineapple Fields in Hawaii. Journal of Soil and Water Conservation 37, no. 5 (1982): 295-98."		1.5	18	0	0	0.85	6	PE - P demand	0	1100001110000111000011100010000	0	0	0	0.5	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0	0	01/01	5	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
300	Coffee	**	0	52	70	80	84	99	99	99	99	0.06	0	4	4	4	4			4	48	0.5	0	0.8	8	PE - P demand	0	1111111111111111111111111111111	0	0	0	0.4	0	0	0	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0	0	0	0	01/01	5	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
400	Diversified Agriculture	**	0	55	72	82	85	99	99	99	99	0	0	0.83	0.83	0.83	0.83			0.83	10	0	0	2.073170732	10	PE - P demand	0	1111111111111111111111111111111	0	0	0	0.35	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	01/01	4	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
500	Macadamia	**	0	44	65	77	82	99	99	99	99	0.06	0	5	5	5	5			5	60	0	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0	0	0	0	01/01	10	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
600	Fallow_grassland	**	0	37	61	74	79	99	99	99	99	0.03	0	3.25	3.25	3.25	3.25			3.25	39	0	1	1	0	none	0	NA	0	0	0	0.6	0	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0	0	01/01	3	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
700	Developed Open Space	**	0	37	61	74	79	99	99	99	99	0.03	0	1	1	1	1			1	12	0	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	2	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
800	Developed Low intensity	18	0	60	75	84	87	99	99	99	99	0.04	0	1	1	1	1			1	12	0	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	2	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
900	Developed Medium intensity	58	0.25	70	82	88	91	99	99	99	99	0.04	0	1	1	1	1			1	12	0	0	1.891891892	1	PE - P demand	0	1111111111111111111111111111111	0	0	0	0.5	0	1	6	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	2	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1000	Developed High intensity	84	0.25	81	88	92	94	99	99	99	99	0.03	0	1	1	1	1			1	12	0	0	1.891891892	1	PE - P demand	0	1111111111111111111111111111111	0	0	0	0.5	0	1	6	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	2	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1100	Water body	**	0	97	98	99	99	99	99	99	99	0	0	0.08	0.08	0.08	0.08			0.08	1	0	1	1	0	none	0	NA	0	0	0	1	0	0	0	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	0	0	0	0	01/01	0	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1200	Wetland	**	0	78	86	91	93	99	99	99	99	0.06	0	3.25	3.25	3.25	3.25			3.25	39	0	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	3	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1300	Sparsely vegetated	**	0	63	77	85	88	99	99	99	99	0	0	0.42	0.42	0.42	0.42			0.42	5	0	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	1.18	0	0	0	0	01/01	2	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1400	Grassland	**	0	37	61	74	79	99	99	99	99	0.03	0	3.25	3.25	3.25	3.25			3.25	39	0	1	1	0	none	0	NA	0	0	0	0.6	0	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0	0	01/01	3	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
