"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -9.99000000000E+02   5.00000007451E-02  Obs_0       
  -9.99000000000E+02   5.00000007451E-02  Obs_1       
  -9.99000000000E+02   5.00000007451E-02  Obs_2       
   3.94030988216E-01   5.00000007451E-02  Obs_3       
   5.69814205170E-01   5.00000007451E-02  Obs_4       
   6.60674035549E-01   5.00000007451E-02  Obs_5       
   4.35936719179E-01   5.00000007451E-02  Obs_6       
   3.03300172091E-01   5.00000007451E-02  Obs_7       
   2.37086653709E-01   5.00000007451E-02  Obs_8       
  -9.99000000000E+02   5.00000007451E-02  Obs_9       
  -9.99000000000E+02   5.00000007451E-02  Obs_10      
  -9.99000000000E+02   5.00000007451E-02  Obs_11      
  -9.99000000000E+02   5.00000007451E-02  Obs_12      
   7.53544092178E-01   5.00000007451E-02  Obs_13      
   1.43830728531E+00   5.00000007451E-02  Obs_14      
   2.29946184158E+00   5.00000007451E-02  Obs_15      
   1.63451457024E+00   5.00000007451E-02  Obs_16      
   6.46687924862E-01   5.00000007451E-02  Obs_17      
   4.36339050531E-01   5.00000007451E-02  Obs_18      
  -9.99000000000E+02   5.00000007451E-02  Obs_19      
   3.43192648888E+00   5.50000000000E+00  Obs_20      
  -9.99000000000E+02   5.00000007451E-02  Obs_21      
  -9.99000000000E+02   5.00000007451E-02  Obs_22      
  -9.99000000000E+02   5.00000007451E-02  Obs_23      
   1.48597097397E+00   5.00000007451E-02  Obs_24      
   3.30582857132E+00   5.00000007451E-02  Obs_25      
   1.37059104443E+00   5.00000007451E-02  Obs_26      
   8.80290627480E-01   5.00000007451E-02  Obs_27      
  -9.99000000000E+02   5.00000007451E-02  Obs_28      
  -9.99000000000E+02   5.00000007451E-02  Obs_29      
  -9.99000000000E+02   5.00000007451E-02  Obs_30      
  -9.99000000000E+02   5.00000007451E-02  Obs_31      
   2.43462538719E+00   5.00000007451E-02  Obs_32      
   2.78433513641E+00   5.00000007451E-02  Obs_33      
   1.93777310848E+00   5.00000007451E-02  Obs_34      
  -9.99000000000E+02   5.00000007451E-02  Obs_35      
  -9.99000000000E+02   5.00000007451E-02  Obs_36      
  -9.99000000000E+02   5.00000007451E-02  Obs_37      
   1.60738515854E+00   5.00000007451E-02  Obs_38      
   3.58021640778E+00   5.00000007451E-02  Obs_39      
   3.79582715034E+00   5.00000007451E-02  Obs_40      
   2.98094320297E+00   5.00000007451E-02  Obs_41      
   5.91645193100E+00   2.00000002980E-01  Obs_42      
   5.64608669281E+00   4.00000005960E-01  Obs_43      
   4.70817041397E+00   3.00000011921E-01  Obs_44      
   5.04920959473E+00   6.00000023842E-01  Obs_45      
   8.47631454468E+00   2.29999995232E+00  Obs_46      
   7.71369218826E+00   2.59999990463E+00  Obs_47      
   8.89219951630E+00   3.50000000000E+00  Obs_48      
  -9.99000000000E+02   5.00000007451E-02  Obs_49      
  -9.99000000000E+02   5.00000007451E-02  Obs_50      
   1.59942209721E+00   5.00000007451E-02  Obs_51      
   3.84689688683E+00   5.00000007451E-02  Obs_52      
   7.15799522400E+00   1.20000004768E+00  Obs_53      
   3.68100523949E+00   5.00000007451E-02  Obs_54      
   9.42239284515E+00   3.59999990463E+00  Obs_55      
   7.78871631622E+00   2.42989993095E+00  Obs_56      
  -9.99000000000E+02   5.00000007451E-02  Obs_57      
   9.62125480175E-01   5.00000007451E-02  Obs_58      
