"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
  -9.99000000000E+02   5.00000007451E-02  Obs_0       
  -9.99000000000E+02   5.00000007451E-02  Obs_1       
  -9.99000000000E+02   5.00000007451E-02  Obs_2       
   3.94098073244E-01   5.00000007451E-02  Obs_3       
   5.69881141186E-01   5.00000007451E-02  Obs_4       
   6.60723745823E-01   5.00000007451E-02  Obs_5       
   4.35941129923E-01   5.00000007451E-02  Obs_6       
   3.03298890591E-01   5.00000007451E-02  Obs_7       
   2.37080335617E-01   5.00000007451E-02  Obs_8       
  -9.99000000000E+02   5.00000007451E-02  Obs_9       
  -9.99000000000E+02   5.00000007451E-02  Obs_10      
  -9.99000000000E+02   5.00000007451E-02  Obs_11      
  -9.99000000000E+02   5.00000007451E-02  Obs_12      
   7.53620386124E-01   5.00000007451E-02  Obs_13      
   1.43837690353E+00   5.00000007451E-02  Obs_14      
   2.29953694344E+00   5.00000007451E-02  Obs_15      
   1.63456857204E+00   5.00000007451E-02  Obs_16      
   6.46632850170E-01   5.00000007451E-02  Obs_17      
   4.36305254698E-01   5.00000007451E-02  Obs_18      
  -9.99000000000E+02   5.00000007451E-02  Obs_19      
   3.43191504478E+00   5.50000000000E+00  Obs_20      
  -9.99000000000E+02   5.00000007451E-02  Obs_21      
  -9.99000000000E+02   5.00000007451E-02  Obs_22      
  -9.99000000000E+02   5.00000007451E-02  Obs_23      
   1.48597562313E+00   5.00000007451E-02  Obs_24      
   3.30571651459E+00   5.00000007451E-02  Obs_25      
   1.37041509151E+00   5.00000007451E-02  Obs_26      
   8.80207419395E-01   5.00000007451E-02  Obs_27      
  -9.99000000000E+02   5.00000007451E-02  Obs_28      
  -9.99000000000E+02   5.00000007451E-02  Obs_29      
  -9.99000000000E+02   5.00000007451E-02  Obs_30      
  -9.99000000000E+02   5.00000007451E-02  Obs_31      
   2.43453192711E+00   5.00000007451E-02  Obs_32      
   2.78434133530E+00   5.00000007451E-02  Obs_33      
   1.93788588047E+00   5.00000007451E-02  Obs_34      
  -9.99000000000E+02   5.00000007451E-02  Obs_35      
  -9.99000000000E+02   5.00000007451E-02  Obs_36      
  -9.99000000000E+02   5.00000007451E-02  Obs_37      
   1.60721385479E+00   5.00000007451E-02  Obs_38      
   3.58028292656E+00   5.00000007451E-02  Obs_39      
   3.79591798782E+00   5.00000007451E-02  Obs_40      
   2.98105907440E+00   5.00000007451E-02  Obs_41      
   5.91619539261E+00   2.00000002980E-01  Obs_42      
   5.64579534531E+00   4.00000005960E-01  Obs_43      
   4.70806646347E+00   3.00000011921E-01  Obs_44      
   5.04902362823E+00   6.00000023842E-01  Obs_45      
   8.47581577301E+00   2.29999995232E+00  Obs_46      
   7.71324300766E+00   2.59999990463E+00  Obs_47      
   8.89170360565E+00   3.50000000000E+00  Obs_48      
  -9.99000000000E+02   5.00000007451E-02  Obs_49      
  -9.99000000000E+02   5.00000007451E-02  Obs_50      
   1.59939503670E+00   5.00000007451E-02  Obs_51      
   3.84709477425E+00   5.00000007451E-02  Obs_52      
   7.15757560730E+00   1.20000004768E+00  Obs_53      
   3.68095278740E+00   5.00000007451E-02  Obs_54      
   9.42199325562E+00   3.59999990463E+00  Obs_55      
   7.78830671310E+00   2.42989993095E+00  Obs_56      
  -9.99000000000E+02   5.00000007451E-02  Obs_57      
   9.62158441544E-01   5.00000007451E-02  Obs_58      
