"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   6.73835229874E+00   5.50000000000E+00  Obs_0       
   1.89747774601E+00   2.00000002980E-01  Obs_1       
   1.89748227596E+00   4.00000005960E-01  Obs_2       
   1.89747881889E+00   3.00000011921E-01  Obs_3       
   1.89748227596E+00   6.00000023842E-01  Obs_4       
   1.89751231670E+00   2.29999995232E+00  Obs_5       
   1.89750397205E+00   2.59999990463E+00  Obs_6       
   3.23616147041E+00   3.50000000000E+00  Obs_7       
   1.89750409126E+00   1.20000004768E+00  Obs_8       
   5.82015514374E+00   3.59999990463E+00  Obs_9       
   1.89751446247E+00   1.50000000000E+00  Obs_10      
   4.92208719254E+00   1.89999997616E+00  Obs_11      
   7.86490917206E+00   1.29999995232E+00  Obs_12      
   5.01798486710E+00   8.99999976158E-01  Obs_13      
   1.08132171631E+01   4.47000007629E+01  Obs_14      
   4.99881839752E+00   2.59999990463E+00  Obs_15      
   4.94113397598E+00   1.70000004768E+00  Obs_16      
   9.80857372284E+00   3.00000000000E+00  Obs_17      
   4.96318483353E+00   1.79999995232E+00  Obs_18      
   1.58854894638E+01   5.90000009537E+00  Obs_19      
   9.96337413788E+00   1.92000007629E+01  Obs_20      
   1.83270969391E+01   8.00000000000E+00  Obs_21      
   1.14842710495E+01   8.19999980927E+00  Obs_22      
   1.01852722168E+01   5.75000000000E+00  Obs_23      
   1.83348731995E+01   3.42000007629E+01  Obs_24      
   9.49808406830E+00   3.20000004768E+00  Obs_25      
   2.01161441803E+01   1.65000000000E+01  Obs_26      
   1.33787031174E+01   2.53999996185E+01  Obs_27      
   9.03378200531E+00   1.79999995232E+00  Obs_28      
   9.02216053009E+00   8.80000019073E+00  Obs_29      
   7.39330863953E+00   8.50000023842E-01  Obs_30      
   7.14812135696E+00   8.99999976158E-01  Obs_31      
   2.05540347099E+00   6.00000023842E-01  Obs_32      
   1.38453445435E+01   2.02999992371E+01  Obs_33      
   7.38098478317E+00   1.79999995232E+00  Obs_34      
   6.94307994843E+00   1.93330001831E+00  Obs_35      
   4.81473875046E+00   3.00000011921E-01  Obs_36      
   2.04779434204E+00   5.00000000000E-01  Obs_37      
   3.79171752930E+00   1.00000000000E+00  Obs_38      
   2.23248424530E+01   6.25000000000E+01  Obs_39      
   7.86928319931E+00   1.58000001907E+01  Obs_40      
   1.29760160446E+01   1.20000004768E+00  Obs_41      
   1.45581750870E+01   7.30000019073E+00  Obs_42      
   1.61893596649E+01   7.30000019073E+00  Obs_43      
   1.75250396729E+01   9.80000019073E+00  Obs_44      
   1.90785312653E+01   1.64666996002E+01  Obs_45      
   8.29796123505E+00   1.20000004768E+00  Obs_46      
   7.62621307373E+00   3.00000000000E+00  Obs_47      
   1.15429258347E+01   6.65000009537E+00  Obs_48      
   1.00976057053E+01   2.70000004768E+00  Obs_49      
   4.60036230087E+00   6.09999990463E+00  Obs_50      
   1.92523860931E+00   1.00000001490E-01  Obs_51      
   9.25844860077E+00   8.10000038147E+00  Obs_52      
   9.21581268311E+00   8.19999980927E+00  Obs_53      
   1.13214969635E+01   4.30000019073E+00  Obs_54      
   1.06347837448E+01   5.56669998169E+00  Obs_55      
   1.20782852173E+01   5.50000000000E+00  Obs_56      
   7.28696775436E+00   7.30000019073E+00  Obs_57      
   5.45604276657E+00   6.00000000000E+00  Obs_58      
   1.99911236763E+00   2.70000004768E+00  Obs_59      
   2.07154679298E+00   5.30000019073E+00  Obs_60      
   3.11259031296E+00   3.09999990463E+00  Obs_61      
   2.34973907471E+00   3.00000000000E+00  Obs_62      
   1.89091134071E+00   5.69999980927E+00  Obs_63      
