"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.26986169815E+00   5.50000000000E+00  Obs_0       
   1.41808557510E+00   2.00000002980E-01  Obs_1       
   1.48350334167E+00   4.00000005960E-01  Obs_2       
   4.89946752787E-01   3.00000011921E-01  Obs_3       
   8.78010988235E-01   6.00000023842E-01  Obs_4       
   4.55646800995E+00   2.29999995232E+00  Obs_5       
   3.65711140633E+00   2.59999990463E+00  Obs_6       
   6.13585424423E+00   3.50000000000E+00  Obs_7       
   3.40521454811E+00   1.20000004768E+00  Obs_8       
   8.12535381317E+00   3.59999990463E+00  Obs_9       
   4.25008153915E+00   2.42989993095E+00  Obs_10      
   4.49528169632E+00   1.89999997616E+00  Obs_11      
   7.40148496628E+00   1.29999995232E+00  Obs_12      
   4.31476068497E+00   8.99999976158E-01  Obs_13      
   1.02708101273E+01   4.47000007629E+01  Obs_14      
   4.17672729492E+00   2.59999990463E+00  Obs_15      
   4.02736854553E+00   1.70000004768E+00  Obs_16      
   9.01742362976E+00   3.00000000000E+00  Obs_17      
   3.95321750641E+00   1.79999995232E+00  Obs_18      
   1.48914299011E+01   5.90000009537E+00  Obs_19      
   9.01953125000E+00   1.92000007629E+01  Obs_20      
   1.72736797333E+01   8.00000000000E+00  Obs_21      
   1.04838800430E+01   8.19999980927E+00  Obs_22      
   9.19058704376E+00   5.75000000000E+00  Obs_23      
   1.72588710785E+01   3.42000007629E+01  Obs_24      
   8.48288249969E+00   3.20000004768E+00  Obs_25      
   1.89885292053E+01   1.68530006409E+01  Obs_26      
   1.23229665756E+01   2.53999996185E+01  Obs_27      
   7.98340511322E+00   1.79999995232E+00  Obs_28      
   7.95018196106E+00   8.80000019073E+00  Obs_29      
   6.29862451553E+00   8.50000023842E-01  Obs_30      
   6.05125761032E+00   8.99999976158E-01  Obs_31      
   8.17939758301E-01   6.00000023842E-01  Obs_32      
   1.26921176910E+01   2.02999992371E+01  Obs_33      
   6.24186038971E+00   1.79999995232E+00  Obs_34      
   5.80259466171E+00   1.62769997120E+00  Obs_35      
   3.51785564423E+00   3.00000011921E-01  Obs_36      
   6.45261764526E-01   5.00000000000E-01  Obs_37      
   2.39883732796E+00   1.00000000000E+00  Obs_38      
   2.09195861816E+01   6.25000000000E+01  Obs_39      
   6.40274953842E+00   1.58000001907E+01  Obs_40      
   1.15675773621E+01   1.20000004768E+00  Obs_41      
   1.31480302811E+01   7.30000019073E+00  Obs_42      
   1.47780818939E+01   7.30000019073E+00  Obs_43      
   1.61074428558E+01   9.80000019073E+00  Obs_44      
   1.76608009338E+01   1.64666996002E+01  Obs_45      
   6.88087844849E+00   1.20000004768E+00  Obs_46      
   6.19187641144E+00   3.00000000000E+00  Obs_47      
   1.00975170135E+01   6.65000009537E+00  Obs_48      
   8.63994598389E+00   2.70000004768E+00  Obs_49      
   3.14105629921E+00   6.09999990463E+00  Obs_50      
   5.67544817924E-01   1.00000001490E-01  Obs_51      
   7.86738777161E+00   8.10000038147E+00  Obs_52      
   7.82499217987E+00   8.19999980927E+00  Obs_53      
   9.89310932159E+00   4.30000019073E+00  Obs_54      
   9.20228004456E+00   5.56669998169E+00  Obs_55      
   1.06489419937E+01   5.50000000000E+00  Obs_56      
   5.83839702606E+00   7.30000019073E+00  Obs_57      
   4.00432395935E+00   6.00000000000E+00  Obs_58      
   6.08521282673E-01   2.70000004768E+00  Obs_59      
   6.49007618427E-01   5.30000019073E+00  Obs_60      
   1.71149301529E+00   3.09999990463E+00  Obs_61      
   9.48116183281E-01   3.00000000000E+00  Obs_62      
   4.83446478844E-01   5.69999980927E+00  Obs_63      
