Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,29,360,763799,40,945,5/30/16,9:45 AM
91,41,88,108516,35,925,5/30/16,9:25 AM
83,100,245,425658,30,930,5/30/16,9:30 AM
93,84,231,931600,35,920,5/30/16,9:20 AM
168,99,240,120842,25,935,5/30/16,9:35 AM
169,100,403,180734,25,940,5/30/16,9:40 AM
119,78,230,947533,90,915,5/30/16,9:15 AM
128,,,,90,1335,5/30/16,1:35 PM
129,120,25,581035,20,842,5/30/16,8:42 AM
62,2,249,823326,80,1115,5/30/16,11:15 AM
76,0,299,936575,105,1120,5/30/16,11:20 AM
84,18,289,713237,360,113,5/30/16,1:13 AM
167,6,215,781831,110,1125,5/30/16,11:25 AM
177,50,349,165091,240,901,5/30/16,9:01 AM
178,82,96,340206,30,910,5/30/16,9:10 AM
85,20,300,250240,35,826,5/30/16,8:26 AM
89,42,180,85557,35,818,5/30/16,8:18 AM
61,12,200,761963,220,1230,5/30/16,12:30 PM
60,16,460,325122,110,1215,5/30/16,12:15 PM
66,25,177,104774,220,1210,5/30/16,12:10 PM
46,,,31707,,1205,5/30/16,12:05 PM
33,25,180,308581,85,1205,5/30/16,12:05 PM
77,16,220,812661,135,1145,5/30/16,11:45 AM
72,0,220,162069,80,1150,5/30/16,11:50 AM
81,24,312,541387,40,1155,5/30/16,11:55 AM
67,44,119,602482,40,812,5/30/16,8:12 AM
171,22,239,325819,380,1300,5/30/16,1:00 PM
172,19,239,337782,360,1305,5/30/16,1:05 PM
182,,,7126,,1030,5/30/16,10:30 AM
179,75,15,799135,30,626,5/31/16,6:26 AM
101,45,520,272104,40,643,5/31/16,6:43 AM
105,44,0,134440,40,712,5/31/16,7:12 AM
107,44,389,128505,90,705,5/31/16,7:05 AM
163,70,160,289567,1360,659,5/31/16,6:59 AM
165,78,207,630551,30,720,5/31/16,7:20 AM
183,0,210,143320,25,726,5/31/16,7:26 AM
143,15,110,439702,20,740,5/31/16,7:40 AM
97,20,200,743734,1520,806,5/31/16,8:06 AM
99,8,110,424392,940,812,5/31/16,8:12 AM
176,,,123567,,913,5/31/16,9:13 AM
144,,,28269,,740,5/31/16,7:40 AM
170,12,16,122232,25,847,5/31/16,8:47 AM
180,0,18,357805,25,841,5/31/16,8:41 AM
164,55,22,972332,1420,938,5/31/16,9:38 AM
241,54,34,474863,25,1000,5/31/16,10:00 AM
242,,,133634,,1003,5/31/16,10:03 AM
151,40,0,247987,70,1034,5/31/16,10:34 AM
152,80,32,614322,320,1040,5/31/16,10:40 AM
161,,,690035,,1100,5/31/16,11:00 AM
104,40,14,254511,50,1122,5/31/16,11:22 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
