Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,34,243,902113,45,908,6/27/16,9:08 AM
91,42,215,113349,40,832,6/27/16,8:32 AM
83,94,278,523592,30,840,6/27/16,8:40 AM
93,79,334,103498,35,829,6/27/16,8:29 AM
168,94,272,131248,30,845,6/27/16,8:45 AM
169,100,420,197208,30,850,6/27/16,8:50 AM
119,78,260,957573,420,820,6/27/16,8:20 AM
128,,,,95,1103,6/27/16,11:03 AM
129,120,25,590809,25,742,6/27/16,7:42 AM
62,3,250,923327,220,1028,6/27/16,10:28 AM
76,0,265,104817,110,1036,6/27/16,10:36 AM
84,12,316,827669,480,1052,6/27/16,10:52 AM
167,5,230,869763,100,1042,6/27/16,10:42 AM
177,49,318,177387,320,802,6/27/16,8:02 AM
178,80,96,378688,30,812,6/27/16,8:12 AM
85,20,300,263044,35,729,6/27/16,7:29 AM
89,40,180,92229,35,722,6/27/16,7:22 AM
61,10,200,770323,360,1145,6/27/16,11:45 AM
60,11,318,205086,300,1140,6/27/16,11:40 AM
66,4,260,115212,340,1135,6/27/16,11:35 AM
46,,,31707,,1130,6/27/16,11:30 AM
33,16,190,316262,280,1130,6/27/16,11:30 AM
77,11,242,904103,400,1112,6/27/16,11:12 AM
72,0,220,171056,90,1118,6/27/16,11:18 AM
81,3,340,654540,70,1125,6/27/16,11:25 AM
67,41,122,626838,35,716,6/27/16,7:16 AM
171,20,231,422010,380,1235,6/27/16,12:35 PM
172,17,238,433354,400,1240,6/27/16,12:40 PM
182,,,7225,,944,6/27/16,9:44 AM
179,65,20,805612,30,648,6/28/16,6:48 AM
101,50,520,292816,40,629,6/28/16,6:29 AM
105,47,104,162451,35,705,6/28/16,7:05 AM
107,46,386,143478,95,700,6/28/16,7:00 AM
163,60,15,296105,1280,655,6/28/16,6:55 AM
165,76,211,714295,30,710,6/28/16,7:10 AM
183,,,148801,,715,6/28/16,7:15 AM
143,,,442181,,733,6/28/16,7:33 AM
97,23,180,751461,1920,756,6/28/16,7:56 AM
99,,,,,,,
176,,,124314,,820,6/28/16,8:20 AM
144,,,28269,,733,6/28/16,7:33 AM
170,10,18,127058,25,845,6/28/16,8:45 AM
180,0,27,364261,25,837,6/28/16,8:37 AM
164,55,16,980422,1340,929,6/28/16,9:29 AM
241,58,32,488370,25,1000,6/28/16,10:00 AM
242,50,35,141134,25,1005,6/28/16,10:05 AM
151,32,0,247987,95,1034,6/28/16,10:34 AM
152,75,0,625174,520,1042,6/28/16,10:42 AM
161,,,,,,,
104,40,8,258015,70,1124,6/28/16,11:24 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
