Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,390,582188,35,805,4/26/16,8:05 AM
91,80,64,103834,30,740,4/26/16,7:40 AM
83,99,251,303808,25,745,4/26/16,7:45 AM
93,81,230,817496,30,735,4/26/16,7:35 AM
168,95,253,108485,25,750,4/26/16,7:50 AM
169,100,415,160555,25,755,4/26/16,7:55 AM
119,78,260,934720,45,730,4/26/16,7:30 AM
128,,,,,,,
129,120,26,568544,15,1030,4/26/16,10:30 AM
62,0,246,700276,80,725,4/26/16,7:25 AM
76,0,279,792433,95,720,4/26/16,7:20 AM
84,11,271,572941,300,710,4/26/16,7:10 AM
167,9,212,670927,80,715,4/26/16,7:15 AM
177,50,290,150369,135,1020,4/26/16,10:20 AM
178,83,95,293292,20,1015,4/26/16,10:15 AM
85,20,310,235037,20,1040,4/26/16,10:40 AM
89,50,160,77502,25,1045,4/26/16,10:45 AM
61,12,210,752896,95,700,4/26/16,7:00 AM
60,25,330,464534,115,655,4/26/16,6:55 AM
66,19,264,917381,110,650,4/26/16,6:50 AM
46,,,301705,,645,4/26/16,6:45 AM
33,17,190,298786,35,645,4/26/16,6:45 AM
77,10,247,698456,40,630,4/26/16,6:30 AM
72,0,200,151632,25,635,4/26/16,6:35 AM
81,15,299,391151,25,640,4/26/16,6:40 AM
67,50,34,576059,25,1050,4/26/16,10:50 AM
171,29,249,205659,360,1450,4/26/16,2:50 PM
172,26,241,225158,400,1455,4/26/16,2:55 PM
182,,,7053,,945,4/26/16,9:45 AM
179,42,30,789492,25,645,4/27/16,6:45 AM
101,42,540,246264,25,703,4/27/16,7:03 AM
105,47,24,110710,25,733,4/27/16,7:33 AM
107,43,386,110075,85,726,4/27/16,7:26 AM
163,100,170,281592,1060,714,4/27/16,7:14 AM
165,55,219,528193,25,742,4/27/16,7:42 AM
183,12,240,134821,20,747,4/27/16,7:47 AM
143,15,110,436751,20,759,4/27/16,7:59 AM
97,22,200,734229,1560,827,4/27/16,8:27 AM
99,,,,1000,836,4/27/16,8:36 AM
176,,,122525,,845,4/27/16,8:45 AM
144,,,28269,,802,4/27/16,8:02 AM
170,12,0,116100,20,910,4/27/16,9:10 AM
180,0,18,349109,20,904,4/27/16,9:04 AM
164,65,29,960181,1420,952,4/27/16,9:52 AM
241,,,58920,,734,4/28/16,7:34 AM
242,,,110980,,738,4/28/16,7:38 AM
151,10,0,247987,50,815,4/28/16,8:15 AM
152,40,25,698715,280,820,4/28/16,8:20 AM
161,,,68433,,856,4/28/16,8:56 AM
104,35,7,250068,45,926,4/28/16,9:26 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
