Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,34,359,832369,40,1000,6/13/16,10:00 AM
91,38,19,110348,30,935,6/13/16,9:35 AM
83,99,255,475924,25,940,6/13/16,9:40 AM
93,83,331,970328,30,930,6/13/16,9:30 AM
168,98,239,125960,25,945,6/13/16,9:45 AM
169,100,404,189141,25,950,6/13/16,9:50 AM
119,78,260,952789,240,924,6/13/16,9:24 AM
128,,,,200,1142,6/13/16,11:42 AM
129,,,585763,,1152,6/13/16,11:52 AM
62,1,249,873192,95,918,6/13/16,9:18 AM
76,0,264,993621,110,914,6/13/16,9:14 AM
84,13,307,771146,540,858,6/13/16,8:58 AM
167,7,222,825530,100,908,6/13/16,9:08 AM
177,45,322,171632,260,1134,6/13/16,11:34 AM
178,81,95,359551,30,1126,6/13/16,11:26 AM
85,20,340,256708,30,1209,6/13/16,12:09 PM
89,42,180,88969,30,1217,6/13/16,12:17 PM
61,12,220,766137,300,838,6/13/16,8:38 AM
60,12,467,122603,220,833,6/13/16,8:33 AM
66,49,260,109914,320,826,6/13/16,8:26 AM
46,,,31707,,817,6/13/16,8:17 AM
33,22,180,312420,220,817,6/13/16,8:17 AM
77,14,224,856429,320,757,6/13/16,7:57 AM
72,0,230,166509,70,757,6/13/16,7:57 AM
81,20,303,600848,55,806,6/13/16,8:06 AM
67,45,206,613965,30,1225,6/13/16,12:25 PM
171,21,233,373947,340,1306,6/13/16,1:06 PM
172,19,238,385637,380,1317,6/13/16,1:17 PM
182,,,7177,,1041,6/13/16,10:41 AM
179,100,20,802701,25,631,6/14/16,6:31 AM
101,0,540,282803,40,646,6/14/16,6:46 AM
105,42,46,148918,35,714,6/14/16,7:14 AM
107,41,392,135972,85,708,6/14/16,7:08 AM
163,0,160,292829,1140,700,6/14/16,7:00 AM
165,78,210,672056,30,721,6/14/16,7:21 AM
183,0,230,146035,25,727,6/14/16,7:27 AM
143,12,110,44954,20,739,6/14/16,7:39 AM
97,20,150,747604,1460,806,6/14/16,8:06 AM
99,5,127,627965,980,812,6/14/16,8:12 AM
176,,,123935,,823,6/14/16,8:23 AM
144,,,28269,,739,6/14/16,7:39 AM
170,,,124612,,849,6/14/16,8:49 AM
180,,,361007,,846,6/14/16,8:46 AM
164,60,18,976665,1460,935,6/14/16,9:35 AM
241,46,34,451568,25,1000,6/14/16,10:00 AM
242,60,34,136863,25,1005,6/14/16,10:05 AM
151,40,0,247987,380,1033,6/14/16,10:33 AM
152,60,24,620497,380,1040,6/14/16,10:40 AM
161,,,692439,,1056,6/14/16,10:56 AM
104,40,8,256373,75,10048,6/14/16,10:48 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
