Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,25,405,186954,45,835,2/15/16,8:35 AM
91,75,329,815548,35,800,2/15/16,8:00 AM
83,100,,,30,810,2/15/16,8:10 AM
93,78,248,778954,35,755,2/15/16,7:55 AM
168,95,240,830883,30,805,2/15/16,8:05 AM
169,100,341,120017,30,825,2/15/16,8:25 AM
119,78,260,908080,360,750,2/15/16,7:50 AM
128,,,,,,,
129,120,26,543301,20,1016,2/15/16,10:16 AM
62,2,249,449040,120,740,2/15/16,7:40 AM
76,1,307,517217,120,735,2/15/16,7:35 AM
84,15,234,321901,460,719,2/15/16,7:19 AM
167,6,245,427615,105,725,2/15/16,7:25 AM
177,52,,,260,955,2/15/16,9:55 AM
178,81,95,195948,30,950,2/15/16,9:50 AM
85,60,320,202707,30,1036,2/15/16,10:36 AM
89,40,180,62932,30,1045,2/15/16,10:45 AM
61,0,210,731501,300,700,2/15/16,7:00 AM
60,12,340,430857,300,655,2/15/16,6:55 AM
66,23,264,657855,320,650,2/15/16,6:50 AM
46,,,29101,,632,2/15/16,6:32 AM
33,26,160,279426,300,642,2/15/16,6:42 AM
77,17,222,473210,400,616,2/15/16,6:16 AM
72,0,220,129289,110,620,2/15/16,6:20 AM
81,1,280,897851,70,632,2/15/16,6:32 AM
67,40,,,35,1050,2/15/16,10:50 AM
171,22,,,440,1404,2/15/16,2:04 PM
172,24,237,414177,380,1410,2/15/16,2:10 PM
182,,,6742,,911,2/15/16,9:11 AM
179,90,16,774692,30,1117,2/15/16,11:17 AM
101,50,520,191568,45,1134,2/15/16,11:34 AM
105,65,160,264543,1040,1150,2/15/16,11:50 AM
107,45,390,710873,80,1155,2/15/16,11:55 AM
163,47,112,358675,35,1205,2/15/16,12:05 PM
165,70,200,319966,30,1240,2/15/16,12:40 PM
183,12,220,119788,25,1211,2/15/16,12:11 PM
143,,,430946,,1227,2/15/16,12:27 PM
97,30,200,713428,1580,1310,2/15/16,1:10 PM
99,12,150,839323,1000,1300,2/15/16,1:00 PM
176,,,118452,,930,2/15/16,9:30 AM
170,10,18,103556,25,1002,2/16/16,10:02 AM
180,0,17,332429,25,952,2/16/16,9:52 AM
164,55,32,929788,1400,702,2/16/16,7:02 AM
241,58,32,424662,25,734,2/16/16,7:34 AM
242,65,38,79829,25,742,2/16/16,7:42 AM
151,35,0,247987,80,813,2/16/16,8:13 AM
152,70,25,574660,420,820,2/16/16,8:20 AM
161,,,,,,,
104,40,16,236658,60,849,2/16/16,8:49 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
