Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,32,367,544334,35,800,4/19/16,8:00 AM
91,48,108,102305,25,740,4/19/16,7:40 AM
83,94,234,279742,20,745,4/19/16,7:45 AM
93,79,211,795548,25,736,4/19/16,7:36 AM
168,87,250,106076,20,750,4/19/16,7:50 AM
169,95,344,156467,20,755,4/19/16,7:55 AM
119,78,260,932052,55,728,4/19/16,7:28 AM
128,,,,,,,
129,120,25,565964,15,1000,4/19/16,10:00 AM
62,2,246,675568,60,718,4/19/16,7:18 AM
76,0,246,762368,100,712,4/19/16,7:12 AM
84,14,266,546618,320,652,4/19/16,6:52 AM
167,10,235,651493,95,659,4/19/16,6:59 AM
177,49,300,147374,110,946,4/19/16,9:46 AM
178,82,97,283599,25,930,4/19/16,9:30 AM
85,20,300,231864,20,1024,4/19/16,10:24 AM
89,50,160,75848,25,1030,4/19/16,10:30 AM
61,5,210,750759,50,1330,4/19/16,1:30 PM
60,25,340,461076,75,1325,4/19/16,1:25 PM
66,19,265,891178,95,1320,4/19/16,1:20 PM
46,,,31707,,1315,4/19/16,1:15 PM
33,18,200,296879,30,1315,4/19/16,1:15 PM
77,10,244,676233,35,1310,4/19/16,1:10 PM
72,0,230,149588,30,1305,4/19/16,1:05 PM
81,14,297,361758,25,1300,4/19/16,1:00 PM
67,55,54,570367,25,1035,4/19/16,10:35 AM
171,33,239,181696,360,1340,4/19/16,1:40 PM
172,27,238,216278,400,1345,4/19/16,1:45 PM
182,,,7035,,842,4/19/16,8:42 AM
179,42,32,786801,23,657,4/20/16,6:57 AM
101,35,530,420961,35,719,4/20/16,7:19 AM
105,45,49,108540,35,750,4/20/16,7:50 AM
107,43,379,106354,85,742,4/20/16,7:42 AM
163,65,170,279898,980,736,4/20/16,7:36 AM
165,78,206,509148,25,759,4/20/16,7:59 AM
183,12,220,133664,25,805,4/20/16,8:05 AM
143,,,436136,,816,4/20/16,8:16 AM
97,25,210,732223,1600,845,4/20/16,8:45 AM
99,,,,,856,4/20/16,8:56 AM
176,0,100,121793,25,908,4/20/16,9:08 AM
144,,,28269,,820,4/20/16,8:20 AM
170,14,0,114839,20,936,4/20/16,9:36 AM
180,0,17,347349,20,931,4/20/16,9:31 AM
164,65,28,957757,1440,712,4/21/16,7:12 AM
241,56,32,455736,20,738,4/21/16,7:38 AM
242,65,38,113353,20,745,4/21/16,7:45 AM
151,25,0,247987,45,820,4/21/16,8:20 AM
152,55,20,596525,320,825,4/21/16,8:25 AM
161,,,683121,,846,4/21/16,8:46 AM
104,38,9,249107,50,900,4/21/16,9:00 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
