Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,369,130220,40,815,9/12/16,8:15 AM
91,83,242,133552,30,750,9/12/16,7:50 AM
83,101,204,780242,30,755,9/12/16,7:55 AM
93,86,325,138444,35,745,9/12/16,7:45 AM
168,95,247,158928,30,800,9/12/16,8:00 AM
169,100,390,241203,30,805,9/12/16,8:05 AM
119,79,160,986203,580,737,9/12/16,7:37 AM
128,,,,140,955,9/12/16,9:55 AM
129,120,23,617888,20,650,9/12/16,6:50 AM
62,27,207,117863,280,930,9/12/16,9:30 AM
76,0,258,134242,120,935,9/12/16,9:35 AM
84,11,238,1135011,560,945,9/12/16,9:45 AM
167,4,225,111193,110,940,9/12/16,9:40 AM
177,46,328,121418,360,712,9/12/16,7:12 AM
178,80,96,484447,30,725,9/12/16,7:25 AM
85,20,30,298162,25,640,9/12/16,6:40 AM
89,35,180,110319,30,625,9/12/16,6:25 AM
61,0,270,799961,500,1055,9/12/16,10:55 AM
60,8,176,516763,360,1045,9/12/16,10:45 AM
66,18,270,143433,420,1035,9/12/16,10:35 AM
46,,,,30,1100,9/12/16,11:00 AM
33,17,270,340009,380,1030,9/12/16,10:30 AM
77,10,221,117039,600,1005,9/12/16,10:05 AM
72,0,260,199198,95,1015,9/12/16,10:15 AM
81,15,300,998515,80,1025,9/12/16,10:25 AM
67,40,77,691527,30,620,9/12/16,6:20 AM
171,25,156,657979,440,1425,9/12/16,2:25 PM
172,21,246,657971,580,1440,9/12/16,2:40 PM
182,,,7609,,848,9/12/16,8:48 AM
179,65,16,821986,30,1135,9/12/16,11:35 AM
101,30,510,350511,45,1150,9/12/16,11:50 AM
105,37,72,271722,35,1225,9/12/16,12:25 PM
107,34,397,184946,95,1220,9/12/16,12:20 PM
163,55,180,313887,1340,1215,9/12/16,12:15 PM
165,78,199,938554,35,1230,9/12/16,12:30 PM
183,7,220,165628,25,1240,9/12/16,12:40 PM
143,17,120,449504,25,1255,9/12/16,12:55 PM
97,17,200,772319,1760,1315,9/12/16,1:15 PM
99,,,197738,,1325,9/12/16,1:25 PM
176,,,126755,,640,9/13/16,6:40 AM
144,,,28269,,1255,9/12/16,12:55 PM
170,,,137800,,706,9/13/16,7:06 AM
180,,,379442,,706,9/13/16,7:06 AM
164,65,30,2887,1520,750,9/13/16,7:50 AM
241,55,32,524573,30,821,9/13/16,8:21 AM
242,55,28,164870,25,828,9/13/16,8:28 AM
151,30,0,247987,100,901,9/13/16,9:01 AM
152,70,23,645466,460,910,9/13/16,9:10 AM
161,,,709964,,936,9/13/16,9:36 AM
104,17,10,267186,65,955,9/13/16,9:55 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
