Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,23,407,226696,35,833,2/22/16,8:33 AM
91,,280,846784,30,806,2/22/16,8:06 AM
83,100,,,30,812,2/22/16,8:12 AM
93,81,196,604515,35,800,2/22/16,8:00 AM
168,97,228,855025,25,817,2/22/16,8:17 AM
169,110,414,123802,25,823,2/22/16,8:23 AM
119,78,260,910725,400,753,2/22/16,7:53 AM
128,,,,,,,
129,120,23,545603,20,1019,2/22/16,10:19 AM
62,2,249,474131,130,742,2/22/16,7:42 AM
76,1,262,546110,140,737,2/22/16,7:37 AM
84,9,246,346294,460,716,2/22/16,7:16 AM
167,0,243,452321,110,729,2/22/16,7:29 AM
177,53,423,116944,260,1006,2/22/16,10:06 AM
178,84,94,205506,30,1000,2/22/16,10:00 AM
85,20,300,205875,25,1038,2/22/16,10:38 AM
89,54,160,64414,30,1047,2/22/16,10:47 AM
61,10,200,733633,300,700,2/22/16,7:00 AM
60,20,340,434256,340,652,2/22/16,6:52 AM
66,21,267,684959,340,646,2/22/16,6:46 AM
46,,,29101,,637,2/22/16,6:37 AM
33,,200,281369,320,637,2/22/16,6:37 AM
77,17,221,495065,400,611,2/22/16,6:11 AM
72,0,200,131575,120,619,2/22/16,6:19 AM
81,1,309,119913,75,627,2/22/16,6:27 AM
67,55,175,491975,35,1056,2/22/16,10:56 AM
171,14,236,679109,380,1450,2/22/16,2:50 PM
172,20,,,360,1445,2/22/16,2:45 PM
182,,,6780,,912,2/22/16,9:12 AM
179,83,7,776067,25,1122,2/22/16,11:22 AM
101,50,540,196954,45,1142,2/22/16,11:42 AM
105,45,113,443711,25,1210,2/22/16,12:10 PM
107,44,396,749960,80,1205,2/22/16,12:05 PM
163,65,160,266206,1140,1158,2/22/16,11:58 AM
165,78,196,339637,30,1213,2/22/16,12:13 PM
183,,,120893,,1218,2/22/16,12:18 PM
143,12,120,431594,25,1229,2/22/16,12:29 PM
97,22,200,715483,1440,1300,2/22/16,1:00 PM
99,12,140,810813,1000,1305,2/22/16,1:05 PM
176,0,100,119184,25,1314,2/22/16,1:14 PM
144,,,27296,,1235,2/22/16,12:35 PM
170,12,25,104595,25,1342,2/22/16,1:42 PM
180,0,17,333174,25,1337,2/22/16,1:37 PM
164,57,30,932938,1600,646,2/23/16,6:46 AM
241,56,34,427979,25,716,2/23/16,7:16 AM
242,60,36,82757,25,720,2/23/16,7:20 AM
151,35,,247987,60,758,2/23/16,7:58 AM
152,70,30,577077,640,805,2/23/16,8:05 AM
161,,,674913,,820,2/23/16,8:20 AM
104,40,15,238778,45,839,2/23/16,8:39 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
