Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,357,122991,40,810,8/29/16,8:10 AM
91,83,0,130129,35,750,8/29/16,7:50 AM
83,99,166,743330,30,755,8/29/16,7:55 AM
93,86,324,131924,35,742,8/29/16,7:42 AM
168,99,268,153696,25,800,8/29/16,8:00 AM
169,100,398,233925,25,805,8/29/16,8:05 AM
119,78,260,980998,600,733,8/29/16,7:33 AM
128,,,,150,955,8/29/16,9:55 AM
129,120,26,612968,20,654,8/29/16,6:54 AM
62,2,207,113672,280,928,8/29/16,9:28 AM
76,0,259,129103,130,937,8/29/16,9:37 AM
84,14,233,108691,600,949,8/29/16,9:49 AM
167,6,226,106791,115,943,8/29/16,9:43 AM
177,48,299,205767,360,716,8/29/16,7:16 AM
178,83,95,465174,30,725,8/29/16,7:25 AM
85,20,320,291737,30,640,8/29/16,6:40 AM
89,35,150,109968,30,633,8/29/16,6:33 AM
61,0,280,794332,480,1057,8/29/16,10:57 AM
60,7,184,479530,340,1051,8/29/16,10:51 AM
66,19,267,1391922,440,1044,8/29/16,10:44 AM
46,,,,40,1105,8/29/16,11:05 AM
33,15,270,334794,400,1036,8/29/16,10:36 AM
77,11,280,111822,680,1003,8/29/16,10:03 AM
72,0,300,193135,115,1015,8/29/16,10:15 AM
81,15,299,938482,80,1028,8/29/16,10:28 AM
67,37,100,678913,30,622,8/29/16,6:22 AM
171,21,156,261884,420,1421,8/29/16,2:21 PM
172,19,246,613504,520,1430,8/29/16,2:30 PM
182,,,7557,,846,8/29/16,8:46 AM
179,62,13,818979,30,1132,8/29/16,11:32 AM
101,40,520,340046,45,1149,8/29/16,11:49 AM
105,38,96,254897,35,1215,8/29/16,12:15 PM
107,36,395,177191,100,1210,8/29/16,12:10 PM
163,52,180,310603,1240,1200,8/29/16,12:00 PM
165,79,201,898075,30,1220,8/29/16,12:20 PM
183,10,220,164633,30,1225,8/29/16,12:25 PM
143,15,110,448101,25,1237,8/29/16,12:37 PM
97,12,180,768513,1600,1303,8/29/16,1:03 PM
99,7,124,176317,700,1313,8/29/16,1:13 PM
176,,,126308,,702,8/30/16,7:02 AM
144,,,28269,,1237,8/29/16,12:37 PM
170,,,136135,,723,8/30/16,7:23 AM
180,,,377116,,719,8/30/16,7:19 AM
164,60,35,996521,1520,800,8/30/16,8:00 AM
241,54,32,518002,30,824,8/30/16,8:24 AM
242,52,36,160247,30,830,8/30/16,8:30 AM
151,35,0,247987,125,859,8/30/16,8:59 AM
152,70,26,640382,480,908,8/30/16,9:08 AM
161,,,707450,,953,8/30/16,9:53 AM
104,20,10,265402,65,930,8/30/16,9:30 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
