Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,40,339,167779,40,720,11/21/16,7:20 AM
91,78,328,156942,25,700,11/21/16,7:00 AM
83,92,259,609128,25,705,11/21/16,7:05 AM
93,82,322,170938,30,654,11/21/16,6:54 AM
168,97,270,184750,25,710,11/21/16,7:10 AM
169,100,410,281792,25,715,11/21/16,7:15 AM
119,78,270,12428,480,652,11/21/16,6:52 AM
128,,,,145,910,11/21/16,9:10 AM
129,140,26,644054,20,618,11/21/16,6:18 AM
62,1,248,142208,300,846,11/21/16,8:46 AM
76,0,291,162466,150,850,11/21/16,8:50 AM
84,13,314,143011,460,903,11/21/16,9:03 AM
167,10,231,133316,115,855,11/21/16,8:55 AM
177,49,311,247195,300,637,11/21/16,6:37 AM
178,81,101,581631,25,643,11/21/16,6:43 AM
85,65,320,330277,35,602,11/21/16,6:02 AM
89,20,180,127228,35,556,11/21/16,5:56 AM
61,0,260,827688,460,930,11/21/16,9:30 AM
60,19,320,806811,440,925,11/21/16,9:25 AM
66,29,276,169467,460,920,11/21/16,9:20 AM
46,,,,30,935,11/21/16,9:35 AM
33,32,260,354300,420,915,11/21/16,9:15 AM
77,20,135,138449,740,940,11/21/16,9:40 AM
72,5,300,229328,135,945,11/21/16,9:45 AM
81,24,299,1300010,130,950,11/21/16,9:50 AM
67,39,219,850296,35,551,11/21/16,5:51 AM
171,31,235,695198,460,1350,11/21/16,1:50 PM
172,27,244,883205,520,1310,11/21/16,1:10 PM
182,,,7897,,750,11/21/16,7:50 AM
179,65,22,838032,30,1005,11/21/16,10:05 AM
101,36,520,402881,40,1016,11/21/16,10:16 AM
105,48,21,348039,40,1035,11/21/16,10:35 AM
107,46,385,222377,100,1030,11/21/16,10:30 AM
163,70,160,329926,1260,1026,11/21/16,10:26 AM
165,70,200,114210,30,1040,11/21/16,10:40 AM
183,10,235,183879,25,1045,11/21/16,10:45 AM
143,15,110,457181,25,1056,11/21/16,10:56 AM
97,20,160,790543,1580,1121,11/21/16,11:21 AM
99,9,124,316030,920,1126,11/21/16,11:26 AM
176,0,100,128921,25,1135,11/21/16,11:35 AM
144,,,28272,,1056,11/21/16,10:56 AM
170,42,15,146061,30,1205,11/21/16,12:05 PM
180,0,10,391016,30,1200,11/21/16,12:00 PM
164,60,30,34482,1520,634,11/22/16,6:34 AM
241,70,32,557079,25,710,11/22/16,7:10 AM
242,50,35,186600,25,715,11/22/16,7:15 AM
151,50,0,247987,130,756,11/22/16,7:56 AM
152,85,32,662523,460,805,11/22/16,8:05 AM
161,,,,,,,
104,20,8,725607,45,835,11/22/16,8:35 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
