Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,28,377,145149,45,735,10/10/16,7:35 AM
91,77,18,140167,35,715,10/10/16,7:15 AM
83,97,261,875275,25,720,10/10/16,7:20 AM
93,81,329,161575,30,710,10/10/16,7:10 AM
168,96,229,169454,30,725,10/10/16,7:25 AM
169,100,410,257901,30,730,10/10/16,7:30 AM
119,78,260,996736,360,702,10/10/16,7:02 AM
128,,,,200,920,10/10/16,9:20 AM
129,120,28,628712,25,634,10/10/16,6:34 AM
62,3,248,127355,320,857,10/10/16,8:57 AM
76,0,294,145190,220,905,10/10/16,9:05 AM
84,15,304,124912,580,915,10/10/16,9:15 AM
167,0,236,120501,150,910,10/10/16,9:10 AM
177,48,277,226191,360,649,10/10/16,6:49 AM
178,80,96,253409,30,655,10/10/16,6:55 AM
85,20,320,310928,35,620,10/10/16,6:20 AM
89,32,180,116972,35,614,10/10/16,6:14 AM
61,6,265,626370,540,950,10/10/16,9:50 AM
60,0,300,811014,440,955,10/10/16,9:55 AM
66,14,290,154658,500,945,10/10/16,9:45 AM
46,,,,40,1000,10/10/16,10:00 AM
33,14,250,350073,460,940,10/10/16,9:40 AM
77,10,,,840,925,10/10/16,9:25 AM
72,0,300,211239,240,930,10/10/16,9:30 AM
81,15,300,111881,115,935,10/10/16,9:35 AM
67,47,90,722931,35,607,10/10/16,6:07 AM
171,22,228,751175,440,1355,10/10/16,1:55 PM
172,19,236,747257,580,1400,10/10/16,2:00 PM
182,,,7719,,814,10/10/16,8:14 AM
179,48,28,828068,30,1020,10/10/16,10:20 AM
101,35,530,371488,45,1037,10/10/16,10:37 AM
105,42,97,303363,35,1110,10/10/16,11:10 AM
107,56,376,199702,100,1105,10/10/16,11:05 AM
163,75,150,320257,1240,1054,10/10/16,10:54 AM
165,79,202,101986,30,1115,10/10/16,11:15 AM
183,10,230,172669,25,1120,10/10/16,11:20 AM
143,12,100,452568,25,1130,10/10/16,11:30 AM
97,13,190,779703,1760,1203,10/10/16,12:03 PM
99,4,126,243353,920,1210,10/10/16,12:10 PM
176,,,127626,,1220,10/10/16,12:20 PM
144,,,28269,,1130,10/10/16,11:30 AM
170,40,16,141063,30,1243,10/10/16,12:43 PM
180,0,18,384083,30,1235,10/10/16,12:35 PM
164,65,30,15479,1640,642,10/11/16,6:42 AM
241,72,32,537654,30,744,10/11/16,7:44 AM
242,52,38,173180,30,753,10/11/16,7:53 AM
151,30,0,247987,140,817,10/11/16,8:17 AM
152,65,18,653681,520,826,10/11/16,8:26 AM
161,,,714703,,858,10/11/16,8:58 AM
104,13,13,270676,65,915,10/11/16,9:15 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
