Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,395,616980,25,945,5/2/16,9:45 AM
91,47,301,105170,20,925,5/2/16,9:25 AM
83,94,255,325147,20,930,5/2/16,9:30 AM
93,81,231,837265,20,920,5/2/16,9:20 AM
168,94,258,110583,15,935,5/2/16,9:35 AM
169,100,414,164156,15,940,5/2/16,9:40 AM
119,78,260,937009,35,914,5/2/16,9:14 AM
128,,,,,,,
129,120,26,570735,15,850,5/2/16,8:50 AM
62,1,251,722427,45,1111,5/2/16,11:11 AM
76,0,315,819104,60,1115,5/2/16,11:15 AM
84,13,270,596850,240,1130,5/2/16,11:30 AM
167,5,217,690422,60,1120,5/2/16,11:20 AM
177,12,221,721361,25,1142,5/2/16,11:42 AM
178,84,96,301780,20,1240,5/2/16,12:40 PM
85,20,210,237844,20,1250,5/2/16,12:50 PM
89,54,170,78977,25,1303,5/2/16,1:03 PM
61,0,210,754985,35,1215,5/2/16,12:15 PM
60,10,360,467948,40,1210,5/2/16,12:10 PM
66,20,271,943889,50,1205,5/2/16,12:05 PM
46,,,31707,,1200,5/2/16,12:00 PM
33,20,230,300800,25,1200,5/2/16,12:00 PM
77,49,341,153082,280,1245,5/2/16,12:45 PM
72,0,200,153587,25,1150,5/2/16,11:50 AM
81,15,305,240923,20,1155,5/2/16,11:55 AM
67,55,215,580407,25,1313,5/2/16,1:13 PM
171,29,249,229783,400,1400,5/2/16,2:00 PM
172,23,237,248044,460,1405,5/2/16,2:05 PM
182,,,7056,,1030,5/2/16,10:30 AM
179,48,28,791693,20,620,5/3/16,6:20 AM
101,40,540,250849,25,637,5/3/16,6:37 AM
105,44,67,113850,35,712,5/3/16,7:12 AM
107,40,390,113159,95,704,5/3/16,7:04 AM
163,100,170,283003,1060,650,5/3/16,6:50 AM
165,75,213,546391,25,723,5/3/16,7:23 AM
183,12,250,136336,20,728,5/3/16,7:28 AM
143,15,110,437272,20,740,5/3/16,7:40 AM
97,22,200,735900,1800,807,5/3/16,8:07 AM
99,8,88,12203,1140,818,5/3/16,8:18 AM
176,0,100,122769,20,831,5/3/16,8:31 AM
144,,,28269,,740,5/3/16,7:40 AM
170,14,25,117190,20,905,5/3/16,9:05 AM
180,0,18,350296,20,854,5/3/16,8:54 AM
164,60,25,692431,1400,939,5/3/16,9:39 AM
241,49,34,461361,20,1004,5/3/16,10:04 AM
242,62,36,119748,20,1010,5/3/16,10:10 AM
151,0,0,247987,50,1040,5/3/16,10:40 AM
152,,,600282,,1045,5/3/16,10:45 AM
161,,,685199,,1115,5/3/16,11:15 AM
104,40,10,250747,35,1134,5/3/16,11:34 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
