Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,36,325,868033,40,915,6/20/16,9:15 AM
91,39,243,111382,35,855,6/20/16,8:55 AM
83,91,280,497708,30,900,6/20/16,9:00 AM
93,77,338,100169,35,850,6/20/16,8:50 AM
168,91,276,128537,25,905,6/20/16,9:05 AM
169,91,435,193096,25,910,6/20/16,9:10 AM
119,78,260,954954,260,845,6/20/16,8:45 AM
128,,,,240,800,6/20/16,8:00 AM
129,120,15,588236,20,805,6/20/16,8:05 AM
62,2,249,898362,125,1050,6/20/16,10:50 AM
76,0,240,102108,110,1055,6/20/16,10:55 AM
84,12,297,799991,520,1105,6/20/16,11:05 AM
167,5,211,847799,125,1100,6/20/16,11:00 AM
177,46,300,174251,300,826,6/20/16,8:26 AM
178,80,96,369038,30,836,6/20/16,8:36 AM
85,20,310,259843,25,751,6/20/16,7:51 AM
89,45,170,90608,30,743,6/20/16,7:43 AM
61,0,200,768250,360,1155,6/20/16,11:55 AM
60,9,318,172974,260,1150,6/20/16,11:50 AM
66,49,265,112586,360,1145,6/20/16,11:45 AM
46,,,31707,,1140,6/20/16,11:40 AM
33,18,180,314338,260,1140,6/20/16,11:40 AM
77,14,235,880202,380,1125,6/20/16,11:25 AM
72,0,220,168790,80,1130,6/20/16,11:30 AM
81,18,331,634095,60,1135,6/20/16,11:35 AM
67,46,128,620246,300,736,6/20/16,7:36 AM
171,25,237,397991,360,1250,6/20/16,12:50 PM
172,27,239,409405,320,1300,6/20/16,1:00 PM
182,,,7201,,1005,6/20/16,10:05 AM
179,72,12,804137,25,630,6/21/16,6:30 AM
101,50,520,287446,40,645,6/21/16,6:45 AM
105,62,67,153406,35,728,6/21/16,7:28 AM
107,59,346,139697,85,722,6/21/16,7:22 AM
163,70,150,294476,1180,713,6/21/16,7:13 AM
165,79,209,693312,35,736,6/21/16,7:36 AM
183,,,147401,,741,6/21/16,7:41 AM
143,,,,,,,
97,40,140,749554,1400,820,6/21/16,8:20 AM
99,6,127,745090,960,830,6/21/16,8:30 AM
176,,,,,,,
144,,,28269,,753,6/21/16,7:53 AM
170,12,0,152894,25,907,6/21/16,9:07 AM
180,0,17,362715,25,901,6/21/16,9:01 AM
164,60,18,978599,1520,949,6/21/16,9:49 AM
241,48,34,485007,25,1012,6/21/16,10:12 AM
242,60,38,139004,25,1016,6/21/16,10:16 AM
151,30,0,247987,90,1045,6/21/16,10:45 AM
152,74,25,623255,360,1050,6/21/16,10:50 AM
161,,,693645,,1109,6/21/16,11:09 AM
104,40,8,257197,60,1122,6/21/16,11:22 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
