Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,30,353,101319,45,851,7/18/16,8:51 AM
91,39,224,119614,30,821,7/18/16,8:21 AM
83,98,258,598446,30,830,7/18/16,8:30 AM
93,82,332,113367,50,815,7/18/16,8:15 AM
168,98,251,138855,30,835,7/18/16,8:35 AM
169,100,410,209450,30,840,7/18/16,8:40 AM
119,78,260,965329,540,806,7/18/16,8:06 AM
128,,,,150,1029,7/18/16,10:29 AM
129,120,20,258293,25,733,7/18/16,7:33 AM
62,2,251,997852,240,959,7/18/16,9:59 AM
76,0,314,112847,130,1008,7/18/16,10:08 AM
84,19,293,912600,520,1021,7/18/16,10:21 AM
167,9,213,935750,115,1015,7/18/16,10:15 AM
177,50,240,186314,280,748,7/18/16,7:48 AM
178,81,95,407548,30,756,7/18/16,7:56 AM
85,20,320,272637,35,715,7/18/16,7:15 AM
89,44,160,97166,25,704,7/18/16,7:04 AM
61,0,280,777294,420,1126,7/18/16,11:26 AM
60,11,331,301432,360,1121,7/18/16,11:21 AM
66,49,254,122845,380,1113,7/18/16,11:13 AM
46,,,31707,,1104,7/18/16,11:04 AM
33,20,200,322024,340,1104,7/18/16,11:04 AM
77,15,223,971563,500,1038,7/18/16,10:38 AM
72,0,220,177770,140,1046,7/18/16,10:46 AM
81,17,323,749519,100,1056,7/18/16,10:56 AM
67,47,308,642594,30,653,7/18/16,6:53 AM
171,32,240,494162,360,1230,7/18/16,12:30 PM
172,28,236,498160,420,1235,7/18/16,12:35 PM
182,,,7310,,922,7/18/16,9:22 AM
179,78,8,810105,30,1300,7/19/16,1:00 PM
101,42,530,309033,40,1315,7/19/16,1:15 PM
105,48,111,1949988,35,713,7/19/16,7:13 AM
107,47,380,154772,100,706,7/19/16,7:06 AM
163,70,160,300976,1560,658,7/19/16,6:58 AM
165,75,211,777119,30,721,7/19/16,7:21 AM
183,0,220,154609,30,727,7/19/16,7:27 AM
143,,,444098,,739,7/19/16,7:39 AM
97,25,160,757237,1560,806,7/19/16,8:06 AM
99,,,118075,,812,7/19/16,8:12 AM
176,,,124936,,824,7/19/16,8:24 AM
144,,,28269,,739,7/19/16,7:39 AM
170,8,0,130688,25,853,7/19/16,8:53 AM
180,0,19,369282,25,844,7/19/16,8:44 AM
164,55,28,985149,1360,930,7/19/16,9:30 AM
241,55,30,498425,25,1001,7/19/16,10:01 AM
242,57,35,148318,25,10100,7/19/16,10:00 AM
151,30,0,247987,95,1034,7/19/16,10:34 AM
152,60,30,625506,480,1042,7/19/16,10:42 AM
161,,,,,,,
104,20,10,260361,65,1125,7/19/16,11:25 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
