Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,32,355,798299,30,915,6/6/16,9:15 AM
91,39,56,109465,30,849,6/6/16,8:49 AM
83,81,255,449975,25,856,6/6/16,8:56 AM
93,76,260,950162,25,842,6/6/16,8:42 AM
168,92,275,123329,25,901,6/6/16,9:01 AM
169,95,431,184909,25,907,6/6/16,9:07 AM
119,78,236,354824,135,833,6/6/16,8:33 AM
128,,,,115,1115,6/6/16,11:15 AM
129,120,25,583537,20,755,6/6/16,7:55 AM
62,1,249,848212,85,1037,6/6/16,10:37 AM
76,0,269,965214,85,1048,6/6/16,10:48 AM
84,15,269,742305,400,1103,6/6/16,11:03 AM
167,5,225,803775,100,1055,6/6/16,10:55 AM
177,49,347,168232,280,816,6/6/16,8:16 AM
178,82,95,349789,25,826,6/6/16,8:26 AM
85,20,340,253435,25,742,6/6/16,7:42 AM
89,38,180,87238,25,735,6/6/16,7:35 AM
61,0,210,764073,260,1214,6/6/16,12:14 PM
60,8,457,783625,180,1207,6/6/16,12:07 PM
66,18,264,107346,240,1201,6/6/16,12:01 PM
46,,,31707,,1152,6/6/16,11:52 AM
33,18,200,310515,180,1152,6/6/16,11:52 AM
77,10,221,834789,240,1123,6/6/16,11:23 AM
72,0,220,164302,65,1132,6/6/16,11:32 AM
81,15,294,571497,35,1143,6/6/16,11:43 AM
67,41,344,608095,25,727,6/6/16,7:27 AM
171,25,242,349873,340,1243,6/6/16,12:43 PM
172,21,241,361794,340,1253,6/6/16,12:53 PM
182,,,7151,,955,6/6/16,9:55 AM
179,75,10,800901,25,607,6/7/16,6:07 AM
101,45,520,277472,40,631,6/7/16,6:31 AM
105,50,104,140707,35,712,6/7/16,7:12 AM
107,49,384,132229,85,705,6/7/16,7:05 AM
163,70,150,291201,1020,648,6/7/16,6:48 AM
165,79,206,651323,30,721,6/7/16,7:21 AM
183,0,240,144756,25,727,6/7/16,7:27 AM
143,15,100,440322,20,739,6/7/16,7:39 AM
97,28,180,745698,1560,810,6/7/16,8:10 AM
99,0,0,501348,,817,6/7/16,8:17 AM
176,,,123743,,827,6/7/16,8:27 AM
144,,,28269,,739,6/7/16,7:39 AM
170,,,123427,,849,6/7/16,8:49 AM
180,,,359474,,849,6/7/16,8:49 AM
164,60,23,794577,1500,937,6/7/16,9:37 AM
241,57,33,478180,25,956,6/7/16,9:56 AM
242,65,38,135772,25,1002,6/7/16,10:02 AM
151,35,0,247987,60,1028,6/7/16,10:28 AM
152,79,32,617499,400,1034,6/7/16,10:34 AM
161,,,,,,6/7/16,12:00 AM
104,40,15,255447,65,1125,6/7/16,11:25 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
