Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,24,402,348198,35,815,3/14/16,8:15 AM
91,78,133,930821,30,750,3/14/16,7:50 AM
83,98,265,151337,25,800,3/14/16,8:00 AM
93,82,252,875999,30,745,3/14/16,7:45 AM
168,97,270,929423,25,805,3/14/16,8:05 AM
169,100,404,35804,25,810,3/14/16,8:10 AM
119,86,260,918547,500,740,3/14/16,7:40 AM
128,,,,,,,
129,120,27,552834,20,1009,3/14/16,10:09 AM
62,2,248,549288,100,725,3/14/16,7:25 AM
76,1,246,618324,90,720,3/14/16,7:20 AM
84,10,239,411043,360,710,3/14/16,7:10 AM
167,7,243,526946,90,715,3/14/16,7:15 AM
177,52,429,52,200,955,3/14/16,9:55 AM
178,81,95,233979,23,950,3/14/16,9:50 AM
85,20,340,215453,23,1033,3/14/16,10:33 AM
89,50,180,69112,23,1041,3/14/16,10:41 AM
61,5,220,740034,200,655,3/14/16,6:55 AM
60,25,330,444254,240,650,3/14/16,6:50 AM
66,19,267,762829,260,645,3/14/16,6:45 AM
46,30,80,29728,85,640,3/14/16,6:40 AM
33,28,180,287181,260,640,3/14/16,6:40 AM
77,18,220,561712,320,620,3/14/16,6:20 AM
72,4,220,138401,75,625,3/14/16,6:25 AM
81,20,295,210417,50,630,3/14/16,6:30 AM
67,54,150,526342,23,1048,3/14/16,10:48 AM
171,26,237,616227,320,1418,3/14/16,2:18 PM
172,21,0,126152,300,1426,3/14/16,2:26 PM
182,,,6875,,900,3/14/16,9:00 AM
179,65,30,780268,30,643,3/15/16,6:43 AM
101,45,530,213716,40,700,3/15/16,7:00 AM
105,45,98,724242,30,737,3/15/16,7:37 AM
107,42,403,870081,90,729,3/15/16,7:29 AM
163,62,170,271328,920,719,3/15/16,7:19 AM
165,78,197,402163,30,750,3/15/16,7:50 AM
183,0,220,124956,25,757,3/15/16,7:57 AM
143,15,120,432694,20,810,3/15/16,8:10 AM
97,25,180,721860,1400,846,3/15/16,8:46 AM
99,,,814996,,850,3/15/16,8:50 AM
176,,,120292,,902,3/15/16,9:02 AM
144,,,28269,,815,3/15/16,8:15 AM
170,15,0,108525,25,923,3/15/16,9:23 AM
180,0,16,338939,25,930,3/15/16,9:30 AM
164,62,30,942535,1440,638,3/16/16,6:38 AM
241,54,34,438564,25,715,3/16/16,7:15 AM
242,60,36,93956,25,720,3/16/16,7:20 AM
151,35,0,247987,75,757,3/16/16,7:57 AM
152,65,20,584449,380,806,3/16/16,8:06 AM
161,,,676901,,826,3/16/16,8:26 AM
104,38,16,243000,50,838,3/16/16,8:38 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
