Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,35,349,152673,45,725,10/24/16,7:25 AM
91,72,304,144890,35,705,10/24/16,7:05 AM
83,90,245,911602,30,710,10/24/16,7:10 AM
93,75,339,158056,40,700,10/24/16,7:00 AM
168,90,248,174279,30,715,10/24/16,7:15 AM
169,90,406,265867,30,720,10/24/16,7:20 AM
119,78,260,1956,460,655,10/24/16,6:55 AM
128,,,,150,900,10/24/16,9:00 AM
129,120,26,633956,25,625,10/24/16,6:25 AM
62,1,245,132297,360,840,10/24/16,8:40 AM
76,0,291,150922,260,845,10/24/16,8:45 AM
84,15,307,131002,640,855,10/24/16,8:55 AM
167,0,225,124928,150,850,10/24/16,8:50 AM
177,45,352,233215,380,645,10/24/16,6:45 AM
178,81,95,542641,35,650,10/24/16,6:50 AM
85,20,300,317376,35,610,10/24/16,6:10 AM
89,25,190,120348,30,605,10/24/16,6:05 AM
61,0,260,816534,480,940,10/24/16,9:40 AM
60,10,257,678976,380,935,10/24/16,9:35 AM
66,20,268,158980,480,930,10/24/16,9:30 AM
46,,,,50,945,10/24/16,9:45 AM
33,17,260,355072,480,925,10/24/16,9:25 AM
77,,,,760,910,10/24/16,9:10 AM
72,0,300,217162,220,915,10/24/16,9:15 AM
81,18,299,117921,110,920,10/24/16,9:20 AM
67,21,241,799171,460,1415,10/24/16,2:15 PM
171,41,216,763419,35,556,10/24/16,5:56 AM
172,16,244,788159,560,1405,10/24/16,2:05 PM
182,,,7773,,959,10/24/16,9:59 AM
179,64,18,831392,35,1013,10/24/16,10:13 AM
101,35,530,381958,50,1023,10/24/16,10:23 AM
105,41,97,322441,45,1045,10/24/16,10:45 AM
107,39,391,207314,110,1040,10/24/16,10:40 AM
163,55,160,323489,1280,1035,10/24/16,10:35 AM
165,69,200,106058,35,1050,10/24/16,10:50 AM
183,10,230,176430,30,1055,10/24/16,10:55 AM
143,15,100,454176,25,1105,10/24/16,11:05 AM
97,20,180,783316,1790,1128,10/24/16,11:28 AM
99,9,112,267011,980,1135,10/24/16,11:35 AM
176,0,120,128103,30,1145,10/24/16,11:45 AM
144,,,28272,,1105,10/24/16,11:05 AM
170,45,15,142710,30,1155,10/24/16,11:55 AM
180,0,12,386400,30,1200,10/24/16,12:00 PM
164,65,32,21743,1720,652,10/25/16,6:52 AM
241,72,30,544160,30,727,10/25/16,7:27 AM
242,60,34,177490,30,735,10/25/16,7:35 AM
151,25,0,247897,140,810,10/25/16,8:10 AM
152,55,20,657142,540,815,10/25/16,8:15 AM
161,,,717360,,839,10/25/16,8:39 AM
104,17,12,272369,80,855,10/25/16,8:55 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
