Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,21,364,501673,30,840,4/11/16,8:40 AM
91,49,179,100167,25,820,4/11/16,8:20 AM
83,94,248,252258,20,825,4/11/16,8:25 AM
93,81,161,771588,25,815,4/11/16,8:15 AM
168,97,228,103328,20,830,4/11/16,8:30 AM
169,110,347,151961,25,835,4/11/16,8:35 AM
119,78,260,929028,280,805,4/11/16,8:05 AM
128,120,26,562903,20,1038,4/11/16,10:38 AM
129,,,,,,,
62,2,245,647286,240,755,4/11/16,7:55 AM
76,0,293,727750,110,750,4/11/16,7:50 AM
84,12,270,516166,540,735,4/11/16,7:35 AM
167,10,237,624138,100,745,4/11/16,7:45 AM
177,48,332,143689,240,1019,4/11/16,10:19 AM
178,81,95,272674,25,1013,4/11/16,10:13 AM
85,20,320,228227,25,1100,4/11/16,11:00 AM
89,46,160,74043,30,1105,4/11/16,11:05 AM
61,10,220,748581,130,720,4/11/16,7:20 AM
60,25,340,457573,150,715,4/11/16,7:15 AM
66,20,260,864257,140,710,4/11/16,7:10 AM
46,52,,31707,30,705,4/11/16,7:05 AM
33,28,180,294857,50,658,4/11/16,6:58 AM
77,15,232,653097,50,631,4/11/16,6:31 AM
72,0,230,147344,30,642,4/11/16,6:42 AM
81,16,267,330914,25,600,4/11/16,6:00 AM
67,48,225,562445,30,1110,4/11/16,11:10 AM
171,31,235,157974,380,1421,4/11/16,2:21 PM
172,27,236,201751,460,1429,4/11/16,2:29 PM
182,,,6994,,924,4/11/16,9:24 AM
179,62,16,785207,25,715,4/12/16,7:15 AM
101,47,520,234897,35,735,4/12/16,7:35 AM
105,100,170,277985,960,750,4/12/16,7:50 AM
107,44,381,102006,70,755,4/12/16,7:55 AM
163,60,64,104006,35,800,4/12/16,8:00 AM
165,75,210,485188,25,805,4/12/16,8:05 AM
183,0,220,131711,25,810,4/12/16,8:10 AM
143,,,435375,2,825,4/12/16,8:25 AM
97,23,190,729919,1380,853,4/12/16,8:53 AM
99,,,,,900,4/12/16,9:00 AM
176,,,121206,,910,4/12/16,9:10 AM
144,,,28289,,830,4/12/16,8:30 AM
170,14,25,113395,25,935,4/12/16,9:35 AM
180,0,17,345350,25,927,4/12/16,9:27 AM
164,55,30,954499,1340,710,4/13/16,7:10 AM
241,58,35,451936,20,740,4/13/16,7:40 AM
242,65,38,109015,20,745,4/13/16,7:45 AM
151,30,0,247987,70,820,4/13/16,8:20 AM
152,60,23,593863,280,825,4/13/16,8:25 AM
161,,,581731,,844,4/13/16,8:44 AM
104,30,10,247990,45,857,4/13/16,8:57 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
