Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,23,392,388036,30,805,3/21/16,8:05 AM
91,79,127,950954,25,740,3/21/16,7:40 AM
83,99,237,177829,25,745,3/21/16,7:45 AM
93,83,249,701078,25,735,3/21/16,7:35 AM
168,99,269,956486,20,750,3/21/16,7:50 AM
169,100,399,139808,25,800,3/21/16,8:00 AM
119,78,260,921135,440,730,3/21/16,7:30 AM
128,,,,,,,
129,120,25,555499,20,958,3/21/16,9:58 AM
62,2,248,573727,90,720,3/21/16,7:20 AM
76,0,249,642022,100,715,3/21/16,7:15 AM
84,17,265,436820,340,655,3/21/16,6:55 AM
167,6,245,552185,100,708,3/21/16,7:08 AM
177,51,432,134051,200,945,3/21/16,9:45 AM
178,79,96,243601,25,937,3/21/16,9:37 AM
85,20,320,218658,30,1018,3/21/16,10:18 AM
89,48,160,70667,30,1029,3/21/16,10:29 AM
61,,220,742161,200,635,3/21/16,6:35 AM
60,10,330,447568,240,630,3/21/16,6:30 AM
66,19,257,788165,220,625,3/21/16,6:25 AM
46,,,30307,,620,3/21/16,6:20 AM
33,19,200,289100,220,615,3/21/16,6:15 AM
77,9,222,583873,300,600,3/21/16,6:00 AM
72,0,230,140665,365,605,3/21/16,6:05 AM
81,10,295,420552,35,610,3/21/16,6:10 AM
67,50,198,536894,30,1035,3/21/16,10:35 AM
171,22,238,856662,320,1341,3/21/16,1:41 PM
172,19,237,142322,360,1350,3/21/16,1:50 PM
182,,,6900,,852,3/21/16,8:52 AM
179,75,24,781594,30,620,3/22/16,6:20 AM
101,47,530,218964,45,640,3/22/16,6:40 AM
105,45,,,40,715,3/22/16,7:15 AM
107,42,405,907417,100,707,3/22/16,7:07 AM
163,65,160,272966,820,656,3/22/16,6:56 AM
165,79,208,422151,25,722,3/22/16,7:22 AM
183,0,240,126602,25,735,3/22/16,7:35 AM
143,16,120,433345,20,750,3/22/16,7:50 AM
97,27,200,723887,1440,817,3/22/16,8:17 AM
99,12,,,900,825,3/22/16,8:25 AM
176,0,100,120498,25,843,3/22/16,8:43 AM
144,,,28269,,745,3/22/16,7:45 AM
170,,,109713,,920,3/22/16,9:20 AM
180,,,340482,,915,3/22/16,9:15 AM
164,55,30,945586,1460,644,3/23/16,6:44 AM
241,55,30,441958,25,715,3/23/16,7:15 AM
242,60,38,97669,25,720,3/23/16,7:20 AM
151,20,0,247987,90,754,3/23/16,7:54 AM
152,65,26,586395,420,800,3/23/16,8:00 AM
161,,,678118,,816,3/23/16,8:16 AM
104,40,14,244538,80,832,3/23/16,8:32 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
