Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,26,398,690318,40,955,5/16/2016,9:55 AM
91,38,122,107108,30,935,5/16/2016,9:35 AM
83,99,261,376297,25,940,5/16/2016,9:40 AM
93,83,245,883251,30,930,5/16/2016,9:30 AM
168,98,271,115599,25,945,5/16/2016,9:45 AM
169,100,407,172549,25,950,5/16/2016,9:50 AM
119,78,260,942311,60,925,5/16/2016,9:25 AM
128,,,,95,1145,5/16/2016,11:45 AM
129,120,26,575882,20,849,5/16/2016,8:49 AM
62,1,249,772902,60,1115,5/16/2016,11:15 AM
76,0,341,879501,70,1120,5/16/2016,11:20 AM
84,16,302,653586,320,1130,5/16/2016,11:30 AM
167,7,241,734231,90,1125,5/16/2016,11:25 AM
177,49,343,158888,280,909,5/16/2016,9:09 AM
178,82,95,320988,25,908,5/16/2016,9:08 AM
85,20,310,243879,25,835,5/16/2016,8:35 AM
89,46,180,82190,25,829,5/16/2016,8:29 AM
61,10,200,758980,115,1225,5/16/2016,12:25 PM
60,,264,31707,,1210,5/16/2016,12:10 PM
66,10,340,474740,110,1220,5/16/2016,12:20 PM
46,20,,996776,135,1215,5/16/2016,12:15 PM
33,15,180,304746,30,121,5/16/2016,1:21 AM
77,12,242,766466,50,1155,5/16/2016,11:55 AM
72,0,220,157528,30,1200,5/16/2016,12:00 PM
81,16,264,481120,30,1205,5/16/2016,12:05 PM
67,47,243,592272,30,823,5/16/2016,8:23 AM
171,22,239,277800,360,1353,5/16/2016,1:53 PM
172,20,,,380,1405,5/16/2016,2:05 PM
182,,,7078,,1030,5/16/2016,10:30 AM
179,62,23,795872,25,604,5/17/2016,6:04 AM
101,45,520,261289,35,619,5/17/2016,6:19 AM
105,53,87,127384,35,651,5/17/2016,6:51 AM
107,51,382,120918,75,644,5/17/2016,6:44 AM
163,100,150,286281,1000,631,5/17/2016,6:31 AM
165,78,209,588626,30,659,5/17/2016,6:59 AM
183,10,240,139949,25,705,5/17/2016,7:05 AM
143,,,438489,,718,5/17/2016,7:18 AM
97,32,180,739853,1520,746,5/17/2016,7:46 AM
99,5,115,225251,760,752,5/17/2016,7:52 AM
176,,,123168,,807,5/17/2016,8:07 AM
144,,,28269,,722,5/17/2016,7:22 AM
170,10,12,119726,25,830,5/17/2016,8:30 AM
180,0,18,354162,25,829,5/17/2016,8:29 AM
164,60,30,467525,1360,915,5/17/2016,9:15 AM
241,51,32,468136,25,937,5/17/2016,9:37 AM
242,60,35,127409,25,945,5/17/2016,9:45 AM
151,55,0,247987,75,10011,5/17/2016,10:11 AM
152,90,,607606,560,1015,5/17/2016,10:15 AM
161,,,687622,,1037,5/17/2016,10:37 AM
104,40,9,252627,40,1055,5/17/2016,10:55 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
