Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,24,357,727786,40,955,5/23/16,9:55 AM
91,40,174,107745,40,935,5/23/16,9:35 AM
83,102,252,403148,30,940,5/23/16,9:40 AM
93,86,242,907175,35,930,5/23/16,9:30 AM
168,101,266,118308,30,945,5/23/16,9:45 AM
169,100,394,176621,30,950,5/23/16,9:50 AM
119,78,260,944925,70,921,5/23/16,9:21 AM
128,,,,90,1310,5/23/16,1:10 PM
129,120,16,578218,20,844,5/23/16,8:44 AM
62,1,247,798235,60,1115,5/23/16,11:15 AM
76,0,295,908745,90,1120,5/23/16,11:20 AM
84,16,304,683741,400,1143,5/23/16,11:43 AM
167,8,240,758856,100,1125,5/23/16,11:25 AM
177,50,369,162016,280,905,5/23/16,9:05 AM
178,81,96,330603,25,912,5/23/16,9:12 AM
85,20,320,247080,30,830,5/23/16,8:30 AM
89,42,170,83872,30,822,5/23/16,8:22 AM
61,10,200,761077,150,1240,5/23/16,12:40 PM
60,25,,,120,1235,5/23/16,12:35 PM
66,18,264,102311,150,123,5/23/16,1:23 AM
46,,,31707,,1225,5/23/16,12:25 PM
33,17,200,306675,65,1225,5/23/16,12:25 PM
77,10,247,790085,105,1205,5/23/16,12:05 PM
72,0,240,159818,40,1210,5/23/16,12:10 PM
81,15,269,511311,35,1215,5/23/16,12:15 PM
67,46,142,596989,35,816,5/23/16,8:16 AM
171,30,235,301850,320,134,5/23/16,1:34 AM
172,26,240,314478,320,1345,5/23/16,1:45 PM
182,,,7103,,1032,5/23/16,10:32 AM
179,75,13,797548,25,600,5/24/16,6:00 AM
101,45,520,266691,40,620,5/24/16,6:20 AM
105,46,42,133754,40,646,5/24/16,6:46 AM
107,46,388,124704,80,641,5/24/16,6:41 AM
163,65,160,287922,1060,632,5/24/16,6:32 AM
165,73,210,609617,30,654,5/24/16,6:54 AM
183,10,220,141638,25,700,5/24/16,7:00 AM
143,15,100,439091,20,716,5/24/16,7:16 AM
97,20,200,741816,1460,743,5/24/16,7:43 AM
99,8,103,323436,840,750,5/24/16,7:50 AM
176,,,123370,,803,5/24/16,8:03 AM
144,,,28269,,716,5/24/16,7:16 AM
170,12,18,120982,25,835,5/24/16,8:35 AM
180,0,17,355976,25,829,5/24/16,8:29 AM
164,55,24,969998,1420,921,5/24/16,9:21 AM
241,50,34,471544,25,944,5/24/16,9:44 AM
242,50,38,131257,25,950,5/24/16,9:50 AM
151,45,0,247987,80,1024,5/24/16,10:24 AM
152,80,34,610975,380,1030,5/24/16,10:30 AM
161,,,688830,,1049,5/24/16,10:49 AM
104,40,10,253572,50,1115,5/24/16,11:15 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
