Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,28,379,175352,40,720,12/5/16,7:20 AM
91,79,327,163433,35,700,12/5/16,7:00 AM
83,97,277,104137,30,705,12/5/16,7:05 AM
93,81,321,177328,35,655,12/5/16,6:55 AM
168,90,225,188868,25,710,12/5/16,7:10 AM
169,100,413,289759,30,715,12/5/16,7:15 AM
119,78,260,17642,440,650,12/5/16,6:50 AM
128,,,,220,905,12/5/16,9:05 AM
129,120,26,649101,20,620,12/5/16,6:20 AM
62,2,247,147208,260,845,12/5/16,8:45 AM
76,0,270,168165,240,850,12/5/16,8:50 AM
84,12,314,149116,640,900,12/5/16,9:00 AM
167,11,232,136283,240,855,12/5/16,8:55 AM
177,49,384,254266,360,640,12/5/16,6:40 AM
178,82,101,601598,25,645,12/5/16,6:45 AM
85,65,320,336698,30,605,12/5/16,6:05 AM
89,25,180,130725,30,600,12/5/16,6:00 AM
61,0,270,833241,580,935,12/5/16,9:35 AM
60,11,318,871585,540,930,12/5/16,9:30 AM
66,20,296,173856,480,925,12/5/16,9:25 AM
46,,,,35,940,12/5/16,9:40 AM
33,17,250,370379,400,920,12/5/16,9:20 AM
77,11,220,142474,860,910,12/5/16,9:10 AM
72,0,260,235336,130,915,12/5/16,9:15 AM
81,15,300,136041,90,920,12/5/16,9:20 AM
67,41,217,894062,35,555,12/5/16,5:55 AM
171,32,247,941495,580,1330,12/5/16,1:30 PM
172,29,242,931393,740,1337,12/5/16,1:37 PM
182,,,8026,,800,12/5/16,8:00 AM
179,60,16,841733,30,1005,12/5/16,10:05 AM
101,32,520,413368,45,1023,12/5/16,10:23 AM
105,38,0,351136,40,1045,12/5/16,10:45 AM
107,37,392,230011,120,1037,12/5/16,10:37 AM
163,52,160,333154,1560,1032,12/5/16,10:32 AM
165,62,194,118226,35,1050,12/5/16,10:50 AM
183,12,250,187610,30,1055,12/5/16,10:55 AM
143,15,110,457181,25,1106,12/5/16,11:06 AM
97,12,160,794143,2240,1132,12/5/16,11:32 AM
99,9,123,340655,1260,1139,12/5/16,11:39 AM
176,,,219351,,1145,12/5/16,11:45 AM
144,,,28272,,1106,12/5/16,11:06 AM
170,35,12,147893,30,1212,12/5/16,12:12 PM
180,0,16,39357,30,1203,12/5/16,12:03 PM
164,60,30,40887,1840,640,12/6/16,6:40 AM
241,72,32,563440,25,715,12/6/16,7:15 AM
242,50,36,191690,25,720,12/6/16,7:20 AM
151,45,0,274987,150,750,12/6/16,7:50 AM
152,90,32,668972,600,755,12/6/16,7:55 AM
161,,,,,,,
104,20,7,277018,80,835,12/6/16,8:35 AM
302,60,32,311560,1520,810,12/7/16,8:10 AM
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
