Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,24,352,115766,40,815,8/15/16,8:15 AM
91,74,71,127253,35,751,8/15/16,7:51 AM
83,92,245,700432,30,800,8/15/16,8:00 AM
93,77,0,126015,30,748,8/15/16,7:48 AM
168,94,273,148286,30,805,8/15/16,8:05 AM
169,100,422,225845,25,810,8/15/16,8:10 AM
119,78,260,975764,360,740,8/15/16,7:40 AM
128,,,,150,1000,8/15/16,10:00 AM
129,120,23,607924,25,703,8/15/16,7:03 AM
62,27,209,109474,280,940,8/15/16,9:40 AM
76,0,242,123730,140,945,8/15/16,9:45 AM
84,13,313,102938,470,955,8/15/16,9:55 AM
167,8,218,102386,115,950,8/15/16,9:50 AM
177,49,291,199142,260,724,8/15/16,7:24 AM
178,84,94,446057,30,733,8/15/16,7:33 AM
85,20,310,285318,35,650,8/15/16,6:50 AM
89,30,160,103685,30,642,8/15/16,6:42 AM
61,0,310,788699,340,1040,8/15/16,10:40 AM
60,9,318,434632,360,1035,8/15/16,10:35 AM
66,17,261,132858,340,1030,8/15/16,10:30 AM
46,,,,35,1045,8/15/16,10:45 AM
33,17,180,329738,340,1024,8/15/16,10:24 AM
77,14,278,106743,640,1400,8/16/16,2:00 PM
72,0,300,187065,125,1012,8/15/16,10:12 AM
81,14,304,878088,65,1017,8/15/16,10:17 AM
67,49,49,666246,30,632,8/15/16,6:32 AM
171,22,204,586159,340,1356,8/15/16,1:56 PM
172,19,236,570849,360,1405,8/15/16,2:05 PM
182,,,7505,,854,8/15/16,8:54 AM
179,64,23,815966,30,1115,8/15/16,11:15 AM
101,42,500,329587,40,1127,8/15/16,11:27 AM
105,38,104,236258,35,1151,8/15/16,11:51 AM
107,33,399,169563,90,1146,8/15/16,11:46 AM
163,70,160,307322,1130,1139,8/15/16,11:39 AM
165,73,205,857529,30,1158,8/15/16,11:58 AM
183,10,240,161747,30,1205,8/15/16,12:05 PM
143,15,110,446683,25,1215,8/15/16,12:15 PM
97,0,170,764654,1560,1244,8/15/16,12:44 PM
99,,,161581,,1250,8/15/16,12:50 PM
176,0,100,125844,25,707,8/16/16,7:07 AM
144,,,28269,,1215,8/16/16,12:15 PM
170,,,134491,,740,8/16/16,7:40 AM
180,,,374837,,736,8/16/16,7:36 AM
164,55,10,989967,1400,820,8/16/16,8:20 AM
241,55,34,511410,30,842,8/16/16,8:42 AM
242,65,36,155566,30,850,8/16/16,8:50 AM
151,35,0,247987,105,914,8/16/16,9:14 AM
152,67,28,634937,480,924,8/16/16,9:24 AM
161,,,703607,,946,8/16/16,9:46 AM
104,15,8,263570,65,1000,8/16/16,10:00 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
