Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,27,380,427152,40,755,3/28/16,7:55 AM
91,74,131,969685,30,735,3/28/16,7:35 AM
83,93,221,202268,25,740,3/28/16,7:40 AM
93,78,255,726084,30,730,3/28/16,7:30 AM
168,92,274,983535,25,745,3/28/16,7:45 AM
169,100,427,143924,25,750,3/28/16,7:50 AM
119,78,260,923754,400,725,3/28/16,7:25 AM
128,,,,,,,
129,120,27,558140,20,950,3/28/16,9:50 AM
62,2,247,597556,80,720,3/28/16,7:20 AM
76,0,255,670071,105,715,3/28/16,7:15 AM
84,11,270,462208,300,705,3/28/16,7:05 AM
167,7,243,577424,100,710,3/28/16,7:10 AM
177,53,426,138340,22,935,3/28/16,9:35 AM
178,81,95,253259,30,930,3/28/16,9:30 AM
85,20,320,221865,30,1013,3/28/16,10:13 AM
89,46,,70913,30,1022,3/28/16,10:22 AM
61,,220,744299,200,659,3/28/16,6:59 AM
60,,340,450847,220,653,3/28/16,6:53 AM
66,20,254,812691,260,646,3/28/16,6:46 AM
46,,,30307,,635,3/28/16,6:35 AM
33,22,200,219022,200,635,3/28/16,6:35 AM
77,16,225,605699,360,616,3/28/16,6:16 AM
72,0,230,142898,60,622,3/28/16,6:22 AM
81,15,286,270542,30,629,3/28/16,6:29 AM
67,51,217,545754,30,1027,3/28/16,10:27 AM
171,29,248,109719,360,1324,3/28/16,1:24 PM
172,25,222,164962,440,1334,3/28/16,1:34 PM
182,,,6931,,852,3/28/16,8:52 AM
179,12,20,782754,25,623,3/29/16,6:23 AM
101,45,530,224260,45,648,3/29/16,6:48 AM
105,42,,,45,723,3/29/16,7:23 AM
107,41,385,943261,100,714,3/29/16,7:14 AM
163,100,170,274638,980,705,3/29/16,7:05 AM
165,79,208,443143,30,735,3/29/16,7:35 AM
183,0,230,128623,25,739,3/29/16,7:39 AM
143,13,110,434008,20,752,3/29/16,7:52 AM
97,23,210,725864,1440,820,3/29/16,8:20 AM
99,,,,,827,3/29/16,8:27 AM
176,,,120725,,838,3/29/16,8:38 AM
144,,,28269,,52,3/29/16,12:52 AM
170,,,110931,25,907,3/29/16,9:07 AM
180,0,17,342093,25,858,3/29/16,8:58 AM
164,58,30,948594,1520,706,3/30/16,7:06 AM
241,58,32,445303,25,733,3/30/16,7:33 AM
242,65,36,101464,25,740,3/30/16,7:40 AM
151,30,0,247987,95,816,3/30/16,8:16 AM
152,65,24,588889,460,821,3/30/16,8:21 AM
161,,,679337,,838,3/30/16,8:38 AM
104,40,15,246049,75,851,3/30/16,8:51 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
