Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,30,355,201248,40,730,1/23/17,7:30 AM
91,81,314,185427,30,710,1/23/17,7:10 AM
83,97,272,297597,25,715,1/23/17,7:15 AM
93,82,323,198927,30,705,1/23/17,7:05 AM
168,55,232,204978,25,720,1/23/17,7:20 AM
169,100,413,317815,30,725,1/23/17,7:25 AM
119,78,270,34999,280,658,1/23/17,6:58 AM
128,,,,,,,
129,120,18,661445,20,631,1/23/17,6:31 AM
62,2,209,163804,90,841,1/23/17,8:41 AM
76,0,201,185687,140,846,1/23/17,8:46 AM
84,12,315,170380,480,900,1/23/17,9:00 AM
167,12,231,148852,200,852,1/23/17,8:52 AM
177,41,391,280150,240,645,1/23/17,6:45 AM
178,98,100,671725,30,650,1/23/17,6:50 AM
85,38,310,358952,35,614,1/23/17,6:14 AM
89,20,180,142926,25,608,1/23/17,6:08 AM
61,0,280,850568,400,920,1/23/17,9:20 AM
60,12,340,106958,380,915,1/23/17,9:15 AM
66,22,272,190881,380,910,1/23/17,9:10 AM
46,,,,,,,
33,22,260,388166,340,908,1/23/17,9:08 AM
77,14,219,155622,680,925,1/23/17,9:25 AM
72,0,270,256413,85,930,1/23/17,9:30 AM
81,20,300,157167,65,935,1/23/17,9:35 AM
67,,217,104432,30,603,1/23/17,6:03 AM
171,35,239,109671,480,1425,1/23/17,2:25 PM
172,31,231,107854,580,1432,1/23/17,2:32 PM
182,,,8500,,758,1/23/17,7:58 AM
179,68,10,853962,30,958,1/23/17,9:58 AM
101,39,500,450201,45,1013,1/23/17,10:13 AM
105,45,35,398734,40,1035,1/23/17,10:35 AM
107,46,381,256039,80,658,1/23/17,6:58 AM
163,65,170,344402,1360,1023,1/23/17,10:23 AM
165,77,194,132020,30,1040,1/23/17,10:40 AM
183,10,230,199911,30,1045,1/23/17,10:45 AM
143,16,100,459524,25,1105,1/23/17,11:05 AM
97,16,170,806577,1640,1130,1/23/17,11:30 AM
99,8,126,424810,960,1135,1/23/17,11:35 AM
176,,,131056,,1144,1/23/17,11:44 AM
144,,,208272,,1105,1/23/17,11:05 AM
170,,,154480,,1210,1/23/17,12:10 PM
180,,,405526,,1202,1/23/17,12:02 PM
164,60,32,62361,1560,1246,1/23/17,12:46 PM
241,54,34,585742,30,652,1/23/17,6:52 AM
242,50,36,211760,30,705,1/23/17,7:05 AM
151,40,0,247987,100,737,1/23/17,7:37 AM
152,85,36,690237,480,749,1/23/17,7:49 AM
161,,,,,,,
104,20,12,281916,80,815,1/23/17,8:15 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
