Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,30,362,108542,45,825,8/1/16,8:25 AM
91,39,83,124564,35,805,8/1/16,8:05 AM
83,96,253,650150,30,810,8/1/16,8:10 AM
93,84,329,120018,30,800,8/1/16,8:00 AM
168,99,252,143680,30,815,8/1/16,8:15 AM
169,100,312,217656,25,820,8/1/16,8:20 AM
119,78,260,970556,440,753,8/1/16,7:53 AM
128,,,,150,1005,8/1/16,10:05 AM
129,120,23,603029,25,716,8/1/16,7:16 AM
62,3,252,104793,260,942,8/1/16,9:42 AM
76,0,262,118205,130,950,8/1/16,9:50 AM
84,17,300,970606,480,1000,8/1/16,10:00 AM
167,8,218,979808,120,955,8/1/16,9:55 AM
177,50,274,192780,280,735,8/1/16,7:35 AM
178,81,94,426790,35,744,8/1/16,7:44 AM
85,0,320,278924,30,704,8/1/16,7:04 AM
89,35,180,100429,35,655,8/1/16,6:55 AM
61,0,300,783005,360,1110,8/1/16,11:10 AM
60,9,337,368765,360,1104,8/1/16,11:04 AM
66,49,255,127298,360,1056,8/1/16,10:56 AM
46,,,31707,,1046,8/1/16,10:46 AM
33,15,280,325882,340,1046,8/1/16,10:46 AM
77,10,243,101836,520,1020,8/1/16,10:20 AM
72,0,230,182230,130,1025,8/1/16,10:25 AM
81,17,334,815196,85,1038,8/1/16,10:38 AM
67,48,180,653858,35,648,8/1/16,6:48 AM
171,34,237,542644,360,1420,8/1/16,2:20 PM
172,29,239,531057,380,1425,8/1/16,2:25 PM
182,,,7360,,900,8/1/16,9:00 AM
179,52,26,813008,35,1220,8/1/16,12:20 PM
101,40,520,319332,50,1230,8/1/16,12:30 PM
105,49,105,215410,40,1255,8/1/16,12:55 PM
107,48,383,161897,100,1248,8/1/16,12:48 PM
163,67,160,304056,1180,1239,8/1/16,12:39 PM
165,76,207,816159,35,1305,8/1/16,1:05 PM
183,10,230,157927,30,1313,8/1/16,1:13 PM
143,,,445322,,1329,8/1/16,1:29 PM
97,20,200,761047,1640,657,8/2/16,6:57 AM
99,6,124,139971,1000,705,8/2/16,7:05 AM
176,,,125427,,717,8/2/16,7:17 AM
144,,,28269,,1329,8/1/16,1:29 PM
170,,,132651,,736,8/1/16,7:36 AM
180,,,372292,,736,8/1/16,7:36 AM
164,55,12,987589,1360,821,8/1/16,8:21 AM
241,54,33,504746,30,846,8/1/16,8:46 AM
242,52,35,151962,30,853,8/1/16,8:53 AM
151,15,0,247987,260,925,8/1/16,9:25 AM
152,50,25,629788,460,936,8/1/16,9:36 AM
161,,,700679,,1005,8/1/16,10:05 AM
104,17,8,261921,65,1025,8/1/16,10:25 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
