Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,32,359,137629,40,747,9/27/2016,7:47 AM
91,81,110,136975,30,720,9/27/2016,7:20 AM
83,99,254,830553,25,720,9/27/2016,7:20 AM
93,85,326,450216,35,715,9/27/2016,7:15 AM
168,99,267,164248,25,725,9/27/2016,7:25 AM
169,100,400,249903,25,730,9/27/2016,7:30 AM
119,78,260,991473,460,710,9/27/2016,7:10 AM
128,,,,120,930,9/27/2016,9:30 AM
129,120,28,623219,25,627,9/27/2016,6:27 AM
62,2,240,122402,260,910,9/27/2016,9:10 AM
76,0,281,139605,115,915,9/27/2016,9:15 AM
84,19,297,119081,420,925,9/27/2016,9:25 AM
167,11,221,115686,110,920,9/27/2016,9:20 AM
177,49,372,219407,320,649,9/27/2016,6:49 AM
178,79,96,503899,25,700,9/27/2016,7:00 AM
85,20,320,304448,30,618,9/27/2016,6:18 AM
89,30,170,113609,30,610,9/27/2016,6:10 AM
61,10,260,805463,460,1010,9/27/2016,10:10 AM
60,10,279,571600,340,1005,9/27/2016,10:05 AM
66,21,295,149051,360,1000,9/27/2016,10:00 AM
46,,,,30,1015,9/27/2016,10:15 AM
33,17,240,345082,320,955,9/27/2016,9:55 AM
77,,,,,940,9/27/2016,9:40 AM
72,0,30,205205,75,945,9/27/2016,9:45 AM
81,15,300,105841,60,950,9/27/2016,9:50 AM
67,45,25,705668,30,605,9/27/2016,6:05 AM
171,31,246,702995,480,1340,9/27/2016,1:40 PM
172,27,242,705902,480,1350,9/27/2016,1:50 PM
182,,,7672,,826,9/27/2016,8:26 AM
179,58,22,824917,30,1047,9/27/2016,10:47 AM
101,30,520,360999,45,1105,9/27/2016,11:05 AM
105,42,89,287857,30,1125,9/27/2016,11:25 AM
107,42,390,192261,100,1120,9/27/2016,11:20 AM
163,60,150,317052,1420,1111,9/27/2016,11:11 AM
165,77,204,978874,30,1130,9/27/2016,11:30 AM
183,12,240,169049,25,1143,9/27/2016,11:43 AM
143,,,450990,,1201,9/27/2016,12:01 PM
97,20,180,776023,1680,1235,9/27/2016,12:35 PM
99,5,126,220756,1020,1240,9/27/2016,12:40 PM
176,0,90,127205,30,636,9/28/2016,6:36 AM
144,,,28269,,1201,9/27/2016,12:01 PM
170,46,12,139540,30,700,9/28/2016,7:00 AM
180,0,20,381922,30,655,9/28/2016,6:55 AM
164,60,30,9218,1560,755,9/28/2016,7:55 AM
241,54,32,53138,25,837,9/28/2016,8:37 AM
242,62,35,169140,25,845,9/28/2016,8:45 AM
151,35,0,247987,95,915,9/28/2016,9:15 AM
152,67,20,649826,420,920,9/28/2016,9:20 AM
161,,,712327,,945,9/28/2016,9:45 AM
104,15,13,268931,65,1005,9/28/2016,10:05 AM
302,,,,,,,
202,,,,,,,
204,,,,,,,
207,,,,,,,
213,,,,,,,
