Well_num,WL_m_MSL,Elev_m,Lat,Lon,x_utm,y_utm,well
MMI4,17.206012031149573,51.6,-14.307139999999999,-170.73571,528503,8418289,MMI-4
MOA92,4.289690517931665,50.9,-14.342872,-170.767561,525064,8414341,Malaeloa_92
TAF46,0.7108945442982363,23.6,-14.324392000000001,-170.732229,528876,8416380,1943-07
