"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.73803508282E+00   5.50000000000E+00  FLI182      
   8.19515228271E+00   2.00000002980E-01  214601      
   8.28886508942E+00   4.00000005960E-01  214602      
   6.88210821152E+00   3.00000011921E-01  Taputimuwind
   7.31029558182E+00   6.00000023842E-01  214604      
   9.12402248383E+00   2.59999990463E+00  Malaeloa70  
   8.47348403931E+00   2.29999995232E+00  MOA15       
   8.94971275330E+00   3.50000000000E+00  MOA169      
   9.61577892303E+00   1.20000004768E+00  Puapua47    
   9.43950462341E+00   3.59999990463E+00  TGH1        
   1.00776014328E+01   1.20000004768E+00  Malaeloa92  
   1.05765333176E+01   1.79999995232E+00  Malaeloa91  
   1.22248449326E+01   1.89999997616E+00  TGH3        
   1.25848884583E+01   1.29999995232E+00  PAV177      
   1.28965635300E+01   8.99999976158E-01  Iliili79    
   1.27188053131E+01   2.59999990463E+00  Iliili62    
   1.04476213455E+01   4.47000007629E+01  MES6        
   1.33736858368E+01   1.60000002384E+00  ILI76       
   1.32039489746E+01   1.79999995232E+00  Iliili74    
   1.01954326630E+01   3.00000000000E+00  194407      
   1.38381166458E+01   1.79999995232E+00  Iliili84    
   7.73209953308E+00   5.90000009537E+00  MMI3        
   8.43427181244E+00   8.19999980927E+00  Malaeimi109 
   9.46517944336E+00   6.00000000000E+00  Malaeimi89  
   1.01977567673E+01   3.20000004768E+00  Malaeimi67  
   6.11644792557E+00   1.65000000000E+01  MMI4        
   8.21808910370E+00   2.53999996185E+01  194409      
   1.41333742142E+01   6.00000023842E-01  214301      
   7.68289899826E+00   2.02999992371E+01  MMI1        
   1.15104932785E+01   1.79999995232E+00  TAF72       
   1.42587070465E+01   3.00000011921E-01  204301      
   1.62539939880E+01   5.00000000000E-01  204302      
   1.22387123108E+01   1.00000000000E+00  194302      
   2.60950326920E+00   6.25000000000E+01  VAI183      
   5.73216676712E+00   1.58000001907E+01  NUULI24B    
  -9.99000000000E+02   1.20000004768E+00  Pago100(wate
   2.34479427338E+00   7.30000019073E+00  PAGO163     
  -9.99000000000E+02   1.20000004768E+00  PAGOTANK24  
   2.27124261856E+00   3.00000000000E+00  Pagoplaza12 
   3.51349020004E+00   2.70000004768E+00  FALU179     
   3.27504348755E+00   6.09999990463E+00  174101      
   2.44400358200E+00   1.00000001490E-01  UTULEI3     
   2.43850731850E+00   2.70000004768E+00  Sailele130  
   4.12592697144E+00   5.30000019073E+00  163502      
   3.96430444717E+00   5.69999980927E+00  163301      
   9.15983676910E+00   1.23500003815E+01  MALAEIMI88  
   6.60307312012E+00   2.11000003815E+01  MMI2        
   9.72550296783E+00   5.30000019073E+00  Malaeimi69  
   1.25265226364E+01   8.75000000000E-01  194311      
   1.22059812546E+01   1.93330001831E+00  194304      
   2.37922716141E+00   9.17500019073E+00  164204      
   2.43312931061E+00   1.64666996002E+01  Pago107     
   2.45832109451E+00   6.65000009537E+00  Fagatogo102 
  -9.99000000000E+02   8.14999961853E+00  VATI170     
   2.06744790077E+00   5.56669998169E+00  163903      
   2.02395844460E+00   4.90000009537E+00  AUA98       
   2.86042094231E+00   6.65000009537E+00  LAU96       
   2.65051865578E+00   3.04999995232E+00  153401      
