,Alava3_WX,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
1,                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
2,Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
3,2017-05-01 00:00:00,0,100,71.7,0,111,0,0,71.7
4,2017-05-01 00:15:00,0,100,71.8,0,111,0,0,71.8
5,2017-05-01 00:30:00,0,100,71.6,0,111,0,0,71.6
6,2017-05-01 00:45:00,0,100,71.3,0,111,0,0,71.3
7,2017-05-01 01:00:00,0,100,71.1,0,111,0,0,71.1
8,2017-05-01 01:15:00,0,100,71,0,111,0,0,71
9,2017-05-01 01:30:00,0,100,70.9,0,111,0,0,70.9
10,2017-05-01 01:45:00,0,100,70.8,0,111,0,0,70.8
11,2017-05-01 02:00:00,0,100,70.8,0,111,0,0,70.8
12,2017-05-01 02:15:00,0,100,70.9,0,111,0,0,70.9
13,2017-05-01 02:30:00,0,100,70.9,0.01,111,0,0,70.9
14,2017-05-01 02:45:00,0,100,71,0,115,0,0,71
15,2017-05-01 03:00:00,0,100,70.8,0,163,2,0,70.8
16,2017-05-01 03:15:00,0,100,70,0,288,2,0,70
17,2017-05-01 03:30:00,0,100,69.7,0,11,1,0,69.7
18,2017-05-01 03:45:00,0,100,69.8,0,11,0,0,69.8
19,2017-05-01 04:00:00,0,100,69.8,0,11,0,0,69.8
20,2017-05-01 04:15:00,0,100,69.9,0,11,0,0,69.9
21,2017-05-01 04:30:00,0,100,70,0,16,0,0,70
22,2017-05-01 04:45:00,0,100,69.7,0,21,0,0,69.7
23,2017-05-01 05:00:00,0,100,69.8,0,22,0,0,69.8
24,2017-05-01 05:15:00,0,100,70,0.01,183,3,0,70
25,2017-05-01 05:30:00,0,100,70.2,0.01,81,2,0,70.2
