,ASPA_solar_rad,Unnamed: 1
0,                    ,Solar Rad (wat/m2)
1,                    ,wat/m2
2,Date and Time   ,SRD
3,2017-01-01 00:00:00,0
4,2017-01-01 00:15:00,0
5,2017-01-01 00:30:00,0
6,2017-01-01 00:45:00,0
7,2017-01-01 01:00:00,0
8,2017-01-01 01:15:00,0
9,2017-01-01 01:30:00,0
10,2017-01-01 01:45:00,0
11,2017-01-01 02:00:00,0
12,2017-01-01 02:15:00,0
13,2017-01-01 02:30:00,0
14,2017-01-01 02:45:00,0
15,2017-01-01 03:00:00,0
16,2017-01-01 03:15:00,0
17,2017-01-01 03:30:00,0
18,2017-01-01 03:45:00,0
19,2017-01-01 04:00:00,0
20,2017-01-01 04:15:00,0
21,2017-01-01 04:30:00,0
22,2017-01-01 04:45:00,0
23,2017-01-01 05:00:00,0
24,2017-01-01 05:15:00,0
25,2017-01-01 05:30:00,0
26,2017-01-01 05:45:00,0
27,2017-01-01 06:00:00,1
28,2017-01-01 06:15:00,17
29,2017-01-01 06:30:00,39
30,2017-01-01 06:45:00,52
31,2017-01-01 07:00:00,68
32,2017-01-01 07:15:00,64
33,2017-01-01 07:30:00,102
34,2017-01-01 07:45:00,78
35,2017-01-01 08:00:00,64
36,2017-01-01 08:15:00,232
37,2017-01-01 08:30:00,119
38,2017-01-01 08:45:00,402
39,2017-01-01 09:00:00,422
40,2017-01-01 09:15:00,488
41,2017-01-01 09:30:00,494
42,2017-01-01 09:45:00,610
43,2017-01-01 10:00:00,601
44,2017-01-01 10:15:00,299
45,2017-01-01 10:30:00,639
46,2017-01-01 10:45:00,316
47,2017-01-01 11:00:00,669
48,2017-01-01 11:15:00,847
49,2017-01-01 11:30:00,713
50,2017-01-01 11:45:00,700
51,2017-01-01 12:00:00,745
52,2017-01-01 12:15:00,769
53,2017-01-01 12:30:00,774
54,2017-01-01 12:45:00,637
55,2017-01-01 13:00:00,762
56,2017-01-01 13:15:00,890
57,2017-01-01 13:30:00,240
58,2017-01-01 13:45:00,663
59,2017-01-01 14:00:00,641
60,2017-01-01 14:15:00,617
61,2017-01-01 14:30:00,618
62,2017-01-01 14:45:00,522
63,2017-01-01 15:00:00,450
64,2017-01-01 15:15:00,503
65,2017-01-01 15:30:00,492
66,2017-01-01 15:45:00,367
67,2017-01-01 16:00:00,406
68,2017-01-01 16:15:00,384
69,2017-01-01 16:30:00,345
70,2017-01-01 16:45:00,180
71,2017-01-01 17:00:00,81
72,2017-01-01 17:15:00,78
73,2017-01-01 17:30:00,37
74,2017-01-01 17:45:00,37
75,2017-01-01 18:00:00,30
76,2017-01-01 18:15:00,20
77,2017-01-01 18:30:00,12
78,2017-01-01 18:45:00,6
79,2017-01-01 19:00:00,0
80,2017-01-01 19:15:00,0
81,2017-01-01 19:30:00,0
82,2017-01-01 19:45:00,0
83,2017-01-01 20:00:00,0
84,2017-01-01 20:15:00,0
85,2017-01-01 20:30:00,0
86,2017-01-01 20:45:00,0
87,2017-01-01 21:00:00,0
88,2017-01-01 21:15:00,0
89,2017-01-01 21:30:00,0
90,2017-01-01 21:45:00,0
91,2017-01-01 22:00:00,0
92,2017-01-01 22:15:00,0
93,2017-01-01 22:30:00,0
94,2017-01-01 22:45:00,0
95,2017-01-01 23:00:00,0
96,2017-01-01 23:15:00,0
97,2017-01-01 23:30:00,0
98,2017-01-01 23:45:00,0
99,2017-01-02 00:00:00,0
100,2017-01-02 00:15:00,0
101,2017-01-02 00:30:00,0
102,2017-01-02 00:45:00,0
103,2017-01-02 01:00:00,0
104,2017-01-02 01:15:00,0
105,2017-01-02 01:30:00,0
106,2017-01-02 01:45:00,0
107,2017-01-02 02:00:00,0
108,2017-01-02 02:15:00,0
109,2017-01-02 02:30:00,0
110,2017-01-02 02:45:00,0
111,2017-01-02 03:00:00,0
112,2017-01-02 03:15:00,0
113,2017-01-02 03:30:00,0
114,2017-01-02 03:45:00,0
115,2017-01-02 04:00:00,0
116,2017-01-02 04:15:00,0
117,2017-01-02 04:30:00,0
118,2017-01-02 04:45:00,0
119,2017-01-02 05:00:00,0
120,2017-01-02 05:15:00,0
121,2017-01-02 05:30:00,0
122,2017-01-02 05:45:00,0
123,2017-01-02 06:00:00,0
