,Fagaitua_no_rain,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
1,                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
2,Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
3,2017-06-01 00:00:00,0,84.2,79.2,0,132,9,1,74.1
4,2017-06-01 00:15:00,0,84.7,79,0,121,9,2,74
5,2017-06-01 00:30:00,0,84.1,79.2,0,127,9,2,74
6,2017-06-01 00:45:00,0,82.6,79.2,0,127,12,3,73.5
7,2017-06-01 01:00:00,0,85.2,78.6,0,114,11,1,73.8
8,2017-06-01 01:15:00,0,85.1,78.6,0,115,8,2,73.8
9,2017-06-01 01:30:00,0,85,78.7,0,128,9,2,73.9
10,2017-06-01 01:45:00,0,84.2,78.5,0,128,11,2,73.4
11,2017-06-01 02:00:00,0,86.2,78.3,0,110,9,2,73.9
12,2017-06-01 02:15:00,0,85.8,78.2,0,118,12,2,73.6
13,2017-06-01 02:30:00,0,86.7,77.8,0,118,9,2,73.5
14,2017-06-01 02:45:00,0,87.1,77.8,0,115,7,1,73.7
15,2017-06-01 03:00:00,0,86.8,77.8,0,110,12,2,73.6
16,2017-06-01 03:15:00,0,87.3,77.5,0,120,9,2,73.4
17,2017-06-01 03:30:00,0,87.6,77.3,0,131,7,1,73.3
18,2017-06-01 03:45:00,0,88.9,77.1,0,155,6,0,73.6
19,2017-06-01 04:00:00,0,87.9,77.3,0,114,6,1,73.4
20,2017-06-01 04:15:00,0,84.9,78.2,0,121,14,4,73.3
21,2017-06-01 04:30:00,0,84.1,78.4,0,117,9,3,73.3
22,2017-06-01 04:45:00,0,85.1,78.6,0,115,12,4,73.8
23,2017-06-01 05:00:00,0,84.5,78.4,0,120,12,4,73.4
