,Aasu_Wx,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,                    ,Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F),
1,                    ,*F,*F,*F,*F,*F,wat/m2,%,*F,In,Deg,mph,mph,*F,
2,Date and Time   ,TMPA,TMPB,TMPC,TMPD,TMPE,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW,
3,2016-08-12 13:30:00,,,,,,243,100,73,0.01,210,10,6,73,
4,2016-08-12 13:45:00,,,,,,395,100,72.6,0,210,11,5,72.6,
5,2016-08-12 14:00:00,,,,,,209,100,72.6,0,210,12,5,72.6,
6,2016-08-12 14:15:00,,,,,,202,100,73.6,0.04,18,8,0,73.6,
7,2016-08-12 14:30:00,,,,,,271,100,73.3,0.03,183,14,4,73.3,
8,2016-08-12 14:45:00,,,,,,262,100,72.7,0,121,13,4,72.7,
9,2016-08-12 15:00:00,,,,,,193,100,72.3,0,110,15,4,72.3,
10,2016-08-12 15:15:00,,,,,,167,100,72.2,0,110,11,4,72.2,
11,2016-08-12 15:30:00,,,,,,353,100,72.7,0,101,11,3,72.7,
12,2016-08-12 15:45:00,,,,,,481,100,73.9,0,83,9,3,73.9,
13,2016-08-12 16:00:00,,,,,,492,100,74.4,0,90,12,3,74.4,
14,2016-08-12 16:15:00,,,,,,401,100,74.5,0,101,9,3,74.5,
15,2016-08-12 16:30:00,,,,,,114,100,74,0,87,8,2,74,
16,2016-08-12 16:45:00,,,,,,136,100,74,0,87,11,1,74,
17,2016-08-12 17:00:00,,,,,,103,100,73.9,0,83,9,1,73.9,
18,2016-08-12 17:15:00,,,,,,134,100,74,0,86,6,1,74,
19,2016-08-12 17:30:00,,,,,,106,100,74.1,0,86,7,0,74.1,
20,2016-08-12 17:45:00,,,,,,52,100,73.8,0,97,9,2,73.8,
21,2016-08-12 18:00:00,,,,,,42,100,73.6,0,103,13,4,73.6,
22,2016-08-12 18:15:00,,,,,,13,100,73.7,0,107,9,4,73.7,
23,2016-08-12 18:30:00,,,,,,0,100,73.7,0,101,9,3,73.7,
24,2016-08-12 18:45:00,,,,,,0,100,73.8,0,103,8,2,73.8,
25,2016-08-12 19:00:00,,,,,,0,100,74,0,105,8,1,74,
26,2016-08-12 19:15:00,,,,,,0,100,73.9,0,79,12,2,73.9,
27,2016-08-12 19:30:00,,,,,,0,100,73.8,0,94,10,2,73.8,
28,2016-08-12 19:45:00,,,,,,0,100,73.9,0,79,8,1,73.9,
29,2016-08-12 20:00:00,,,,,,0,100,74.2,0,104,14,1,74.2,
30,2016-08-12 20:15:00,,,,,,0,100,73.9,0,80,7,1,73.9,
31,2016-08-12 20:30:00,,,,,,0,100,73.8,0,88,5,1,73.8,
32,2016-08-12 20:45:00,,,,,,0,100,73.8,0,98,7,0,73.8,
33,2016-08-12 21:00:00,,,,,,0,100,73.9,0,110,5,0,73.9,
34,2016-08-12 21:15:00,,,,,,0,100,74.2,0,127,9,2,74.2,
35,2016-08-12 21:30:00,,,,,,0,100,73.9,0,74,5,1,73.9,
36,2016-08-12 21:45:00,,,,,,0,100,74,0,104,4,0,74,
37,2016-08-12 22:00:00,,,,,,0,100,74,0,97,5,0,74,
38,2016-08-12 22:15:00,,,,,,0,100,73.9,0,62,0,0,73.9,
39,2016-08-12 22:30:00,,,,,,0,100,73.9,0,87,6,1,73.9,
40,2016-08-12 22:45:00,,,,,,0,100,73.9,0,79,0,0,73.9,
41,2016-08-12 23:00:00,,,,,,0,100,74,0,88,8,0,74,
42,2016-08-12 23:15:00,,,,,,0,100,74.1,0,98,9,0,74.1,
43,2016-08-12 23:30:00,,,,,,0,100,74.2,0,96,7,1,74.2,
44,2016-08-12 23:45:00,,,,,,0,100,74.2,0,96,8,1,74.2,
45,2016-08-13 00:00:00,,,,,,0,100,74.2,0,107,7,1,74.2,
46,2016-08-13 00:15:00,,,,,,0,100,74.2,0,107,7,1,74.2,
47,2016-08-13 00:30:00,,,,,,0,100,74.1,0,101,12,1,74.1,
48,2016-08-13 00:45:00,,,,,,0,100,74.1,0,108,7,1,74.1,
49,2016-08-13 01:00:00,,,,,,0,100,74,0,112,11,1,74,
50,2016-08-13 01:15:00,,,,,,0,100,73.9,0,117,7,1,73.9,
51,2016-08-13 01:30:00,,,,,,0,100,73.9,0,114,8,1,73.9,
52,2016-08-13 01:45:00,,,,,,0,100,73.6,0,108,10,1,73.6,
53,2016-08-13 02:00:00,,,,,,0,100,73.8,0,110,9,2,73.8,
54,2016-08-13 02:15:00,,,,,,0,100,73.7,0,118,10,3,73.7,
55,2016-08-13 02:30:00,,,,,,0,100,73.6,0,118,9,3,73.6,
56,2016-08-13 02:45:00,,,,,,0,100,73.6,0,124,9,2,73.6,
57,2016-08-13 03:00:00,,,,,,0,100,73.5,0,124,12,4,73.5,
58,2016-08-13 03:15:00,,,,,,0,100,73.3,0,107,7,2,73.3,
59,2016-08-13 03:30:00,,,,,,0,100,73.2,0,111,7,1,73.2,
60,2016-08-13 03:45:00,,,,,,0,100,73.1,0,122,7,2,73.1,
61,2016-08-13 04:00:00,,,,,,0,100,73.1,0,103,11,1,73.1,
62,2016-08-13 04:15:00,,,,,,0,100,73.2,0,112,3,0,73.2,
63,2016-08-13 04:30:00,,,,,,0,100,73.2,0,110,8,2,73.2,
64,2016-08-13 04:45:00,,,,,,0,100,73.3,0,98,7,2,73.3,
65,2016-08-13 05:00:00,,,,,,0,100,73.2,0,83,6,1,73.2,
66,2016-08-13 05:15:00,,,,,,0,100,73,0,79,7,1,73,
67,2016-08-13 05:30:00,,,,,,0,100,73,0,101,8,2,73,
68,2016-08-13 05:45:00,,,,,,0,99.9,73,0,98,8,1,73,
69,2016-08-13 06:00:00,,,,,,0,99.9,72.9,0,94,7,1,72.9,
70,2016-08-13 06:15:00,,,,,,0,99.9,72.9,0,108,5,0,72.9,
71,2016-08-13 06:30:00,,,,,,0,100,73,0,94,12,3,73,
72,2016-08-13 06:45:00,,,,,,3,99.8,73.2,0,114,8,3,73.1,
73,2016-08-13 07:00:00,,,,,,12,99.8,73.4,0,111,7,1,73.3,
74,2016-08-13 07:15:00,,,,,,34,99.8,73.6,0,112,7,1,73.5,
75,2016-08-13 07:30:00,,,,,,43,99.9,73.7,0,120,7,2,73.7,
76,2016-08-13 07:45:00,,,,,,64,99.9,73.9,0,105,8,1,73.9,
77,2016-08-13 08:00:00,,,,,,80,99.9,74,0,84,10,2,74,
78,2016-08-13 08:15:00,,,,,,139,99.5,74.3,0,124,10,3,74.1,
79,2016-08-13 08:30:00,,,,,,145,99.4,74.7,0,134,9,3,74.5,
80,2016-08-13 08:45:00,,,,,,180,99,74.8,0,114,7,2,74.5,
81,2016-08-13 09:00:00,,,,,,241,98.5,75.3,0,96,10,3,74.8,
82,2016-08-13 09:15:00,,,,,,314,98.1,75.7,0,88,7,1,75.1,
83,2016-08-13 09:30:00,,,,,,300,97.4,76,0,79,10,2,75.2,
84,2016-08-13 09:45:00,,,,,,319,96.7,76.3,0,69,9,2,75.3,
85,2016-08-13 10:00:00,,,,,,623,95.3,76.7,0,72,13,4,75.2,
86,2016-08-13 10:15:00,,,,,,592,93.2,77.5,0,74,10,3,75.4,
87,2016-08-13 10:30:00,,,,,,547,91.6,78.3,0,67,6,0,75.6,
88,2016-08-13 10:45:00,,,,,,467,91.7,78.3,0,105,7,0,75.7,
89,2016-08-13 11:00:00,,,,,,564,91.7,78.3,0.01,105,10,0,75.7,
90,2016-08-13 11:15:00,,,,,,376,91.8,78.5,0,87,2,0,75.9,
91,2016-08-13 11:30:00,,,,,,452,93,77.7,0,91,9,0,75.5,
92,2016-08-13 11:45:00,,,,,,815,90.4,78.6,0,86,9,2,75.5,
93,2016-08-13 12:00:00,,,,,,653,89.4,78.8,0,100,10,1,75.4,
94,2016-08-13 12:15:00,,,,,,914,87.4,79.2,0,56,11,2,75.2,
95,2016-08-13 12:30:00,,,,,,953,86.8,79.7,0,64,10,2,75.4,
96,2016-08-13 12:45:00,,,,,,818,87.6,79.5,0,84,6,0,75.5,
97,2016-08-13 13:00:00,,,,,,691,88.1,79.7,0,91,4,0,75.9,
98,2016-08-13 13:15:00,,,,,,812,87.6,80,0,98,9,0,76,
99,2016-08-13 13:30:00,,,,,,758,86.9,80.2,0,77,8,0,76,
100,2016-08-13 13:45:00,,,,,,624,87.4,79.8,0,98,5,0,75.7,
101,2016-08-13 14:00:00,,,,,,543,88.9,78.6,0,117,8,1,75.1,
102,2016-08-13 14:15:00,,,,,,351,91.2,77.8,0,117,12,2,75,
103,2016-08-13 14:30:00,,,,,,458,91.3,78.1,0,117,8,0,75.3,
104,2016-08-13 14:45:00,,,,,,469,90.3,78.4,0,103,8,1,75.3,
105,2016-08-13 15:00:00,,,,,,342,91.3,78.1,0,110,11,1,75.3,
106,2016-08-13 15:15:00,,,,,,580,91.8,78,0,118,7,0,75.4,
107,2016-08-13 15:30:00,,,,,,377,92.6,78.3,0,108,11,0,76,
108,2016-08-13 15:45:00,,,,,,212,95.6,77,0,108,8,1,75.6,
109,2016-08-13 16:00:00,,,,,,312,96.6,76.8,0,97,6,0,75.7,
110,2016-08-13 16:15:00,,,,,,271,96.7,76.7,0,121,9,3,75.7,
111,2016-08-13 16:30:00,,,,,,146,97,76.4,0,134,7,1,75.5,
112,2016-08-13 16:45:00,,,,,,79,97.3,76,0,101,9,2,75.2,
113,2016-08-13 17:00:00,,,,,,67,97.5,75.7,0,91,5,0,74.9,
114,2016-08-13 17:15:00,,,,,,136,97.7,75.9,0,86,7,0,75.2,
115,2016-08-13 17:30:00,,,,,,125,96,76.4,0,94,7,1,75.1,
116,2016-08-13 17:45:00,,,,,,49,95.3,75.9,0,80,9,1,74.4,
117,2016-08-13 18:00:00,,,,,,15,95.5,75.4,0,91,8,1,74,
