Site,Date and Time,Q_m3ps,Staff_reading
Afono       ,6/12/2017 14:13,0.018745735,
Afono,5/22/2017 12:14,0.205976548,
Afono,5/12/2017 11:08,0.324312538,
Afono,5/9/2017 9:46,0.143736178,
Afono,4/18/2017 17:00,0.016735241,
Afono,4/22/2017 17:04,,1.49
Afono,4/23/2017 14:23,0.016678607,1.5
Afono,4/25/2017 10:05,0.019510289,1.52
Afono,4/26/2017 8:00,0.017584745,1.5
Afono,4/29/2017 15:04,0.015291083,1.5
Afono,4/30/2017 8:32,0.475297822,2.18
Afono,4/30/2017 10:15,0.308313535,2
Afono,4/30/2017 16:45,0.100184909,1.77
Afono,5/1/2017 11:30,0.035962361,1.6
Afono,6/12/2017 14:13,0.018745735,
Afono,7/3/2017 12:36,0.229875944,
Afono,8/20/2017 10:30,0.543597992,
Afono,8/20/2017 11:00,0.590575596,2.18
Afono,8/20/2017 18:45,0.263346425,1.93
Fagaitua,6/12/2017 10:57,0.005663364,
Fagaitua,5/22/2017 10:27,0.050545524,
Fagaitua,5/9/2017 8:57,0.055784135,
Fagaitua,4/19/2017 14:00,0.003709503,
Fagaitua,4/23/2017 15:12,0.004757226,
Fagaitua,4/25/2017 11:02,0.006031483,
Fagaitua,4/28/2017 13:30,,0.2708
Fagaitua,4/30/2017 9:30,0.06892314,0.875
Fagaitua,6/12/2017 10:57,0.005663364,
Fagaitua,7/3/2017 10:22,0.021719001,
Fagaalu,3/30/2016 8:16,0.425,
Fagaalu,4/1/2016 12:17,0.0675,
Fagaalu,4/1/2016 12:36,0.0633,
Fagaalu,4/2/2016 9:15,0.59,
Fagaalu,4/2/2016 9:32,0.5346,
Fagaalu,4/7/2016 8:31,0.0768,
Fagaalu,4/7/2016 10:06,0.0794,
Fagaalu,4/9/2016 12:42,0.7475,1.0170604
Fagaalu,4/10/2016 15:51,1.2646,1.312336
Fagaalu,4/12/2016 14:36,0.3729,0.7217848
Fagaalu,4/15/2016 7:47,1.3134,
Fagaalu,4/16/2016 13:42,0.2224,
Fagaalu,5/23/2016 14:57,0.098,0.2
Fagaalu,5/12/2017 13:33,0.244968809,
Fagaalu,4/7/2017 14:15,0.053377206,0
Leone,4/1/2016 15:14,0.1764,
Leone,4/1/2016 15:36,0.1639,
Leone,4/2/2016 13:55,0.1944,
Leone,4/2/2016 14:11,0.19,
Leone,4/6/2016 8:41,0.0982,
Leone,4/6/2016 9:00,0.1001,
Leone,4/9/2016 9:22,1.0558,0.55
Leone,4/12/2016 9:19,0.5768,0.375
Leone,4/14/2016 12:19,0.9949,
Leone,4/15/2016 14:07,1.2952,
Leone,4/15/2016 14:25,1.2992,
Leone,4/19/2016 9:34,2.37,
Leone,5/19/2016 11:43,0.0965,0.05
Leone,4/5/2017 10:45,0.0965,1.5
Leone,4/15/2017 16:11,0.0965,0.2
Nuuuli,4/1/2016 8:16,0.1079,
Nuuuli,4/2/2016 10:25,0.3905,
Nuuuli,4/2/2016 10:44,0.3487,
Nuuuli,4/6/2016 6:37,0.2967,
Nuuuli,4/6/2016 6:54,0.2807,
Nuuuli,4/9/2016 13:28,0.4145,1.25
Nuuuli,4/10/2016 8:27,1.8242,2.5
Nuuuli,4/12/2016 10:15,0.479,1.52
Nuuuli,4/17/2016 14:22,0.1852,
Nuuuli,4/20/2017 17:36,,0.65
Nuuuli,4/21/2016 16:37,0.1282,
Nuuuli,5/19/2016 14:11,0.0651,0.9
Nuuuli,5/12/2017 14:33,0.2464696,
Nuuuli,5/9/2017 14:15,1.21278108,
Nuuuli,4/15/2017 17:30,0.028883156,0.71
Malota,4/5/2016 12:49,0.0941,
Malota,4/7/2016 16:02,0.0678,
Malota,4/7/2016 16:25,0.0674,
Malota,4/7/2016 16:50,0.0761,
Malota,4/9/2016 15:49,0.3496,1.3
Malota,4/9/2016 16:07,0.377,1.25
Malota,4/10/2016 10:44,2.6998,2.8
Malota,4/12/2016 16:36,0.3589,
Malota,4/15/2016 11:46,1.1176,
Malota,4/15/2016 12:10,1.1048,
Malota,4/22/2017 11:25,,
Malota,5/20/2016 13:35,0.1103,0.8
Malota,5/19/2017 9:40,0.137478161,
Malota,4/5/2017 9:00,0.196405463,0.7
Fagasa,4/1/2016 10:22,0.0232,
Fagasa,4/1/2016 10:42,0.0245,
Fagasa,4/2/2016 8:03,0.2224,
Fagasa,4/2/2016 8:25,0.1962,
Fagasa,4/6/2016 14:33,0.0355,
Fagasa,4/6/2016 14:47,0.0356,
Fagasa,4/9/2016 11:01,0.3651,
Fagasa,4/10/2016 14:52,0.5818,1.7
Fagasa,4/12/2016 12:50,0.1552,1.1
Fagasa,4/15/2016 8:54,0.6086,
Fagasa,5/23/2016 12:36,0.039,0.8
Fagasa,4/5/2017 12:30,0.039,0.75
Fagasa,7/3/2017 15:23,0.039,
Vaipito,4/8/2016 12:47,0.0502,
Vaipito,4/8/2016 13:03,0.0537,
Vaipito,4/9/2016 11:44,1.0472,
Vaipito,4/11/2016 17:05,0.631,
Vaipito,4/12/2016 11:36,0.5477,0.65
Vaipito,4/14/2016 14:42,1.4194,
Vaipito,5/23/2016 13:36,0.1226,0
Vaipito,5/12/2017 12:27,0.268896522,
Vaipito,5/9/2017 10:58,0.099222137,
Vaipito,4/5/2017 13:08,0.156422113,
Vaipito,4/12/2017 15:19,0.01789623,
Vaipito,4/26/2017 14:04,0.007815442,
Vaipito,4/27/2017 14:45,0.004417424,
