Afono WX,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Max,AirTF_Avg,RH,Rain_in_Tot,WS_mph_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrW_Avg,SlrMJ_Tot
2017-12-01 00:00:00,9454,13.09,26.39,78.92,96.5,0,0.693,207,11.95,0,3.21844e-07
2017-12-01 00:15:00,9455,13.09,26.14,78.95,92.3,0,1.737,203,39.27,0,0
2017-12-01 00:30:00,9456,13.08,26.24,79.55,92.2,0,2.105,201.6,36.64,0,0
2017-12-01 00:45:00,9457,13.08,26.38,79.71,89.6,0,1.635,176.7,21.03,0,0
2017-12-01 01:00:00,9458,13.08,26.44,79.45,92.5,0,1.283,190.4,12.96,0,0
2017-12-01 01:15:00,9459,13.08,26.4,79.47,93.1,0,0.908,186.8,20.93,0.001,1.287376e-06
2017-12-01 01:30:00,9460,13.08,26.41,79.5,92.4,0,1.279,186,25.36,0,0
2017-12-01 01:45:00,9461,13.07,26.4,79.31,92.8,0,1.235,205,13.91,0,0
2017-12-01 02:00:00,9462,13.07,26.45,79.8,91.4,0,2.083,213.6,27.62,0,0
2017-12-01 02:15:00,9463,13.07,26.57,79.97,89.3,0,3.132,193.3,26.73,0,0
2017-12-01 02:30:00,9464,13.07,26.72,80.1,89.5,0,2.809,187.6,42.08,0,0
2017-12-01 02:45:00,9465,13.07,26.72,79.82,92,0,1.105,250.6,33.32,0,0
2017-12-01 03:00:00,9466,13.07,26.61,78.74,96.3,0.02,0.784,230.9,10.3,0,0
2017-12-01 03:15:00,9467,13.06,26.15,78,97.7,0,1.013,229.6,45.29,0,1.072813e-07
2017-12-01 03:30:00,9468,13.06,25.8,78.12,95,0.01,2.179,182.7,46.37,0.001,7.509693e-07
2017-12-01 03:45:00,9469,13.06,25.68,78.04,94.3,0,2.349,179.6,21.28,0,0
2017-12-01 04:00:00,9470,13.06,25.53,77.42,95.8,0,1.657,184.3,37.93,0,0
2017-12-01 04:15:00,9471,13.06,25.31,77.8,94.4,0,2.57,209.8,23.47,0,0
2017-12-01 04:30:00,9472,13.06,25.31,77.62,92.4,0,3.225,202,52.19,0,0
