Poloa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
                    ,Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,*F,*F,*F,*F,*F,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,TMPA,TMPB,TMPC,TMPD,TMPE,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
2016-06-08 08:30:00,,,,,,170,94.2,76.1,0,24,4,0,74.3
2016-06-08 08:45:00,,,,,,128,92.5,76.1,0,189,2,0,73.7
2016-06-08 09:00:00,,,,,,153,92,76.2,0,227,5,0,73.7
2016-06-08 09:15:00,,,,,,337,89.8,76.9,0,170,4,0,73.7
2016-06-08 09:30:00,,,,,,312,87.6,77.4,0,173,5,0,73.4
2016-06-08 09:45:00,,,,,,418,84.3,78.6,0,221,3,0,73.5
2016-06-08 10:00:00,,,,,,415,84.4,78.6,0.01,189,2,0,73.6
2016-06-08 10:15:00,,,,,,475,85.1,78.7,0,223,4,0,73.9
2016-06-08 10:30:00,,,,,,567,85.9,78.8,0,193,4,0,74.3
2016-06-08 10:45:00,,,,,,640,80.7,80,0,214,5,0,73.6
2016-06-08 11:00:00,,,,,,752,81.1,80.6,0,221,3,0,74.4
2016-06-08 11:15:00,,,,,,665,77.7,81.8,0,197,2,0,74.3
2016-06-08 11:30:00,,,,,,749,75.7,82.1,0,231,4,0,73.8
2016-06-08 11:45:00,,,,,,719,76.3,82.1,0,148,4,0,74.1
2016-06-08 12:00:00,,,,,,806,74.3,82,0,96,3,0,73.2
2016-06-08 12:15:00,,,,,,517,74.6,82.9,0,214,3,0,74.2
2016-06-08 12:30:00,,,,,,723,72.5,82.7,0,197,4,0,73.2
