Vaipito_Wx,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
5/17/2016 13:45,279,84.8,80,0.01,290,7,6,75.1
5/17/2016 14:00,399,84.2,80.2,0,220,7,0,75.1
5/17/2016 14:15,213,82,80.5,0,169,8,0,74.6
5/17/2016 14:30,246,85.5,80.1,0,194,7,1,75.4
5/17/2016 14:45,197,85.5,79.5,0.01,213,7,0,74.8
5/17/2016 15:00,182,83.6,79.4,0,221,10,1,74.1
5/17/2016 15:15,138,83,79.7,0,121,5,0,74.2
5/17/2016 15:30,142,81.6,79.9,0,159,7,1,73.9
5/17/2016 15:45,183,78,80.1,0,163,12,3,72.8
5/17/2016 16:00,136,77.2,80.2,0,204,13,2,72.6
5/17/2016 16:15,107,81.6,80,0,204,6,1,74
5/17/2016 16:30,94,79.9,79.8,0,224,11,1,73.2
5/17/2016 16:45,57,80.4,79.8,0,184,9,0,73.3
5/17/2016 17:00,46,79.2,79.9,0,139,8,2,73
5/17/2016 17:15,37,80.5,79.8,0,206,10,2,73.4
5/17/2016 17:30,34,80.5,79.5,0,217,2,0,73.1
5/17/2016 17:45,16,82.4,79.2,0,201,5,0,73.5
5/17/2016 18:00,4,82.5,79,0,223,0,0,73.3
5/17/2016 18:15,0,83.2,78.8,0,271,5,0,73.3
5/17/2016 18:30,0,79.2,79.1,0,173,11,2,72.2
5/17/2016 18:45,0,80.5,79.8,0,230,12,1,73.4
5/17/2016 19:00,0,80.1,79.5,0,194,6,1,72.9
5/17/2016 19:15,0,80.1,79.6,0,206,5,0,73
5/17/2016 19:30,0,81.6,79.5,0,255,3,0,73.5
5/17/2016 19:45,0,79.5,79.5,0,240,9,0,72.7
5/17/2016 20:00,0,80.5,79.4,0,168,5,0,73
5/17/2016 20:15,0,80.6,79.2,0,230,2,0,72.8
5/17/2016 20:30,0,80.4,79.2,0,227,4,0,72.8
5/17/2016 20:45,0,80,79.3,0,278,1,0,72.7
5/17/2016 21:00,0,79.3,79.3,0,184,6,0,72.5
5/17/2016 21:15,0,79.8,79.4,0,249,5,0,72.7
5/17/2016 21:30,0,80,79.4,0,247,8,0,72.8
5/17/2016 21:45,0,80,79.2,0,275,6,0,72.6
5/17/2016 22:00,0,80.1,79.4,0,247,4,0,72.8
5/17/2016 22:15,0,80.9,79.3,0,165,4,0,73
5/17/2016 22:30,0,80.2,79.2,0,261,4,0,72.7
5/17/2016 22:45,0,79.8,79.4,0,224,4,0,72.7
5/17/2016 23:00,0,80.6,79.4,0,197,2,0,73
5/17/2016 23:15,0,81.6,79.4,0,340,1,0,73.4
5/17/2016 23:30,0,81.4,79.4,0,136,5,0,73.3
5/17/2016 23:45,0,79.9,79.9,0,172,10,1,73.3
5/18/2016 0:00,0,81.3,79.6,0,180,2,0,73.5
5/18/2016 0:15,0,81.9,79.5,0,245,2,0,73.6
5/18/2016 0:30,0,82.6,79.5,0,129,4,0,73.8
5/18/2016 0:45,0,81.6,79.5,0,100,3,0,73.5
5/18/2016 1:00,0,82.5,79.4,0,193,6,0,73.7
5/18/2016 1:15,0,79.2,79.9,0,141,8,2,73
5/18/2016 1:30,0,80.4,80.1,0,172,10,0,73.6
5/18/2016 1:45,0,85.7,79.2,0,280,7,0,74.6
5/18/2016 2:00,0,86.7,78.3,0,224,3,0,74
5/18/2016 2:15,0,86.3,78.5,0,168,5,0,74.1
5/18/2016 2:30,0,84.9,78.6,0,271,9,0,73.7
5/18/2016 2:45,0,84.9,78.6,0,221,4,0,73.7
5/18/2016 3:00,0,84.3,78.8,0,170,2,0,73.7
5/18/2016 3:15,0,84,79,0,211,2,0,73.8
5/18/2016 3:30,0,83.3,78.9,0,91,1,0,73.5
5/18/2016 3:45,0,81.9,78.9,0,204,2,0,73
5/18/2016 4:00,0,81.7,78.9,0,108,6,0,72.9
5/18/2016 4:15,0,81.4,79,0,220,4,0,72.9
5/18/2016 4:30,0,80.1,79.2,0,141,10,1,72.6
5/18/2016 11:30,431,81.1,80,0.13,160,281,7,73.8
5/18/2016 11:45,339,83.4,80.2,0.02,208,8,0,74.8
