Aasu_Wx,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
                    ,Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F),
                    ,*F,*F,*F,*F,*F,wat/m2,%,*F,In,Deg,mph,mph,*F,
Date and Time   ,TMPA,TMPB,TMPC,TMPD,TMPE,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW,
2016-08-12 13:30:00,,,,,,243,100,73,0.01,210,10,6,73,
2016-08-12 13:45:00,,,,,,395,100,72.6,0,210,11,5,72.6,
2016-08-12 14:00:00,,,,,,209,100,72.6,0,210,12,5,72.6,
2016-08-12 14:15:00,,,,,,202,100,73.6,0.04,18,8,0,73.6,
2016-08-12 14:30:00,,,,,,271,100,73.3,0.03,183,14,4,73.3,
2016-08-12 14:45:00,,,,,,262,100,72.7,0,121,13,4,72.7,
2016-08-12 15:00:00,,,,,,193,100,72.3,0,110,15,4,72.3,
2016-08-12 15:15:00,,,,,,167,100,72.2,0,110,11,4,72.2,
2016-08-12 15:30:00,,,,,,353,100,72.7,0,101,11,3,72.7,
2016-08-12 15:45:00,,,,,,481,100,73.9,0,83,9,3,73.9,
2016-08-12 16:00:00,,,,,,492,100,74.4,0,90,12,3,74.4,
2016-08-12 16:15:00,,,,,,401,100,74.5,0,101,9,3,74.5,
2016-08-12 16:30:00,,,,,,114,100,74,0,87,8,2,74,
2016-08-12 16:45:00,,,,,,136,100,74,0,87,11,1,74,
2016-08-12 17:00:00,,,,,,103,100,73.9,0,83,9,1,73.9,
2016-08-12 17:15:00,,,,,,134,100,74,0,86,6,1,74,
2016-08-12 17:30:00,,,,,,106,100,74.1,0,86,7,0,74.1,
