ASPA_solar_rad,Unnamed: 1
                    ,Solar Rad (wat/m2)
                    ,wat/m2
Date and Time   ,SRD
2015-07-25 08:00:00,
2015-07-25 08:15:00,
2015-07-25 08:30:00,
2015-07-25 08:45:00,
2015-07-25 09:00:00,
2015-07-25 09:15:00,
2015-07-25 09:30:00,
2015-07-25 09:45:00,
2015-07-25 10:00:00,
2015-07-25 10:15:00,
2015-07-25 10:30:00,1
2015-07-25 10:45:00,978
2015-07-25 11:00:00,
2015-07-25 11:30:00,339
2015-07-25 11:45:00,370
2015-07-25 12:00:00,403
2015-07-25 12:15:00,491
2015-07-25 12:30:00,344
2015-07-25 12:45:00,305
2015-07-25 13:00:00,678
2015-07-25 13:15:00,375
2015-07-25 13:30:00,205
2015-07-25 13:45:00,304
2015-07-25 14:00:00,369
2015-07-25 14:15:00,251
2015-07-25 14:30:00,348
2015-07-25 14:45:00,212
2015-07-25 15:00:00,182
2015-07-25 15:15:00,237
2015-07-25 15:30:00,246
2015-07-25 15:45:00,221
2015-07-25 16:00:00,184
2015-07-25 16:15:00,179
2015-07-25 16:30:00,147
2015-07-25 16:45:00,142
2015-07-25 17:00:00,103
2015-07-25 17:15:00,47
2015-07-25 17:30:00,47
2015-07-25 17:45:00,18
2015-07-25 18:00:00,10
2015-07-25 18:15:00,0
2015-07-25 18:30:00,0
2015-07-25 18:45:00,0
2015-07-25 19:00:00,0
2015-07-25 19:15:00,0
2015-07-25 19:30:00,0
2015-07-25 19:45:00,0
2015-07-25 20:00:00,0
2015-07-25 20:15:00,0
2015-07-25 20:30:00,0
2015-07-25 20:45:00,0
2015-07-25 21:00:00,0
2015-07-25 21:15:00,0
2015-07-25 21:30:00,0
2015-07-25 21:45:00,0
2015-07-25 22:00:00,0
2015-07-25 22:15:00,0
2015-07-25 22:30:00,0
2015-07-25 22:45:00,0
2015-07-25 23:00:00,0
2015-07-25 23:15:00,0
2015-07-25 23:30:00,0
2015-07-25 23:45:00,0
2015-07-26 00:00:00,0
2015-07-26 00:15:00,0
2015-07-26 00:30:00,0
2015-07-26 00:45:00,0
2015-07-26 01:00:00,0
2015-07-26 01:15:00,0
2015-07-26 01:30:00,0
2015-07-26 01:45:00,0
2015-07-26 02:00:00,0
2015-07-26 02:15:00,0
2015-07-26 02:30:00,0
2015-07-26 02:45:00,0
2015-07-26 03:00:00,0
2015-07-26 03:15:00,0
2015-07-26 03:30:00,0
2015-07-26 03:45:00,0
2015-07-26 04:00:00,0
2015-07-26 04:15:00,0
2015-07-26 04:30:00,0
2015-07-26 04:45:00,0
2015-07-26 05:00:00,0
2015-07-26 05:15:00,0
2015-07-26 05:30:00,0
2015-07-26 05:45:00,0
2015-07-26 06:00:00,0
2015-07-26 06:15:00,0
2015-07-26 06:30:00,0
2015-07-26 06:45:00,0
2015-07-26 07:00:00,7
2015-07-26 07:15:00,10
2015-07-26 07:30:00,53
2015-07-26 07:45:00,29
2015-07-26 08:00:00,63
2015-07-26 08:15:00,69
2015-07-26 08:30:00,134
2015-07-26 08:45:00,250
2015-07-26 09:00:00,175
2015-07-26 09:15:00,175
2015-07-26 09:30:00,80
2015-07-26 09:45:00,191
2015-07-26 10:00:00,232
2015-07-26 10:15:00,208
2015-07-26 10:30:00,114
2015-07-26 10:45:00,361
2015-07-26 11:00:00,328
2015-07-26 11:15:00,356
2015-07-26 11:30:00,713
2015-07-26 11:45:00,245
2015-07-26 12:00:00,471
2015-07-26 12:15:00,277
2015-07-26 12:30:00,421
2015-07-26 12:45:00,472
2015-07-26 13:00:00,394
2015-07-26 13:15:00,485
2015-07-26 13:30:00,333
