Poloa,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
                    ,Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Temperature (*F),Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,*F,*F,*F,*F,*F,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,TMPA,TMPB,TMPC,TMPD,TMPE,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
2015-07-21 14:30:00,,,,,,694,61.5,84,0.02,344,3,1,69.6
2015-07-21 14:45:00,,,,,,722,60.9,83.7,0,182,4,1,69
2015-07-21 15:00:00,,,,,,759,64.4,82.2,0,69,3,1,69.2
2015-07-21 15:15:00,,,,,,664,65.4,81.1,0,63,3,0,68.6
2015-07-21 15:30:00,,,,,,429,67.6,80.8,0,62,3,1,69.3
2015-07-21 15:45:00,,,,,,287,69.7,80.1,0,76,4,0,69.5
2015-07-21 16:00:00,,,,,,298,70.5,79.9,0,77,4,0,69.7
2015-07-21 16:15:00,,,,,,260,70.9,79.4,0,72,4,0,69.3
2015-07-21 16:30:00,,,,,,248,71.7,79.1,0,59,4,0,69.4
2015-07-21 16:45:00,,,,,,163,72.9,78.1,0,72,3,0,68.9
2015-07-21 17:00:00,,,,,,132,75.4,77.4,0,80,2,0,69.2
2015-07-21 17:15:00,,,,,,78,77,76.9,0,70,4,1,69.3
2015-07-21 17:30:00,,,,,,49,78,76.5,0,56,3,0,69.3
2015-07-21 17:45:00,,,,,,24,78.9,76.3,0,57,3,0,69.4
2015-07-21 18:00:00,,,,,,10,79.1,76.2,0,83,4,1,69.4
2015-07-21 18:15:00,,,,,,2,79.6,76.1,0,67,5,1,69.4
2015-07-21 18:30:00,,,,,,0,80.3,76.1,0,66,3,1,69.7
