ASPA_solar_rad,Unnamed: 1
                    ,Solar Rad (wat/m2)
                    ,wat/m2
Date and Time   ,SRD
2016-12-19 09:45:00,91
2016-12-19 10:00:00,147
2016-12-19 10:15:00,197
2016-12-19 10:30:00,106
2016-12-19 10:45:00,618
2016-12-19 11:00:00,270
2016-12-19 11:15:00,744
2016-12-19 11:30:00,234
2016-12-19 11:45:00,389
2016-12-19 12:00:00,197
2016-12-19 12:15:00,87
2016-12-19 12:30:00,109
2016-12-19 12:45:00,95
2016-12-19 13:00:00,45
2016-12-19 13:15:00,43
2016-12-19 13:30:00,39
2016-12-19 13:45:00,91
2016-12-19 14:00:00,189
2016-12-19 14:15:00,349
2016-12-19 14:30:00,336
2016-12-19 14:45:00,285
2016-12-19 15:00:00,257
2016-12-19 15:15:00,204
2016-12-19 15:30:00,157
2016-12-19 15:45:00,155
2016-12-19 16:00:00,167
2016-12-19 16:15:00,158
2016-12-19 16:30:00,129
2016-12-19 16:45:00,118
2016-12-19 17:00:00,87
2016-12-19 17:15:00,83
2016-12-19 17:30:00,62
2016-12-19 17:45:00,40
2016-12-19 18:00:00,23
2016-12-19 18:15:00,13
2016-12-19 18:30:00,4
2016-12-19 18:45:00,1
2016-12-19 19:00:00,0
2016-12-19 19:15:00,0
2016-12-19 19:30:00,0
2016-12-19 19:45:00,0
2016-12-19 20:00:00,0
2016-12-19 20:15:00,0
2016-12-19 20:30:00,0
2016-12-19 20:45:00,0
2016-12-19 21:00:00,0
2016-12-19 21:15:00,0
2016-12-19 21:30:00,0
2016-12-19 21:45:00,0
2016-12-19 22:00:00,0
2016-12-19 22:15:00,0
2016-12-19 22:30:00,0
2016-12-19 22:45:00,0
2016-12-19 23:00:00,0
2016-12-19 23:15:00,0
2016-12-19 23:30:00,0
2016-12-19 23:45:00,0
2016-12-20 00:00:00,0
2016-12-20 00:15:00,0
2016-12-20 00:30:00,0
2016-12-20 00:45:00,0
2016-12-20 01:00:00,0
2016-12-20 01:15:00,0
2016-12-20 01:30:00,0
2016-12-20 01:45:00,0
2016-12-20 02:00:00,0
2016-12-20 02:15:00,0
2016-12-20 02:30:00,0
2016-12-20 02:45:00,0
2016-12-20 03:00:00,0
2016-12-20 03:15:00,0
2016-12-20 03:30:00,0
2016-12-20 03:45:00,0
2016-12-20 04:00:00,0
2016-12-20 04:15:00,0
2016-12-20 04:30:00,0
2016-12-20 04:45:00,0
2016-12-20 05:00:00,0
2016-12-20 05:15:00,0
2016-12-20 05:30:00,0
2016-12-20 05:45:00,0
2016-12-20 06:00:00,3
2016-12-20 06:15:00,15
2016-12-20 06:30:00,37
2016-12-20 06:45:00,53
2016-12-20 07:00:00,54
2016-12-20 07:15:00,67
2016-12-20 07:30:00,129
2016-12-20 07:45:00,144
2016-12-20 08:00:00,193
2016-12-20 08:15:00,365
2016-12-20 08:30:00,131
2016-12-20 08:45:00,166
2016-12-20 09:00:00,184
2016-12-20 09:15:00,262
2016-12-20 09:30:00,144
2016-12-20 09:45:00,405
2016-12-20 10:00:00,549
2016-12-20 10:15:00,651
2016-12-20 10:30:00,406
2016-12-20 10:45:00,312
2016-12-20 11:00:00,344
2016-12-20 11:15:00,729
2016-12-20 11:30:00,215
2016-12-20 11:45:00,767
2016-12-20 12:00:00,585
2016-12-20 12:15:00,785
2016-12-20 12:30:00,448
2016-12-20 12:45:00,596
2016-12-20 13:00:00,697
2016-12-20 13:15:00,579
2016-12-20 13:30:00,689
2016-12-20 13:45:00,625
2016-12-20 14:00:00,642
2016-12-20 14:15:00,161
2016-12-20 14:30:00,131
2016-12-20 14:45:00,135
2016-12-20 15:00:00,95
