Date,Rain_[in]
1/1/2015,0
1/2/2015,2.65
1/3/2015,0.85
1/4/2015,0
1/5/2015,1.53
1/6/2015,0.8
1/7/2015,0
1/8/2015,0.93
1/9/2015,0
1/10/2015,2.92
1/11/2015,0
1/12/2015,0.16
1/13/2015,0.07
1/14/2015,0.86
1/15/2015,0
1/16/2015,0
1/17/2015,0.01
1/18/2015,0
1/19/2015,0
1/20/2015,1.61
1/21/2015,4.2
1/22/2015,0
1/23/2015,0
1/24/2015,0.08
1/25/2015,0
1/26/2015,1.04
1/27/2015,1.47
1/28/2015,0
1/29/2015,0.68
1/30/2015,4.33
1/31/2015,0.63
2/1/2015,0
2/2/2015,2.94
2/3/2015,0.39
2/4/2015,0
2/5/2015,0
2/6/2015,1.03
2/7/2015,0.36
2/8/2015,0
2/9/2015,1.97
2/10/2015,2.99
2/11/2015,0
2/12/2015,0.11
2/13/2015,0.55
2/14/2015,0.41
2/15/2015,0
2/16/2015,1.26
2/17/2015,0.77
2/18/2015,0
2/19/2015,0.09
2/20/2015,0.16
2/21/2015,0.1
2/22/2015,0
2/23/2015,2.3
2/24/2015,0.01
2/25/2015,0
2/26/2015,0.03
2/27/2015,0.05
2/28/2015,0.04
3/1/2015,0
3/2/2015,0
3/3/2015,0.49
3/4/2015,0.03
3/5/2015,0.05
3/6/2015,0.97
3/7/2015,0.09
3/8/2015,0
3/9/2015,0.28
3/10/2015,1.09
3/11/2015,0.51
3/12/2015,0
3/13/2015,0
3/14/2015,0
3/15/2015,0
3/16/2015,1.31
3/17/2015,0
3/18/2015,0
3/19/2015,1.41
3/20/2015,0.44
3/21/2015,0.02
3/22/2015,0
3/23/2015,1.14
3/24/2015,0.07
3/25/2015,0
3/26/2015,2.46
3/27/2015,0.9
3/28/2015,0
3/29/2015,0
3/30/2015,1.46
3/31/2015,0
4/1/2015,0.48
4/2/2015,1.03
4/3/2015,1.38
4/4/2015,0
4/5/2015,0
4/6/2015,0.4
4/7/2015,0.35
4/8/2015,0
4/9/2015,0.31
4/10/2015,0
4/11/2015,0
4/12/2015,0
4/13/2015,0.62
4/14/2015,0.65
4/15/2015,0.04
4/16/2015,0.16
4/17/2015,0
4/18/2015,0.11
4/19/2015,0
4/20/2015,2.57
4/21/2015,0
4/22/2015,0.71
4/23/2015,4.87
4/24/2015,0.33
4/25/2015,0.82
4/26/2015,0
4/27/2015,0.35
4/28/2015,0
4/29/2015,0.12
4/30/2015,0.16
5/1/2015,0.14
5/2/2015,0
5/3/2015,0
5/4/2015,3.44
5/5/2015,0.13
5/6/2015,0.26
5/7/2015,1
5/8/2015,1.78
5/9/2015,0
5/10/2015,0
5/11/2015,0.82
5/12/2015,0
5/13/2015,1.09
5/14/2015,0
5/15/2015,0.44
5/16/2015,0
5/17/2015,0
5/18/2015,3.77
5/19/2015,0
5/20/2015,0.46
5/21/2015,0.31
5/22/2015,2.6
5/23/2015,0
5/24/2015,0
5/25/2015,2.45
5/26/2015,0
5/27/2015,0.6
5/28/2015,0
