Date,Rain_[in]
1/1/2015,0
1/2/2015,2.74
1/3/2015,0.81
1/4/2015,0
1/5/2015,0.69
1/6/2015,0.4
1/7/2015,0
1/8/2015,2.49
1/9/2015,0
1/10/2015,0.69
1/11/2015,0
1/12/2015,0.68
1/13/2015,0
1/14/2015,1.21
1/15/2015,0
1/16/2015,0
1/17/2015,0.11
1/18/2015,0
1/19/2015,0
1/20/2015,4.74
1/21/2015,3.03
1/22/2015,0
1/23/2015,0
1/24/2015,0
1/25/2015,0
1/26/2015,1.02
1/27/2015,0.67
1/28/2015,0
1/29/2015,4.92
1/30/2015,2.02
1/31/2015,0.14
2/1/2015,0
2/2/2015,1.3
2/3/2015,0.78
2/4/2015,0
2/5/2015,0
2/6/2015,0.82
2/7/2015,0.3
2/8/2015,0
2/9/2015,1.72
2/10/2015,0.8
2/11/2015,0
2/12/2015,0.89
2/13/2015,0.4
2/14/2015,0.18
2/15/2015,0
2/16/2015,1.22
2/17/2015,0.26
2/18/2015,0
2/19/2015,0.2
2/20/2015,0.04
2/21/2015,0
2/22/2015,0
2/23/2015,4.82
2/24/2015,0
2/25/2015,0
2/26/2015,0.28
2/27/2015,0.44
2/28/2015,0.18
3/1/2015,0
3/2/2015,0
3/3/2015,0.89
3/4/2015,0.1
3/5/2015,0.42
3/6/2015,0.17
3/7/2015,0
3/8/2015,0
3/9/2015,0.13
3/10/2015,0.11
3/11/2015,1.98
3/12/2015,0
3/13/2015,0
3/14/2015,0
3/15/2015,0
3/16/2015,0.07
3/17/2015,1.8
3/18/2015,0
3/19/2015,0
3/20/2015,0.37
3/21/2015,0
3/22/2015,0
3/23/2015,0.53
3/24/2015,0
3/25/2015,0
3/26/2015,3.9
3/27/2015,0.59
3/28/2015,0
3/29/2015,0
3/30/2015,0.79
3/31/2015,0
4/1/2015,1.02
4/2/2015,0.8
4/3/2015,0.31
4/4/2015,0
4/5/2015,0
4/6/2015,0.08
4/7/2015,0
4/8/2015,0
4/9/2015,0.1
4/10/2015,0
4/11/2015,0
4/12/2015,0
4/13/2015,0
4/14/2015,0.42
4/15/2015,0
