Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
03/31/16,18:15:00,14.6115,81.266,,,,
03/31/16,18:30:00,14.6146,80.911,,,,
03/31/16,18:45:00,14.6141,80.735,,,,
03/31/16,19:00:00,14.6157,80.559,,,,
03/31/16,19:15:00,14.6152,80.382,,,,
03/31/16,19:30:00,14.6237,80.382,,,,
03/31/16,19:45:00,14.6253,80.206,,,,
03/31/16,20:00:00,14.6226,80.029,,,,
03/31/16,20:15:00,14.6199,79.853,,,,
03/31/16,20:30:00,14.6199,79.853,,,,
03/31/16,20:45:00,14.6279,79.678,,,,
03/31/16,21:00:00,14.6321,79.678,,,,
03/31/16,21:15:00,14.6381,79.502,,,,
03/31/16,21:30:00,14.6381,79.502,,,,
03/31/16,21:45:00,14.6381,79.502,,,,
03/31/16,22:00:00,14.6401,79.502,,,,
03/31/16,22:15:00,14.6401,79.502,,,,
03/31/16,22:30:00,14.6401,79.502,,,,
03/31/16,22:45:00,14.6401,79.502,,,,
03/31/16,23:00:00,14.6423,79.502,,,,
03/31/16,23:15:00,14.6423,79.502,,,,
03/31/16,23:30:00,14.6401,79.502,,,,
03/31/16,23:45:00,14.6359,79.502,,,,
04/01/16,00:00:00,14.6316,79.502,,,,
04/01/16,00:15:00,14.6295,79.502,,,,
04/01/16,00:30:00,14.6316,79.502,,,,
04/01/16,00:45:00,14.6321,79.678,,,,
04/01/16,01:00:00,14.6300,79.678,,,,
04/01/16,01:15:00,14.6300,79.678,,,,
04/01/16,01:30:00,14.6215,79.678,,,,
04/01/16,01:45:00,14.6194,79.678,,,,
04/01/16,02:00:00,14.6166,79.502,,,,
04/01/16,02:15:00,14.6146,79.502,,,,
04/01/16,02:30:00,14.6146,79.502,,,,
04/01/16,02:45:00,14.6146,79.502,,,,
04/01/16,03:00:00,14.6146,79.502,,,,
04/01/16,03:15:00,14.6146,79.502,,,,
04/01/16,03:30:00,14.6146,79.502,,,,
04/01/16,03:45:00,14.6166,79.502,,,,
04/01/16,04:00:00,14.6102,79.502,,,,
04/01/16,04:15:00,14.6140,79.326,,,,
04/01/16,04:30:00,14.6182,79.326,,,,
04/01/16,04:45:00,14.6162,79.326,,,,
04/01/16,05:00:00,14.6182,79.326,,,,
04/01/16,05:15:00,14.6182,79.326,,,,
04/01/16,05:30:00,14.6226,79.326,,,,
04/01/16,05:45:00,14.6268,79.326,,,,
04/01/16,06:00:00,14.6289,79.326,,,,
04/01/16,06:15:00,14.6311,79.326,,,,
04/01/16,06:30:00,14.6375,79.326,,,,
04/01/16,06:45:00,14.6397,79.326,,,,
04/01/16,07:00:00,14.6397,79.326,,,,
04/01/16,07:15:00,14.6481,79.326,,,,
04/01/16,07:30:00,14.6530,79.502,,,,
04/01/16,07:45:00,14.6530,79.502,,,,
04/01/16,08:00:00,14.6550,79.502,,,,
04/01/16,08:15:00,14.6566,79.326,,,,
04/01/16,08:30:00,14.6546,79.326,,,,
04/01/16,08:45:00,14.6578,79.678,,,,
04/01/16,09:00:00,14.6590,80.735,,,,
04/01/16,09:15:00,14.6611,81.442,,,,
04/01/16,09:30:00,14.6617,81.621,,,,
04/01/16,09:45:00,14.6591,82.152,,,,
04/01/16,10:00:00,14.6585,81.975,,,,
04/01/16,10:15:00,14.6595,81.621,,,,
04/01/16,10:30:00,14.6595,81.621,,,,
04/01/16,10:45:00,14.6591,82.152,,,,
04/01/16,11:00:00,14.6566,83.399,,,,
04/01/16,11:15:00,14.6566,83.399,,,,
04/01/16,11:30:00,14.6533,83.043,,,,
04/01/16,11:45:00,14.6529,82.864,,,,
04/01/16,12:00:00,14.6479,82.686,,,,
04/01/16,12:15:00,14.6405,83.043,,,,
04/01/16,12:30:00,14.6389,83.221,,,,
