,Date,Aasu_rain[in],Amouli_rain[in],Fagaalu_rain[in],Fagaitua_rain[in],Fagalii_rain[in],Malaeimi_rain[in],Malaeloa_rain[in],Nua_rain[in],Onenoa_rain[in],Satala_rain[in],PPG_rain[in]
66,2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2015-03-09,0.25,0.15,0.28,0.2,0.13,1.55,0.05,0.23,0.28,0.15,0.06
68,2015-03-10,0.23,0.04,1.09,0.12,0.11,0.17,0.24,0.26,0.01,0.61,0.7
69,2015-03-11,1.96,1.19,0.51,0.62,1.98,1.33,3.14,1.67,0.68,0.89,0.04
70,2015-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2015-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
72,2015-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
73,2015-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2015-03-16,0.45,1.02,1.31,0.38,0.07,0.2,0.03,0.07,0.47,2.05,0.65
75,2015-03-17,1.15,0.0,0.0,0.0,1.8,0.78,1.26,2.42,0.0,0.0,0.02
76,2015-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
77,2015-03-19,0.09,3.3,1.41,3.21,0.0,0.09,0.09,0.0,1.15,1.07,0.0
78,2015-03-20,0.22,0.0,0.44,0.0,0.37,0.62,0.19,0.2,0.0,0.07,0.25
79,2015-03-21,0.13,0.62,0.02,0.8,0.0,0.06,0.09,0.0,0.37,0.02,0.05
80,2015-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
81,2015-03-23,0.55,1.15,1.14,1.17,0.53,0.64,0.77,0.41,0.94,0.95,0.06
82,2015-03-24,0.22,0.0,0.07,0.44,0.0,0.21,0.13,0.0,0.0,0.39,0.19
83,2015-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
