Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
    1,    1,    1,    1,  0.015500,   10,   0.000,   0.008,   0.000,   0.000,   0.000,   0.003,   0.022,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.020,   0.092,   0.008,   0.369,   0.095,   0.296,   0.011,   0.000,   0.000,   0.053,   0.000,   0.017,   0.000,   0.003,   0.003
    2,    1,    2,    1,  0.274230,   10,   0.004,   0.191,   0.010,   0.004,   0.001,   0.001,   0.010,   0.042,   0.069,   0.033,   0.007,   0.004,   0.004,   0.003,   0.009,   0.004,   0.004,   0.020,   0.178,   0.103,   0.001,   0.000,   0.000,   0.000,   0.118,   0.038,   0.027,   0.046,   0.010,   0.010,   0.051
    3,    1,    3,    1,  0.990897,   10,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000,   0.197,   0.135,   0.162,   0.015,   0.000,   0.000,   0.009,   0.000,   0.002,   0.013,   0.001,   0.000,   0.000,   0.000,   0.146,   0.081,   0.114,   0.005,   0.000,   0.000,   0.000,   0.000,   0.025,   0.019,   0.000
    4,    1,    4,    1,  0.002707,   10,   0.000,   0.050,   0.000,   0.110,   0.018,   0.000,   0.000,   0.136,   0.000,   0.000,   0.036,   0.112,   0.000,   0.000,   0.000,   0.250,   0.000,   0.000,   0.068,   0.000,   0.000,   0.017,   0.201,   0.000,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000
    5,    1,    5,    1,  0.140152,   10,   0.175,   0.126,   0.001,   0.006,   0.004,   0.013,   0.011,   0.002,   0.034,   0.024,   0.000,   0.029,   0.001,   0.024,   0.001,   0.037,   0.001,   0.096,   0.018,   0.014,   0.027,   0.000,   0.001,   0.002,   0.042,   0.092,   0.101,   0.002,   0.060,   0.019,   0.037
    6,    1,    6,    1,  0.556244,   10,   0.048,   0.001,   0.000,   0.009,   0.031,   0.114,   0.033,   0.037,   0.156,   0.098,   0.010,   0.008,   0.009,   0.001,   0.002,   0.001,   0.000,   0.023,   0.031,   0.024,   0.058,   0.081,   0.034,   0.014,   0.004,   0.028,   0.060,   0.048,   0.008,   0.027,   0.000
    7,    1,    7,    1,  0.382772,   10,   0.000,   0.120,   0.093,   0.013,   0.000,   0.000,   0.000,   0.000,   0.000,   0.053,   0.000,   0.013,   0.013,   0.040,   0.040,   0.187,   0.027,   0.173,   0.040,   0.013,   0.080,   0.000,   0.013,   0.000,   0.027,   0.000,   0.013,   0.013,   0.013,   0.000,   0.013
    8,    1,    8,    1,  0.195782,   10,   0.000,   0.000,   0.000,   0.021,   0.000,   0.004,   0.000,   0.000,   0.038,   0.000,   0.000,   0.066,   0.021,   0.020,   0.000,   0.000,   0.054,   0.030,   0.062,   0.062,   0.000,   0.000,   0.067,   0.152,   0.089,   0.124,   0.066,   0.000,   0.000,   0.052,   0.074
    9,    1,    9,    1,  0.575498,   10,   0.024,   0.041,   0.073,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.032,   0.008,   0.000,   0.008,   0.016,   0.016,   0.032,   0.008,   0.041,   0.024,   0.041,   0.041,   0.057,   0.098,   0.024,   0.008,   0.016,   0.000,   0.317,   0.065,   0.000
   10,    1,   10,    1,  0.352926,   10,   0.000,   0.000,   0.075,   0.140,   0.000,   0.000,   0.076,   0.017,   0.025,   0.121,   0.000,   0.000,   0.000,   0.028,   0.000,   0.119,   0.024,   0.056,   0.000,   0.000,   0.130,   0.033,   0.000,   0.000,   0.014,   0.000,   0.017,   0.047,   0.026,   0.051,   0.001
