Fagaitua_no_rain,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
7/1/2017 0:00,0,69.2,75.6,0,115,12,3,65
7/1/2017 0:15,0,67.4,75.4,0,129,15,3,64.1
7/1/2017 0:30,0,66.5,75.6,0,124,9,3,63.9
7/1/2017 0:45,0,65.9,75.8,0,121,9,3,63.8
7/1/2017 1:00,0,67.3,75.7,0,112,11,2,64.3
7/1/2017 1:15,0,65.5,75.8,0,114,12,5,63.6
7/1/2017 1:30,0,69.1,75.2,0,96,11,3,64.6
7/1/2017 1:45,0,71.2,74.6,0,80,2,0,64.8
7/1/2017 2:00,0,68,74.6,0,96,8,2,63.5
7/1/2017 2:15,0,68.3,74.7,0,97,9,1,63.8
7/1/2017 2:30,0,64.8,75.1,0,110,10,3,62.7
7/1/2017 2:45,0,65.2,75.7,0,120,10,2,63.4
7/1/2017 3:00,0,63.7,75.6,0,118,9,2,62.7
7/1/2017 3:15,0,61.4,76,0,110,11,2,62
7/1/2017 3:30,0,59.2,76.3,0,124,10,2,61.2
7/1/2017 3:45,0,60.5,76.3,0,125,6,1,61.8
7/1/2017 4:00,0,61.2,76.2,0,121,6,2,62.1
7/1/2017 4:15,0,60.9,76.2,0,127,8,1,61.9
7/1/2017 4:30,0,61.1,76.1,0,121,5,1,61.9
7/1/2017 4:45,0,63.4,76.1,0,120,11,3,63
7/1/2017 5:00,0,63.9,76.4,0,125,9,3,63.5
7/1/2017 5:15,0,63.7,76.4,0,121,10,4,63.4
7/1/2017 5:30,0,61.2,76.5,0,128,12,4,62.4
7/1/2017 5:45,0,63.8,76.4,0,104,10,3,63.5
7/1/2017 6:00,0,64.6,76,0,131,8,3,63.4
7/1/2017 6:15,0,63.9,76,0,124,9,3,63.1
7/1/2017 6:30,0,64.1,75.9,0,114,12,3,63.1
7/1/2017 6:45,0,61.8,76.1,0,124,8,3,62.3
7/1/2017 7:00,9,63.8,76,0,120,9,3,63.1
7/1/2017 7:15,27,65.5,75.6,0,132,9,4,63.4
7/1/2017 7:30,69,65.5,75.8,0,118,10,4,63.6
7/1/2017 7:45,186,65.3,76.4,0,122,14,4,64.1
7/1/2017 8:00,257,63.3,77.2,0,129,9,3,64
7/1/2017 8:15,296,62.2,77.5,0,120,11,4,63.8
7/1/2017 8:30,372,60.4,77.9,0,125,9,3,63.3
7/1/2017 8:45,370,58.9,78.1,0,120,11,4,62.8
7/1/2017 9:00,286,62,77.5,0,127,11,3,63.7
7/1/2017 9:15,315,61.8,77.1,0,121,10,4,63.2
7/1/2017 9:30,369,62.6,77.1,0,135,11,4,63.6
7/1/2017 9:45,753,60.2,78.1,0,134,9,2,63.4
7/1/2017 10:00,547,61.2,78.5,0,114,11,3,64.3
7/1/2017 10:15,580,61.3,78,0,139,10,3,63.8
7/1/2017 10:30,627,61.6,78.4,0,131,10,3,64.3
7/1/2017 10:45,802,60.3,78.4,0,144,13,4,63.7
7/1/2017 11:00,533,62.5,78.5,0,125,10,3,64.9
7/1/2017 11:15,619,63.8,78,0,122,11,3,65
7/1/2017 11:30,584,63.7,77.7,0,121,9,4,64.6
7/1/2017 11:45,828,59.6,78.4,0,120,9,3,63.4
7/1/2017 12:00,776,61.9,78.8,0,128,10,4,64.9
7/1/2017 12:15,883,62.6,79,0,129,14,4,65.4
7/1/2017 12:30,773,63.7,78.8,0,127,10,3,65.7
7/1/2017 12:45,734,63.9,78.8,0,131,9,3,65.8
7/1/2017 13:00,818,63.4,79,0,132,10,3,65.7
7/1/2017 13:15,742,63,78.9,0,127,8,3,65.5
7/1/2017 13:30,934,63.9,79.3,0,138,11,4,66.3
7/1/2017 13:45,750,63.5,78.7,0,124,14,4,65.5
7/1/2017 14:00,882,62,78.6,0,131,9,4,64.7
7/1/2017 14:15,870,62.7,79.1,0,131,9,3,65.5
