"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.84552812576E+00   5.50000000000E+00  Obs_0       
   3.32013994455E-01   2.00000002980E-01  Obs_1       
   3.04628729820E-01   4.00000005960E-01  Obs_2       
   1.75717517734E-01   3.00000011921E-01  Obs_3       
   1.98949560523E-01   6.00000023842E-01  Obs_4       
   5.37314772606E-01   2.29999995232E+00  Obs_5       
   4.77172642946E-01   2.59999990463E+00  Obs_6       
   1.22161781788E+00   3.50000000000E+00  Obs_7       
   4.54729557037E-01   1.20000004768E+00  Obs_8       
   2.40312075615E+00   3.59999990463E+00  Obs_9       
   5.25021135807E-01   1.50000000000E+00  Obs_10      
   1.60884284973E+00   1.89999997616E+00  Obs_11      
   2.97819781303E+00   1.29999995232E+00  Obs_12      
   1.59880852699E+00   8.99999976158E-01  Obs_13      
   4.34257936478E+00   4.47000007629E+01  Obs_14      
   1.56424939632E+00   2.59999990463E+00  Obs_15      
   1.51789975166E+00   1.70000004768E+00  Obs_16      
   3.81201171875E+00   3.00000000000E+00  Obs_17      
   1.50205981731E+00   1.79999995232E+00  Obs_18      
   6.84372568130E+00   5.90000009537E+00  Obs_19      
   3.82571673393E+00   1.92000007629E+01  Obs_20      
   8.08575153351E+00   8.00000000000E+00  Obs_21      
   4.54144954681E+00   8.19999980927E+00  Obs_22      
   3.89875102043E+00   5.75000000000E+00  Obs_23      
   8.06666755676E+00   3.42000007629E+01  Obs_24      
   3.60594868660E+00   3.20000004768E+00  Obs_25      
   8.94912433624E+00   1.65000000000E+01  Obs_26      
   5.47604799271E+00   2.53999996185E+01  Obs_27      
   3.39964056015E+00   1.79999995232E+00  Obs_28      
   3.39499521255E+00   8.80000019073E+00  Obs_29      
   2.66934823990E+00   8.50000023842E-01  Obs_30      
   2.55740618706E+00   8.99999976158E-01  Obs_31      
   1.00000001490E-01   6.00000023842E-01  Obs_32      
   5.76641750336E+00   2.02999992371E+01  Obs_33      
   2.66283297539E+00   1.79999995232E+00  Obs_34      
   2.46358633041E+00   1.93330001831E+00  Obs_35      
   1.47849917412E+00   3.00000011921E-01  Obs_36      
   1.94679841399E-01   5.00000000000E-01  Obs_37      
   1.05730128288E+00   1.00000000000E+00  Obs_38      
   9.77149486542E+00   6.25000000000E+01  Obs_39      
   3.00407242775E+00   1.58000001907E+01  Obs_40      
   5.36443328857E+00   1.20000004768E+00  Obs_41      
   6.10809707642E+00   7.30000019073E+00  Obs_42      
   6.87320089340E+00   7.30000019073E+00  Obs_43      
   7.48987436295E+00   9.80000019073E+00  Obs_44      
   8.21684455872E+00   1.64666996002E+01  Obs_45      
   3.13858294487E+00   1.20000004768E+00  Obs_46      
   2.84854793549E+00   3.00000000000E+00  Obs_47      
   4.51246118546E+00   6.65000009537E+00  Obs_48      
   4.05134105682E+00   2.70000004768E+00  Obs_49      
   1.48259389400E+00   6.09999990463E+00  Obs_50      
   1.00000001490E-01   1.00000001490E-01  Obs_51      
   3.67827987671E+00   8.10000038147E+00  Obs_52      
   3.64767074585E+00   8.19999980927E+00  Obs_53      
   4.70986652374E+00   4.30000019073E+00  Obs_54      
   4.39217519760E+00   5.56669998169E+00  Obs_55      
   5.06489992142E+00   5.50000000000E+00  Obs_56      
   2.83881545067E+00   7.30000019073E+00  Obs_57      
   1.99012124538E+00   6.00000000000E+00  Obs_58      
   4.96879965067E-01   2.70000004768E+00  Obs_59      
   5.02454936504E-01   5.30000019073E+00  Obs_60      
   1.00754845142E+00   3.09999990463E+00  Obs_61      
   6.28966689110E-01   3.00000000000E+00  Obs_62      
   4.52488034964E-01   5.69999980927E+00  Obs_63      
