Vaipito_Wx,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
                    ,wat/m2,%,*F,In,Deg,mph,mph,*F
Date and Time   ,SRD,HMD,TMP,RNF,WND,WNG,WNS,DEW
6/8/2016 11:30,464,81.3,80.8,4.43,323,109,1,74.6
6/10/2016 12:15,224,76.3,81,0.39,80,7,5,73
6/10/2016 12:30,267,76.7,81.2,0,100,10,1,73.3
6/10/2016 12:45,210,77.1,82.2,0,35,5,0,74.5
6/10/2016 13:00,284,76,82.5,0,201,7,0,74.3
6/10/2016 13:15,371,75.7,83,0,300,3,0,74.7
6/10/2016 13:30,366,75.3,83.1,0,224,5,0,74.7
6/10/2016 13:45,273,74.7,82.6,0,88,6,0,73.9
6/10/2016 14:00,258,76.5,82.1,0,114,6,0,74.1
6/10/2016 14:15,189,76.4,82.1,0,235,2,0,74.1
6/10/2016 14:30,291,76.3,82.3,0,187,4,0,74.3
6/10/2016 14:45,340,76.5,82.6,0,193,7,0,74.6
6/10/2016 15:00,646,74.5,83.5,0,176,4,0,74.7
6/10/2016 15:15,358,70.8,85.2,0,216,2,0,74.9
6/10/2016 15:30,256,71.8,83.3,0,114,5,0,73.5
6/10/2016 15:45,278,73.9,82.3,0,128,8,1,73.3
6/10/2016 16:00,218,75.3,82.1,0,100,6,1,73.7
6/10/2016 16:15,131,76.2,82.2,0,112,4,0,74.1
6/10/2016 16:30,82,76.4,81.8,0,175,4,0,73.8
6/10/2016 16:45,94,76.4,81.4,0,111,9,1,73.4
6/10/2016 17:00,93,76.4,81.5,0,120,6,1,73.5
6/10/2016 17:15,66,76.7,81.4,0,107,5,0,73.5
6/10/2016 17:30,35,76.6,81.3,0,112,5,0,73.4
6/10/2016 17:45,17,79,81,0,100,2,0,74
6/10/2016 18:00,5,80.9,80.2,0,138,0,0,73.9
6/10/2016 18:15,0,79.2,79.8,0,134,5,0,72.9
6/10/2016 18:30,0,78.5,80.2,0,122,7,0,73
6/10/2016 18:45,0,79.4,80.2,0,125,0,0,73.4
6/10/2016 19:00,0,80.9,80.1,0,158,2,0,73.8
6/10/2016 19:15,0,79.2,80,0,73,3,0,73.1
6/10/2016 19:30,0,78.8,80.2,0,114,5,0,73.1
6/10/2016 19:45,0,78,80.6,0,101,3,0,73.2
6/10/2016 20:00,0,79,80.5,0,60,5,0,73.5
6/10/2016 20:15,0,78.5,80.6,0,122,6,0,73.4
6/10/2016 20:30,0,77,80.8,0,104,8,0,73.1
6/10/2016 20:45,0,77.1,80.8,0,108,8,0,73.1
6/10/2016 21:00,0,77.7,80.6,0,131,5,0,73.1
6/10/2016 21:15,0,77.7,80.8,0,115,6,1,73.3
6/10/2016 21:30,0,77.4,80.7,0,115,6,1,73.1
6/10/2016 21:45,0,78.5,80.7,0,76,10,0,73.5
6/10/2016 22:00,0,80.4,80.6,0,118,6,0,74.1
6/10/2016 22:15,0,81.7,79.6,0,132,14,2,73.6
6/10/2016 22:30,0,82,79,0.01,111,3,0,73.1
6/10/2016 22:45,0,84.3,78.7,0,141,9,0,73.6
6/10/2016 23:00,0,86.7,78.5,0.15,183,7,0,74.2
6/10/2016 23:15,0,90.5,77.1,0.21,103,8,2,74.1
6/10/2016 23:30,0,91.9,77.3,0.03,96,13,3,74.7
6/10/2016 23:45,0,93.5,77.5,0.01,88,12,3,75.5
6/11/2016 0:00,0,92.9,77.3,0.05,79,6,1,75.1
6/11/2016 0:15,0,92.6,77.3,0.02,88,7,1,75
6/11/2016 0:30,0,92.5,77.3,0.02,183,5,0,74.9
6/11/2016 0:45,0,93.2,76.7,0.05,206,0,0,74.6
6/11/2016 1:00,0,94,76.3,0.13,149,0,0,74.4
6/11/2016 1:15,0,93.9,75.7,0.03,186,4,0,73.8
6/11/2016 1:30,0,94.7,75.6,0.04,146,1,0,73.9
6/11/2016 1:45,0,95.4,75.4,0.47,145,8,1,74
6/11/2016 2:00,0,95.4,75.3,0.1,103,4,0,73.9
