,Date,Tula_RNF,Aasu_RNF_in,Vaipito_RNF_in,Afono_RNF_in,Airport_RNF,ASCC_RNF,Aoloaufou_USGS_RNF,Aua_USGS_RNF,Fagaitua_USGS_RNF,Malaeimi_USGS_RNF,Pioa_USGS_RNF,Satala_USGS_RNF,Amouli_NCDC_RNF,Atuu_NCDC_RNF,Fagaalu_NCDC_RNF,Malaeloa_NCDC_RNF,Vatia_NCDC_RNF,taputimu_WRCC_RNF
80,1955-06-20,,,,,,,,,,,,,1.3503944300000001,,,,3.12992295,
81,1955-06-21,,,,,,,,,,,,,0.0,,,,0.0,
82,1955-06-22,,,,,,,,,,,,,0.0,,,,0.0,
83,1955-06-23,,,,,,,,,,,,,0.0,,,,0.0,
84,1955-06-24,,,,,,,,,,,,,0.0,,,,0.0,
85,1955-06-25,,,,,,,,,,,,,0.44881914000000006,,,,0.6496066500000001,
86,1955-06-26,,,,,,,,,,,,,0.22047256,,,,0.38976399000000006,
87,1955-06-27,,,,,,,,,,,,,0.8188980800000001,,,,0.66141768,
88,1955-06-28,,,,,,,,,,,,,0.0,,,,0.44094512,
89,1955-06-29,,,,,,,,,,,,,0.0,,,,0.0,
90,1955-06-30,,,,,,,,,,,,,0.0,,,,0.03149608,
91,1955-07-01,,,,,,,,,,,,,0.0,,,,0.0,
92,1955-07-02,,,,,,,,,,,,,0.0,,,,0.039370100000000005,
93,1955-07-03,,,,,,,,,,,,,0.0,,,,0.31102379,
94,1955-07-04,,,,,,,,,,,,,0.0,,,,0.039370100000000005,
95,1955-07-05,,,,,,,,,,,,,0.0,,,,0.039370100000000005,
96,1955-07-06,,,,,,,,,,,,,0.0,,,,0.29921276,
97,1955-07-07,,,,,,,,,,,,,0.0,,,,0.24015761000000002,
98,1955-07-08,,,,,,,,,,,,,0.0,,,,0.03149608,
99,1955-07-09,,,,,,,,,,,,,0.0,,,,0.42126007000000004,
100,1955-07-10,,,,,,,,,,,,,0.0,,,,0.01181103,
101,1955-07-11,,,,,,,,,,,,,0.0,,,,0.0,
102,1955-07-12,,,,,,,,,,,,,0.0,,,,0.05905515000000001,
103,1955-07-13,,,,,,,,,,,,,0.0,,,,0.6496066500000001,
104,1955-07-14,,,,,,,,,,,,,0.0,,,,0.0,
105,1955-07-15,,,,,,,,,,,,,0.0,,,,0.38976399000000006,
106,1955-07-16,,,,,,,,,,,,,0.0,,,,0.09055123000000001,
107,1955-07-17,,,,,,,,,,,,,0.0,,,,0.09842525,
108,1955-07-18,,,,,,,,,,,,,0.0,,,,0.5393703700000001,
109,1955-07-19,,,,,,,,,,,,,0.0,,,,0.01181103,
110,1955-07-20,,,,,,,,,,,,,0.0,,,,0.0,
111,1955-07-21,,,,,,,,,,,,,0.0,,,,0.0,
112,1955-07-22,,,,,,,,,,,,,0.0,,,,0.0,
113,1955-07-23,,,,,,,,,,,,,0.0,,,,0.48818924,
114,1955-07-24,,,,,,,,,,,,,0.0,,,,0.0,
115,1955-07-25,,,,,,,,,,,,,0.0,,,,0.0,
116,1955-07-26,,,,,,,,,,,,,0.0,,,,0.07874020000000001,
117,1955-07-27,,,,,,,,,,,,,0.0,,,,0.03149608,
118,1955-07-28,,,,,,,,,,,,,0.0,,,,0.01181103,
119,1955-07-29,,,,,,,,,,,,,0.0,,,,0.09055123000000001,
120,1955-07-30,,,,,,,,,,,,,0.0,,,,0.01181103,
121,1955-07-31,,,,,,,,,,,,,0.0,,,,0.039370100000000005,
122,1955-08-01,,,,,,,,,,,,,0.0,,,,0.31889781,
123,1955-08-02,,,,,,,,,,,,,0.25984266,,,,0.16929143000000002,
124,1955-08-03,,,,,,,,,,,,,0.0,,,,0.16141741,
125,1955-08-04,,,,,,,,,,,,,0.0,,,,0.16929143000000002,
