"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   7.83287763596E+00   5.50000000000E+00  Obs_0       
   2.51531571150E-01   2.00000002980E-01  Obs_1       
   2.73677647114E-01   4.00000005960E-01  Obs_2       
   1.26726984978E-01   3.00000011921E-01  Obs_3       
   1.87995970249E-01   6.00000023842E-01  Obs_4       
   6.80271506310E-01   2.29999995232E+00  Obs_5       
   5.83778202534E-01   2.59999990463E+00  Obs_6       
   2.37799239159E+00   3.50000000000E+00  Obs_7       
   5.89051127434E-01   1.20000004768E+00  Obs_8       
   4.33857107162E+00   3.59999990463E+00  Obs_9       
   7.68503785133E-01   1.50000000000E+00  Obs_10      
   2.02831387520E+00   1.89999997616E+00  Obs_11      
   4.64712095261E+00   1.29999995232E+00  Obs_12      
   2.03289484978E+00   8.99999976158E-01  Obs_13      
   8.27399730682E+00   4.47000007629E+01  Obs_14      
   2.00575447083E+00   2.59999990463E+00  Obs_15      
   1.97310411930E+00   1.70000004768E+00  Obs_16      
   8.40968894958E+00   3.00000000000E+00  Obs_17      
   2.36985945702E+00   1.79999995232E+00  Obs_18      
   1.66944770813E+01   5.90000009537E+00  Obs_19      
   9.54164886475E+00   1.92000007629E+01  Obs_20      
   1.96431484222E+01   8.00000000000E+00  Obs_21      
   1.17297315598E+01   8.19999980927E+00  Obs_22      
   1.01068115234E+01   5.75000000000E+00  Obs_23      
   1.96738090515E+01   3.42000007629E+01  Obs_24      
   9.18746566772E+00   3.20000004768E+00  Obs_25      
   2.17187595367E+01   1.65000000000E+01  Obs_26      
   1.38715887070E+01   2.53999996185E+01  Obs_27      
   8.68145847321E+00   1.79999995232E+00  Obs_28      
   8.77968883514E+00   8.80000019073E+00  Obs_29      
   6.39699792862E+00   8.50000023842E-01  Obs_30      
   6.02613306046E+00   8.99999976158E-01  Obs_31      
   1.00000001490E-01   6.00000023842E-01  Obs_32      
   1.44118947983E+01   2.02999992371E+01  Obs_33      
   6.62870883942E+00   1.79999995232E+00  Obs_34      
   5.94077730179E+00   1.93330001831E+00  Obs_35      
   3.37060213089E+00   3.00000011921E-01  Obs_36      
   1.00478455424E-01   5.00000000000E-01  Obs_37      
   2.33777260780E+00   1.00000000000E+00  Obs_38      
   2.33755989075E+01   6.25000000000E+01  Obs_39      
   7.40468692780E+00   1.58000001907E+01  Obs_40      
   1.26896734238E+01   1.20000004768E+00  Obs_41      
   1.44832391739E+01   7.30000019073E+00  Obs_42      
   1.63349952698E+01   7.30000019073E+00  Obs_43      
   1.78256530762E+01   9.80000019073E+00  Obs_44      
   1.95970096588E+01   1.64666996002E+01  Obs_45      
   7.31235933304E+00   1.20000004768E+00  Obs_46      
   6.50434541702E+00   3.00000000000E+00  Obs_47      
   1.09641609192E+01   6.65000009537E+00  Obs_48      
   9.39526653290E+00   2.70000004768E+00  Obs_49      
   3.16980385780E+00   6.09999990463E+00  Obs_50      
   1.00000001490E-01   1.00000001490E-01  Obs_51      
   8.56822109222E+00   8.10000038147E+00  Obs_52      
   8.53344917297E+00   8.19999980927E+00  Obs_53      
   1.07969226837E+01   4.30000019073E+00  Obs_54      
   9.99736881256E+00   5.56669998169E+00  Obs_55      
   1.16478719711E+01   5.50000000000E+00  Obs_56      
   6.27718591690E+00   7.30000019073E+00  Obs_57      
   4.22223138809E+00   6.00000000000E+00  Obs_58      
   6.32510304451E-01   2.70000004768E+00  Obs_59      
   6.42853081226E-01   5.30000019073E+00  Obs_60      
   1.89978659153E+00   3.09999990463E+00  Obs_61      
   1.04220497608E+00   3.00000000000E+00  Obs_62      
   4.91920888424E-01   5.69999980927E+00  Obs_63      
