"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   1.80185413361E+00   5.50000000000E+00  FLI182      
   1.64754247665E+00   2.00000002980E-01  214601      
   1.65678608418E+00   4.00000005960E-01  214602      
   1.30861198902E+00   3.00000011921E-01  Taputimuwind
   1.37012076378E+00   6.00000023842E-01  214604      
   2.48445916176E+00   2.59999990463E+00  Malaeloa70  
   3.06210279465E+00   2.29999995232E+00  MOA15       
   3.19891190529E+00   3.50000000000E+00  MOA169      
   2.35198903084E+00   1.20000004768E+00  Puapua47    
   3.54840755463E+00   3.59999990463E+00  TGH1        
   2.46245741844E+00   1.20000004768E+00  Malaeloa92  
   2.73905158043E+00   1.79999995232E+00  Malaeloa91  
   2.09730505943E+00   1.89999997616E+00  TGH3        
   2.86755585670E+00   1.29999995232E+00  PAV177      
   2.13778901100E+00   8.99999976158E-01  Iliili79    
   1.98400914669E+00   2.59999990463E+00  Iliili62    
   3.42011570930E+00   4.47000007629E+01  MES6        
   1.98233079910E+00   1.60000002384E+00  ILI76       
   1.87905085087E+00   1.79999995232E+00  Iliili74    
   3.33335399628E+00   3.00000000000E+00  194407      
   1.83184385300E+00   1.79999995232E+00  Iliili84    
   4.81540536880E+00   5.90000009537E+00  MMI3        
   4.25704765320E+00   8.19999980927E+00  Malaeimi109 
   3.10053277016E+00   6.00000000000E+00  Malaeimi89  
   2.99992942810E+00   3.20000004768E+00  Malaeimi67  
   6.33270359039E+00   1.65000000000E+01  MMI4        
   5.35609912872E+00   2.53999996185E+01  194409      
   1.00000000000E+00   6.00000023842E-01  214301      
   4.92163467407E+00   2.02999992371E+01  MMI1        
   2.24328923225E+00   1.79999995232E+00  TAF72       
   1.71375966072E+00   3.00000011921E-01  204301      
   1.00000000000E+00   5.00000000000E-01  204302      
   1.38237202168E+00   1.00000000000E+00  194302      
   3.42432975769E+01   6.25000000000E+01  VAI183      
   1.36122674942E+01   1.58000001907E+01  NUULI24B    
   1.00000000000E+00   1.20000004768E+00  Pago100(wate
   1.15216617584E+01   7.30000019073E+00  PAGO163     
   1.00000000000E+00   1.20000004768E+00  PAGOTANK24  
   1.00000000000E+00   3.00000000000E+00  Pagoplaza12 
   4.25005435944E+00   2.70000004768E+00  FALU179     
   1.00000000000E+00   6.09999990463E+00  174101      
   1.00000000000E+00   1.00000001490E-01  UTULEI3     
   2.30138230324E+00   2.70000004768E+00  Sailele130  
   1.00000000000E+00   5.30000019073E+00  163502      
   1.00000000000E+00   5.69999980927E+00  163301      
   3.67457485199E+00   1.23500003815E+01  MALAEIMI88  
   5.87575483322E+00   2.11000003815E+01  MMI2        
   2.67370343208E+00   5.30000019073E+00  Malaeimi69  
   2.38628172874E+00   8.75000000000E-01  194311      
   2.18375205994E+00   1.93330001831E+00  194304      
   1.91110363007E+01   9.17500019073E+00  164204      
   2.50110836029E+01   1.64666996002E+01  Pago107     
   1.54300155640E+01   6.65000009537E+00  Fagatogo102 
   1.13267736435E+01   8.14999961853E+00  VATI170     
   1.60184040070E+01   5.56669998169E+00  163903      
   1.69426670074E+01   4.90000009537E+00  AUA98       
   5.06116008759E+00   6.65000009537E+00  LAU96       
   1.00000000000E+00   3.04999995232E+00  153401      
