,Month,Total_flow,Baseflow,Runoff,BF:TF,Site
5,8,5.670070614324163,2.5236428163177544,3.158159126244889,0.4450813734034169,Fagaalu
5,8,4.557715347490827,0.9602305606912481,3.705700649516824,0.21068243351789986,Leone
5,8,3.0447036596747634,1.5687813040005187,1.476729036989896,0.5152492588287219,Fagasa
4,8,1.6501541339880095,0.11313980623001103,1.5377150923872802,0.06856317473603538,Afono
5,8,4.634643193371103,2.2413386644399336,2.410682371572818,0.48360544079114964,Nuuuli
5,8,3.536462767298043,1.3430563716048676,2.195381502419762,0.3797739323100524,Vaipito
4,8,7.265694200264476,5.736798060235975,1.5408681404872346,0.7895732881280844,Malota
4,8,0.5936360044810527,0.16239651726650595,0.43129259407833814,0.27356244574227,Fagaitua
